ID	Function	Source
PRK10858.1	nitrogen regulatory protein P-II	PRK10858
PRK10861.1	signal peptidase I	PRK10861
PRK10864.1	tRNA/rRNA methyltransferase	PRK10864
PRK10871.1	murein hydrolase activator NlpD	PRK10871
PRK10872.1	GTP diphosphokinase	PRK10872
PRK10875.1	exodeoxyribonuclease V subunit alpha	PRK10875
PRK10877.1	bifunctional protein-disulfide isomerase/oxidoreductase DsbC	PRK10877
PRK10880.1	A/G-specific adenine glycosylase	PRK10880
PRK10881.1	Ni/Fe-hydrogenase cytochrome b subunit	PRK10881
PRK10882.1	hydrogenase 2 operon protein HybA	PRK10882
PRK10892.1	arabinose-5-phosphate isomerase KdsD	PRK10892
PRK10895.1	LPS export ABC transporter ATP-binding protein	PRK10895
PRK10896.1	PTS IIA-like nitrogen regulatory protein PtsN	PRK10896
PRK10897.1	PTS phosphocarrier protein NPr	PRK10897
PRK10898.1	outer membrane-stress sensor serine endopeptidase DegS	PRK10898
PRK10902.1	FKBP-type peptidyl-prolyl cis-trans isomerase	PRK10902
PRK10906.1	DeoR/GlpR family transcriptional regulator	PRK10906
PRK10911.1	oligopeptidase A	PRK10911
PRK10919.1	DNA helicase Rep	PRK10919
PRK10925.1	superoxide dismutase [Mn]	PRK10925
PRK10929.1	miniconductance mechanosensitive channel MscM	PRK10929
PRK10935.1	nitrate/nitrite two-component system sensor histidine kinase NarQ	PRK10935
PRK10938.1	molybdate ABC transporter ATP-binding protein ModF	PRK10938
PRK10949.1	signal peptide peptidase SppA	PRK10949
PRK10952.1	glycine betaine/L-proline ABC transporter permease ProW	PRK10952
PRK10959.1	outer membrane protein OmpW	PRK10959
PRK10963.1	hypothetical protein	PRK10963
PRK10964.1	lipopolysaccharide heptosyltransferase RfaC	PRK10964
PRK10966.1	exonuclease subunit SbcD	PRK10966
PRK10971.1	sulfate/thiosulfate ABC transporter permease CysT	PRK10971
PRK10972.1	cell division protein ZapA	PRK10972
PRK10975.1	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	PRK10975
PRK10984.1	sigma factor-binding protein Crl	PRK10984
PRK10987.1	beta-lactamase regulator AmpE	PRK10987
PRK10997.1	ATPase RavA stimulator ViaA	PRK10997
PRK10998.1	maltose ABC transporter permease MalG	PRK10998
PRK10999.1	maltose ABC transporter permease MalF	PRK10999
PRK11000.1	maltose/maltodextrin ABC transporter ATP-binding protein MalK	PRK11000
PRK11001.1	MltR family transcriptional regulator	PRK11001
PRK11014.1	nitric oxide-sensing transcriptional repressor NsrR	PRK11014
PRK11020.1	YibL family ribosome-associated protein	PRK11020
PRK11021.1	L-methionine/branched-chain amino acid transporter	PRK11021
PRK11022.1	dipeptide ABC transporter ATP-binding protein	PRK11022
PRK11023.1	division/outer membrane stress-associated lipid-binding lipoprotein	PRK11023
PRK11024.1	colicin uptake protein TolR	PRK11024
PRK11027.1-2	hypothetical protein	PRK11027
PRK11027.2-2	hypothetical protein	PRK11027
PRK11031.1	guanosine-5'-triphosphate,3'-diphosphate diphosphatase	PRK11031
PRK11032.1	zinc ribbon-containing protein	PRK11032
PRK11033.1	zinc/cadmium/mercury/lead-transporting ATPase	PRK11033
PRK11034.1	ATP-dependent Clp protease ATP-binding subunit ClpA	PRK11034
PRK11036.1	tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM	PRK11036
PRK11037.1	hypothetical protein	PRK11037
PRK11038.1	pleiotropic regulatory protein RsmS	PRK11038
PRK11041.1	DNA-binding transcriptional regulator CytR	PRK11041
PRK11043.1	purine nucleoside transporter PunC	PRK11043
PRK11052.1	4-alpha-glucanotransferase	PRK11052
PRK11054.1	DNA helicase IV	PRK11054
PRK11056.1	YijD family membrane protein	PRK11056
PRK11057.1	ATP-dependent DNA helicase RecQ	PRK11057
PRK11059.1	RNase E specificity factor CsrD	PRK11059
PRK11060.1	rod shape-determining protein MreD	PRK11060
PRK11061.1	phosphoenolpyruvate--protein phosphotransferase	PRK11061
PRK11067.1	outer membrane protein assembly factor BamA	PRK11067
PRK11068.1	phosphatidylglycerophosphatase A	PRK11068
PRK11069.1	exodeoxyribonuclease V subunit gamma	PRK11069
PRK11070.1	single-stranded-DNA-specific exonuclease RecJ	PRK11070
PRK11071.1	esterase YqiA	PRK11071
PRK11074.1	DNA-binding transcriptional activator PunR	PRK11074
PRK11087.1	oxidative stress defense protein	PRK11087
PRK11088.1	23S rRNA (guanine(745)-N(1))-methyltransferase	PRK11088
PRK11089.1	PTS glucose transporter subunit IIBC	PRK11089
PRK11091.1	aerobic respiration two-component sensor histidine kinase ArcB	PRK11091
PRK11092.1	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	PRK11092
PRK11106.1	7-cyano-7-deazaguanine synthase QueC	PRK11106
PRK11107.1	two-component sensor histidine kinase BarA	PRK11107
PRK11109.1	fused PTS fructose transporter subunit IIA/HPr protein	PRK11109
PRK11113.1	serine-type D-Ala-D-Ala carboxypeptidase	PRK11113
PRK11114.1-3	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	PRK11114
PRK11115.1	phosphate signaling complex protein PhoU	PRK11115
PRK11122.1	arginine ABC transporter permease ArtM	PRK11122
PRK11123.1	arginine ABC transporter permease ArtQ	PRK11123
PRK11124.1	arginine ABC transporter ATP-binding protein ArtP	PRK11124
PRK11126.1	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	PRK11126
PRK11128.1	3-phenylpropionate MFS transporter	PRK11128
PRK11130.1	molybdopterin synthase sulfur carrier subunit	PRK11130
PRK11132.1	serine O-acetyltransferase	PRK11132
PRK11133.1	phosphoserine phosphatase	PRK11133
PRK11138.1	outer membrane protein assembly factor BamB	PRK11138
PRK11144.1	molybdenum ABC transporter ATP-binding protein ModC	PRK11144
PRK11145.1	pyruvate formate lyase 1-activating protein	PRK11145
PRK11146.1	lipoprotein-releasing ABC transporter permease subunit LolE	PRK11146
PRK11147.1	ABC transporter ATP-binding protein	PRK11147
PRK11151.1	DNA-binding transcriptional regulator OxyR	PRK11151
PRK11152.1	acetolactate synthase 2 small subunit	PRK11152
PRK11154.1	fatty acid oxidation complex subunit alpha FadJ	PRK11154
PRK11160.1	cysteine/glutathione ABC transporter ATP-binding protein/permease CydC	PRK11160
PRK11162.1	murein transglycosylase A	PRK11162
PRK11169.1	leucine-responsive transcriptional regulator Lrp	PRK11169
PRK11170.1	N-acetylglucosamine-6-phosphate deacetylase	PRK11170
PRK11173.1	two-component system response regulator ArcA	PRK11173
PRK11174.1	cysteine/glutathione ABC transporter permease/ATP-binding protein CydD	PRK11174
PRK11175.1	universal stress protein UspE	PRK11175
PRK11176.1	lipid A ABC transporter ATP-binding protein/permease MsbA	PRK11176
PRK11177.1	phosphoenolpyruvate-protein phosphotransferase PtsI	PRK11177
PRK11178.1	uridine phosphorylase	PRK11178
PRK11179.1	transcriptional regulator AsnC	PRK11179
PRK11181.1	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	PRK11181
PRK11186.1	carboxy terminal-processing peptidase	PRK11186
PRK11187.1	replication initiation negative regulator SeqA	PRK11187
PRK11189.1	lipoprotein NlpI	PRK11189
PRK11190.1	Fe-S biogenesis protein NfuA	PRK11190
PRK11191.1	ribonuclease E inhibitor RraB	PRK11191
PRK11192.1	ATP-dependent RNA helicase SrmB	PRK11192
PRK11193.1	23S rRNA accumulation protein YceD	PRK11193
PRK11194.1	bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN	PRK11194
PRK11200.1	GrxA family glutaredoxin	PRK11200
PRK11202.1	HTH-type transcriptional repressor FabR	PRK11202
PRK11228.1	iron-dicitrate ABC transporter permease FecC	PRK11228
PRK11231.1	Fe(3+) dicitrate ABC transporter ATP-binding protein FecE	PRK11231
PRK11234.1	cyclic di-3',5'-guanylate-activated glycosyltransferase NrfB	PRK11234
PRK11240.1	peptidoglycan glycosyltransferase PbpC	PRK11240
PRK11245.1	dihydroneopterin triphosphate 2'-epimerase	PRK11245
PRK11247.1	aliphatic sulfonates ABC transporter ATP-binding protein	PRK11247
PRK11248.1	taurine ABC transporter ATP-binding subunit	PRK11248
PRK11251.1	osmotically-inducible lipoprotein OsmE	PRK11251
PRK11260.1	cystine ABC transporter substrate-binding protein	PRK11260
PRK11264.1	L-cystine ABC transporter ATP-binding protein YecC	PRK11264
PRK11267.1	TonB system transport protein ExbD	PRK11267
PRK11272.1	drug/metabolite exporter YedA	PRK11272
PRK11273.1	glycerol-3-phosphate transporter	PRK11273
PRK11278.1	NADH-quinone oxidoreductase subunit NuoF	PRK11278
PRK11281.1	mechanosensitive channel MscK	PRK11281
PRK11295.1	YajD family HNH nuclease	PRK11295
PRK11302.1	transcriptional regulator HexR	PRK11302
PRK11303.1	catabolite repressor/activator	PRK11303
PRK11388.1	dihydroxyacetone kinase operon transcriptional regulator DhaR	PRK11388
PRK11394.1	23S rRNA pseudouridine(2457) synthase RluE	PRK11394
PRK11432.1	ferric ABC transporter ATP-binding protein	PRK11432
PRK11447.1	cellulose synthase complex outer membrane protein BcsC	PRK11447
PRK11507.1	ribosome-associated protein YbcJ	PRK11507
PRK11537.1	GTPase	PRK11537
PRK11548.1	outer membrane protein assembly factor BamE	PRK11548
PRK11562.1	nitrite transporter NirC	PRK11562
PRK11573.1	hypothetical protein	PRK11573
PRK11593.1	bifunctional dihydroneopterin aldolase/7,8-dihydroneopterin epimerase	PRK11593
PRK11598.1	phosphoethanolamine transferase EptA	PRK11598
PRK11619.1	murein transglycosylase	PRK11619
PRK11628.1	transcriptional regulator BolA	PRK11628
PRK11633.1	cell division protein DedD	PRK11633
PRK11637.1	murein hydrolase activator EnvC	PRK11637
PRK11639.1	zinc uptake transcriptional repressor Zur	PRK11639
PRK11642.1	ribonuclease R	PRK11642
PRK11644.1	signal transduction histidine-protein kinase/phosphatase UhpB	PRK11644
PRK11646.1	multidrug efflux MFS transporter MdtH	PRK11646
PRK11649.1	murein DD-endopeptidase MepM	PRK11649
PRK11652.1	multidrug efflux MFS transporter EmrD	PRK11652
PRK11658.1	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	PRK11658
PRK11659.1	cytochrome c nitrite reductase pentaheme subunit	PRK11659
PRK11663.1	MFS transporter family glucose-6-phosphate receptor UhpC	PRK11663
PRK11664.1	ATP-dependent helicase HrpB	PRK11664
PRK11671.1	membrane-bound lytic murein transglycosylase MltC	PRK11671
PRK11675.1	LexA regulated protein	PRK11675
PRK11677.1	Z-ring associated protein ZapG	PRK11677
PRK11678.1	molecular chaperone	PRK11678
PRK11679.1	outer membrane protein assembly factor BamC	PRK11679
PRK11688.1	thioesterase family protein	PRK11688
PRK11697.1	two-component system response regulator BtsR	PRK11697
PRK11700.1-6	VOC family protein	PRK11700
PRK11702.1	hypothetical protein	PRK11702
PRK11713.1-1	16S rRNA (uracil(1498)-N(3))-methyltransferase	PRK11713
PRK11716.1	HTH-type transcriptional activator IlvY	PRK11716
PRK11718.1	sigma D regulator	PRK11718
PRK11742.1	NADH-quinone oxidoreductase subunit C/D	PRK11742
PRK11753.1	cAMP-activated global transcriptional regulator CRP	PRK11753
PRK11756.1	exodeoxyribonuclease III	PRK11756
PRK11770.1-1	YccF domain-containing protein	PRK11770
PRK11773.1	DNA helicase II	PRK11773
PRK11788.1-1	lipopolysaccharide assembly protein LapB	PRK11788
PRK11788.1-4	lipopolysaccharide assembly protein LapB	PRK11788
PRK11798.1-1	ClpXP protease specificity-enhancing factor	PRK11798
PRK11798.1-2	ClpXP protease specificity-enhancing factor	PRK11798
PRK11798.1-4	ClpXP protease specificity-enhancing factor	PRK11798
PRK11831.1	phospholipid ABC transporter ATP-binding protein MlaF	PRK11831
PRK11886.1-2	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	PRK11886
PRK11886.1-3	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	PRK11886
PRK11886.1-5	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	PRK11886
PRK11924.1-3	RNA polymerase sigma factor	PRK11924
PRK11933.1	16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF	PRK11933
PRK12287.1	AI-2E family transporter	PRK12287
PRK12288.1	small ribosomal subunit biogenesis GTPase RsgA	PRK12288
PRK12308.1	argininosuccinate lyase	PRK12308
PRK12347.1	L-ribulose-5-phosphate 4-epimerase	PRK12347
PRK12355.3-2	type-F conjugative transfer system mating-pair stabilization protein TraN	PRK12355
PRK12355.3-3	type-F conjugative transfer system mating-pair stabilization protein TraN	PRK12355
PRK12359.1	flavodoxin FldB	PRK12359
PRK12363.1	phosphoglycerol transferase I	PRK12363
PRK12380.1	hydrogenase/urease nickel incorporation protein	PRK12380
PRK12385.1	succinate dehydrogenase/fumarate reductase iron-sulfur subunit	PRK12385
PRK12407.1	flagellar basal body L-ring protein FlgH	PRK12407
PRK12440.1	acetate/propionate family kinase	PRK12440
PRK12485.1	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	PRK12485
PRK12517.1	RNA polymerase sigma factor	PRK12517
PRK12526.1	RNA polymerase sigma factor	PRK12526
PRK12562.1	ornithine carbamoyltransferase	PRK12562
PRK12653.1	fructose-6-phosphate aldolase	PRK12653
PRK12674.1-1	Na+/H+ antiporter subunit G	PRK12674
PRK12679.1	HTH-type transcriptional regulator Cbl	PRK12679
PRK12685.1	flagellar basal body rod protein FlgB	PRK12685
PRK12698.1	flagellar basal body L-ring protein FlgH	PRK12698
PRK12750.1	CpxP family protein	PRK12750
PRK12933.1	protein translocase subunit SecD	PRK12933
PRK13054.1	lipid kinase YegS	PRK13054
PRK13165.1	cytochrome c maturation protein CcmE	PRK13165
PRK13272.1	alpha,alpha-trehalase TreA	PRK13272
PRK13279.1	lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase	PRK13279
PRK13310.1	N-acetylglucosamine kinase	PRK13310
PRK13322.1-5	pantothenate kinase	PRK13322
PRK13328.1-2	type III pantothenate kinase	PRK13328
PRK13384.1	porphobilinogen synthase	PRK13384
PRK13498.1	chemoreceptor glutamine deamidase CheD	PRK13498
PRK13509.1	HTH-type transcriptional regulator UlaR	PRK13509
PRK13535.1	erythrose-4-phosphate dehydrogenase	PRK13535
PRK13554.1	fumarate reductase cytochrome b-556 subunit	PRK13554
PRK13607.1	Xaa-Pro dipeptidase	PRK13607
PRK13626.1	HTH-type transcriptional regulator SgrR	PRK13626
PRK13677.1	DUF3461 family protein	PRK13677
PRK13682.1-5	hypothetical protein	PRK13682
PRK13689.1	hypothetical protein	PRK13689
PRK13709.1	conjugative transfer relaxase/helicase TraI	PRK13709
PRK13710.1	type II toxin-antitoxin system antitoxin CcdA	PRK13710
PRK13735.1	conjugal transfer mating-pair stabilization protein TraG	PRK13735
PRK14040.1	oxaloacetate decarboxylase subunit alpha	PRK14040
PRK14113.1	urease accessory protein UreE	PRK14113
PRK14147.1	nucleotide exchange factor GrpE	PRK14147
PRK14151.1	nucleotide exchange factor GrpE	PRK14151
PRK14200.1	fluoride efflux transporter CrcB	PRK14200
PRK14446.1	acylphosphatase	PRK14446
PRK14511.1-3	malto-oligosyltrehalose synthase	PRK14511
PRK14563.1	ribosome modulation factor	PRK14563
PRK14640.1	hypothetical protein	PRK14640
PRK14696.1	primary-amine oxidase	PRK14696
PRK14805.1	ornithine carbamoyltransferase	PRK14805
PRK14806.1	bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase	PRK14806
PRK14854.1	pH-dependent sodium/proton antiporter	PRK14854
PRK14864.1	biofilm peroxide resistance protein BsmA	PRK14864
PRK14985.1	maltodextrin phosphorylase	PRK14985
PRK14987.1	gluconate operon transcriptional repressor GntR	PRK14987
PRK14988.1	GMP/IMP nucleotidase	PRK14988
PRK14993.1	tetrathionate reductase subunit TtrB	PRK14993
PRK14995.1	SmvA family efflux MFS transporter	PRK14995
PRK14996.1	TetR family transcriptional regulator	PRK14996
PRK14998.1	cold shock-like protein CspD	PRK14998
PRK15017.1	cytochrome o ubiquinol oxidase subunit I	PRK15017
PRK15022.1	non-heme ferritin-like protein	PRK15022
PRK15037.1	fructuronate reductase	PRK15037
PRK15038.1	autoinducer 2 ABC transporter permease LsrD	PRK15038
PRK15039.1	Ni(II)/Co(II)-binding transcriptional repressor RcnR	PRK15039
PRK15058.1	cytochrome b562	PRK15058
PRK15074.1	inosine/guanosine kinase	PRK15074
PRK15078.1	polysaccharide export protein	PRK15078
PRK15079.1	murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF	PRK15079
PRK15084.1	formate hydrogenlyase maturation protein HycH	PRK15084
PRK15087.1	hemolysin III family protein	PRK15087
PRK15088.1	PTS mannose transporter subunit IIAB	PRK15088
PRK15094.1	CNNM family magnesium/cobalt transport protein CorC	PRK15094
PRK15095.1	FKBP-type peptidyl-prolyl cis-trans isomerase	PRK15095
PRK15097.1	cytochrome ubiquinol oxidase subunit I	PRK15097
PRK15100.1	cystine ABC transporter permease	PRK15100
PRK15101.1	pitrilysin	PRK15101
PRK15105.1	peptidoglycan glycosyltransferase FtsI	PRK15105
PRK15109.1	peptide ABC transporter substrate-binding protein SapA	PRK15109
PRK15111.1	peptide ABC transporter permease SapC	PRK15111
PRK15114.1	tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ	PRK15114
PRK15117.1	phospholipid-binding protein MlaC	PRK15117
PRK15118.1	universal stress protein UspA	PRK15118
PRK15123.1	lipopolysaccharide core heptose(I) kinase RfaP	PRK15123
PRK15129.1	L-Ala-D/L-Glu epimerase	PRK15129
PRK15134.1	microcin C ABC transporter ATP-binding protein YejF	PRK15134
PRK15137.1	deoxyribonuclease I	PRK15137
PRK15138.1	alcohol dehydrogenase	PRK15138
PRK15211.1	fimbrial chaperone	PRK15211
PRK15213.1	PefC/AfrB family outer membrane usher protein	PRK15213
PRK15245.1	type III secretion system effector phosphothreonine lyase	PRK15245
PRK15284.1	outer membrane usher protein	PRK15284
PRK15371.1	YopJ/AvrA family T3SS effector serine/threonine acetyltransferase	PRK15371
PRK15393.1	NUDIX hydrolase YfcD	PRK15393
PRK15394.1	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase	PRK15394
PRK15397.1	nicotinamide riboside transporter PnuC	PRK15397
PRK15399.1	lysine decarboxylase LdcC	PRK15399
PRK15400.1	lysine decarboxylase	PRK15400
PRK15402.1	MdfA family multidrug efflux MFS transporter	PRK15402
PRK15406.1	oligopeptide ABC transporter permease OppC	PRK15406
PRK15418.1	transcriptional regulator LsrR	PRK15418
PRK15421.1	HTH-type transcriptional regulator MetR	PRK15421
PRK15424.1	propionate catabolism operon regulatory protein PrpR	PRK15424
PRK15432.1	autoinducer 2 ABC transporter permease LsrC	PRK15432
PRK15441.1	peptidylprolyl isomerase PpiC	PRK15441
PRK15451.1	carboxy-S-adenosyl-L-methionine synthase CmoA	PRK15451
PRK15456.1	universal stress protein UspG	PRK15456
PRK15458.1	tagatose-bisphosphate aldolase subunit KbaZ	PRK15458
PRK15465.1	aminodeoxychorismate synthase component 1	PRK15465
PRK15479.1	transcriptional regulator TctD	PRK15479
PRK15480.1	glucose-1-phosphate thymidylyltransferase RfbA	PRK15480
blaGES	GES family class A beta-lactamase	
blaKPC	KPC family carbapenem-hydrolyzing class A beta-lactamase	
ramA_TF	RamA family antibiotic efflux transcriptional regulator	
blaKHM-HMB	KHM/HMB family subclass B1 metallo-beta-lactamase	
polymyxin_MCR2	MCR-2 family phosphoethanolamine--lipid A transferase	
BaeS_SmeS	sensor histidine kinase efflux regulator BaeS	
FOX-MOX	FOX/MOX family class C beta-lactamase	
CMY2-MIR-ACT-EC	CMY2/MIR/ACT/EC family class C beta-lactamase	
CptA	phosphoethanolamine transferase CptA	
tet_MFS_D	tetracycline efflux MFS transporter Tet(D)	
tet_MFS_E	tetracycline efflux MFS transporter Tet(E)	
tet_MFS_A	tetracycline efflux MFS transporter Tet(A)	
ble_MBL	bleomycin binding protein Ble-MBL	
MARTX_Nterm	MARTX multifunctional-autoprocessing repeats-in-toxin holotoxin RtxA	
blaSFH_gen	SFH-related subclass B2 metallo-beta-lactamase	
Cystatin	cystatin domain-containing protein	PF00031.23
fn2	fibronectin type II domain-containing protein	PF00040.21
BIR	Inhibitor of Apoptosis domain	PF00653.23
Ice_nucleation	Ice nucleation protein repeat	PF00818.19
Colicin	colicin-like pore-forming protein	PF01024.21
GDA1_CD39	GDA1/CD39 (nucleoside phosphatase) family	PF01150.19
Enterotoxin_b	Heat-labile enterotoxin beta chain	PF01376.20
Enterotoxin_ST	ST-I family heat-stable enterotoxin	PF02048.18
PapB	PapB/FocB family fimbrial expression transcriptional regulator	PF03333.15
Microcin	colicin E1 family microcin immunity protein	PF03526.15
YopE	Yersinia virulence determinant (YopE)	PF03545.15
DNA_III_psi	DNA polymerase III subunit psi	PF03603.15
UPF0181	YoaH family protein	PF03701.16
Slp	Slp family lipoprotein	PF03843.15
SulA	SulA-like leucine-rich domain-containing protein	PF03846.16
Colicin_im	colicin immunity protein Cui	PF03857.15
RseA_C	anti sigma-E factor RseA C-terminal domain-containing protein	PF03873.15
KicB	MukF winged-helix domain	PF03882.16
SeqA	SeqA protein C-terminal domain	PF03925.15
DUF406	DUF406 family protein	PF04175.14
DUF412	DUF412 family protein	PF04217.15
DUF413	DUF413 domain-containing protein	PF04219.14
YihI	GTPase-activating protein	PF04220.14
OapA	LysM-like peptidoglycan-binding domain-containing protein	PF04225.14
DUF440	DUF440 family protein	PF04269.14
MukE	chromosome partition protein MukE	PF04288.15
EpmC	elongation factor P hydroxylase	PF04315.14
Rsd_AlgQ	Rsd/AlgQ family anti-sigma factor	PF04353.15
PTPLA	protein tyrosine phosphatase-like domain-containing protein	PF04387.16
DUF538	DUF538 domain-containing protein	PF04398.14
LcrV	virulence-associated V antigen	PF04792.14
Harpin	HrpZ	PF04877.14
RMF	ribosome modulation factor	PF04957.14
Phage_holin_2_1	phage holin	PF04971.14
MtlR	MltR family transcriptional regulator	PF05068.14
YcgL	YcgL domain-containing protein	PF05166.15
GP38	Phage tail fibre adhesin Gp38	PF05268.13
Ter	DNA replication terminus site-binding protein	PF05472.13
TraA	type IV conjugative transfer system pilin TraA	PF05513.13
YopD	YopD family type III secretion system translocon subunit	PF05844.14
TcpA	type IV pilus major pilin	PF05946.14
UPF0231	YacL family protein	PF06062.13
Phage_HK97_TLTM	phage tail tape measure protein	PF06120.13
Phage_tail_U	phage tail terminator protein	PF06141.13
DUF968	DUF968 domain-containing protein	PF06147.13
CbeA_antitoxin	type IV toxin-antitoxin system YeeU family antitoxin	PF06154.13
KdgM	oligogalacturonate-specific porin KdgM family protein	PF06178.15
DinI	DinI-like family protein	PF06183.15
YecM	VOC family protein	PF06185.14
CCT	CCT domain-containing protein	PF06203.16
HrpF	HrpF protein	PF06266.14
DUF1040	DUF1040 family protein	PF06288.15
MatP	MatP N-terminal domain	PF06303.14
FlhE	flagellar protein FlhE	PF06366.15
DNA_pol3_theta	DNA polymerase III subunit theta	PF06440.13
DUF1107	DUF1107 family protein	PF06526.14
Phage_antitermQ	antiterminator Q family protein	PF06530.14
AlaE	L-alanine exporter AlaE	PF06610.15
DUF1145	DUF1145 domain-containing protein	PF06611.14
DUF1161	DUF1161 domain-containing protein	PF06649.14
UPF0253	YaeP family protein	PF06786.14
UPF0259	YciC family protein	PF06790.13
UPF0270	YheU family protein	PF06794.14
DUF1240	DUF1240 domain-containing protein	PF06836.14
WzyE	WzyE family oligosaccharide polymerase	PF06899.13
Pyocin_S	S-type pyocin domain-containing protein	PF06958.14
DUF1315	DUF1315 family protein	PF07023.14
TraI	conjugative transfer relaxase/helicase TraI	PF07057.13
ROF	Rho-binding antiterminator	PF07073.14
DUF1373	DUF1373 domain-containing protein	PF07117.13
ZapC	cell division protein ZapC	PF07126.14
YebG	YebG family protein	PF07130.14
MalM	MalM family protein	PF07148.14
DUF1414	DUF1414 domain-containing protein	PF07208.13
LcrG	LcrG protein	PF07216.14
DUF1422	DUF1422 family protein	PF07226.13
Cpta_toxin	protein YgfX	PF07254.14
DUF1441	DUF1441 family protein	PF07278.13
DUF1481	DUF1481 domain-containing protein	PF07356.14
DUF1496	DUF1496 domain-containing protein	PF07383.14
Crl	Crl family RNA polymerase assembly factor	PF07417.14
PriC	primosomal replication protein	PF07445.14
DUF1601	DUF1601 domain-containing protein	PF07671.13
PA-IL	LecA/PA-IL family lectin	PF07828.14
DUF1654	DUF1654 domain-containing protein	PF07867.13
Topo_Zn_Ribbon	Topoisomerase I zinc-ribbon-like	PF08272.13
RTX_C	RTX C-terminal domain	PF08339.12
OapA_N	OapA N-terminal domain-containing protein	PF08525.13
DUF1780	DUF1780 domain-containing protein	PF08682.12
gp32	gp32 DNA binding protein like	PF08804.12
YfcL	YfcL family protein	PF08891.13
Osmo_CC	Osmosensory transporter coiled coil	PF08946.12
T3SS_needle_E	EscE/YscE/SsaE family type III secretion system needle protein co-chaperone	PF08988.12
Exotox-A_cataly	Exotoxin A catalytic	PF09009.12
YopH_N	YopH, N-terminal	PF09013.12
T3SS_needle_reg	YopR/YscH family type III secretion effector	PF09025.12
STb_secrete	Heat-stable enterotoxin B, secretory	PF09075.12
Exotox-A_bind	exotoxin A binding domain-containing protein	PF09101.12
Exotox-A_target	Exotoxin A, targeting	PF09102.12
Invasin_D3	invasin domain 3-containing protein	PF09134.12
Fim-adh_lectin	Fimbrial adhesin F17-AG, lectin domain	PF09222.12
Sial-lect-inser	Vibrio cholerae sialidase, lectin insertion	PF09264.12
Type_III_YscG	YscG family type III secretion protein	PF09477.12
DUF2388	DUF2388 domain-containing protein	PF09498.12
DUF2387	YheV family putative metal-binding protein	PF09526.12
DUF2374	TIGR02808 family protein	PF09574.12
Phageshock_PspG	envelope stress response protein PspG	PF09583.12
Cyd_oper_YbgE	cyd operon YbgE family protein	PF09600.12
LcrR	Type III secretion system regulator (LcrR)	PF09621.12
Rac1	Rac1-binding domain	PF09632.12
YtfJ_HI0045	YtfJ family protein	PF09695.12
DUF2057	DUF2057 family protein	PF09829.11
sCache_4	Single cache domain 4	PF09984.11
SMP_2	AhpA/YtjB family protein	PF10144.11
CENP-F_leu_zip	Leucine-rich repeats of kinetochore protein Cenp-F/LEK1	PF10473.11
P22_AR_C	P22AR C-terminal domain-containing protein	PF10548.11
Phage_ASH	ash family protein	PF10554.11
UspB	Universal stress protein B (UspB)	PF10625.11
DUF2496	DUF2496 domain-containing protein	PF10689.11
DUF2498	DUF2498 family protein	PF10692.11
DUF2511	DUF2511 domain-containing protein	PF10709.11
DUF2517	DUF2517 family protein	PF10725.11
DUF2607	DUF2607 family protein	PF10795.11
DUF2570	DUF2570 family protein	PF10828.10
DUF2559	DUF2559 family protein	PF10832.10
DUF2572	DUF2572 family protein	PF10833.10
DUF2644	DUF2644 domain-containing protein	PF10841.10
DUF2681	DUF2681 domain-containing protein	PF10883.10
DUF2810	DUF2810 domain-containing protein	PF10928.10
DUF2737	DUF2737 family protein	PF10930.10
DUF2618	leader peptide SpeFL	PF10940.10
CBP_BcsR	BcsR/BcsP family cellulose biosynthesis protein	PF10945.10
DUF2766	DUF2766 family protein	PF10964.10
DUF2824	DUF2824 family protein	PF11039.10
DUF2856	DUF2856 family protein	PF11043.10
DUF2884	DUF2884 family protein	PF11101.10
CBP_BcsF	cellulose biosynthesis protein BcsF	PF11120.10
DUF2913	DUF2913 family protein	PF11140.10
DUF2919	DUF2919 family protein	PF11143.10
DUF2956	DUF2956 family protein	PF11169.10
DUF2985	DUF2985 domain-containing protein	PF11204.10
DUF2999	DUF2999 family protein	PF11212.10
