Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count
QGNH01000476.1	46.0	7.0	4.0	35.0	1.0
QGNH01000477.1	62.0	7.0	4.0	51.0	4.0
QGNH01000478.1	67.0	7.0	1.0	59.0	2.0
QGNH01000479.1	95.0	28.0	5.0	62.0	7.0
QGNH01000480.1	22.0	3.0	0.0	19.0	1.0
QGNH01000481.1	90.0	23.0	8.0	59.0	6.0
QGNH01000482.1	54.0	5.0	3.0	46.0	2.0
QGNH01000483.1	56.0	15.0	6.0	35.0	5.0
QGNH01000484.1	104.0	17.0	3.0	84.0	6.0
QGNH01000485.1	62.0	16.0	1.0	45.0	2.0
QGNH01000486.1	68.0	8.0	5.0	55.0	1.0
QGNH01000487.1	127.0	35.0	12.0	80.0	3.0
QGNH01000488.1	119.0	21.0	7.0	91.0	2.0
QGNH01000489.1	121.0	31.0	14.0	76.0	5.0
QGNH01000490.1	87.0	11.0	1.0	75.0	6.0
QGNH01000491.1	111.0	13.0	5.0	93.0	4.0
QGNH01000492.1	113.0	37.0	14.0	62.0	4.0
QGNH01000493.1	117.0	29.0	5.0	83.0	4.0
QGNH01000494.1	56.0	11.0	4.0	41.0	2.0
QGNH01000495.1	90.0	16.0	6.0	68.0	10.0
QGNH01000496.1	129.0	21.0	12.0	96.0	5.0
QGNH01000497.1	114.0	24.0	6.0	84.0	10.0
QGNH01000498.1	107.0	25.0	12.0	70.0	7.0
QGNH01000499.1	84.0	35.0	13.0	36.0	5.0
QGNH01000500.1	109.0	19.0	10.0	80.0	7.0
QGNH01000501.1	56.0	13.0	2.0	41.0	0.0
QGNH01000502.1	90.0	14.0	11.0	65.0	5.0
QGNH01000503.1	99.0	19.0	4.0	76.0	8.0
QGNH01000504.1	85.0	11.0	3.0	71.0	3.0
QGNH01000505.1	119.0	9.0	5.0	105.0	3.0
QGNH01000506.1	96.0	21.0	13.0	62.0	2.0
QGNH01000507.1	104.0	8.0	3.0	93.0	2.0
QGNH01000508.1	97.0	22.0	6.0	69.0	4.0
QGNH01000509.1	103.0	19.0	9.0	75.0	1.0
QGNH01000510.1	85.0	33.0	7.0	45.0	5.0
QGNH01000511.1	91.0	17.0	2.0	72.0	2.0
QGNH01000512.1	98.0	7.0	4.0	87.0	3.0
QGNH01000513.1	74.0	11.0	3.0	60.0	1.0
QGNH01000514.1	86.0	16.0	5.0	65.0	3.0
QGNH01000515.1	88.0	18.0	7.0	63.0	2.0
QGNH01000516.1	84.0	11.0	5.0	68.0	1.0
QGNH01000517.1	92.0	26.0	7.0	59.0	6.0
QGNH01000518.1	89.0	20.0	5.0	64.0	6.0
QGNH01000519.1	88.0	20.0	4.0	64.0	3.0
QGNH01000520.1	65.0	7.0	3.0	55.0	0.0
QGNH01000521.1	91.0	8.0	5.0	78.0	2.0
QGNH01000522.1	68.0	18.0	1.0	49.0	9.0
QGNH01000523.1	87.0	13.0	2.0	72.0	0.0
QGNH01000524.1	82.0	12.0	5.0	65.0	3.0
QGNH01000525.1	85.0	19.0	8.0	58.0	3.0
QGNH01000526.1	97.0	18.0	6.0	73.0	1.0
QGNH01000527.1	72.0	15.0	5.0	52.0	3.0
QGNH01000528.1	78.0	23.0	14.0	41.0	2.0
QGNH01000529.1	94.0	19.0	7.0	68.0	6.0
QGNH01000530.1	84.0	22.0	14.0	48.0	2.0
QGNH01000531.1	73.0	17.0	9.0	47.0	3.0
QGNH01000532.1	122.0	15.0	2.0	105.0	2.0
QGNH01000533.1	67.0	5.0	0.0	62.0	1.0
QGNH01000534.1	76.0	23.0	7.0	46.0	8.0
QGNH01000535.1	91.0	28.0	10.0	53.0	7.0
QGNH01000536.1	74.0	7.0	3.0	64.0	0.0
QGNH01000537.1	74.0	10.0	2.0	62.0	1.0
QGNH01000538.1	58.0	7.0	7.0	44.0	1.0
QGNH01000539.1	83.0	8.0	2.0	73.0	0.0
QGNH01000540.1	83.0	15.0	10.0	58.0	2.0
QGNH01000541.1	69.0	20.0	4.0	45.0	3.0
QGNH01000542.1	82.0	11.0	5.0	66.0	0.0
QGNH01000543.1	77.0	15.0	1.0	61.0	0.0
QGNH01000544.1	90.0	6.0	1.0	83.0	1.0
QGNH01000545.1	33.0	10.0	2.0	21.0	1.0
QGNH01000546.1	72.0	14.0	5.0	53.0	4.0
QGNH01000547.1	62.0	11.0	2.0	49.0	3.0
QGNH01000548.1	80.0	11.0	2.0	67.0	5.0
QGNH01000549.1	63.0	14.0	2.0	47.0	5.0
QGNH01000550.1	69.0	10.0	2.0	57.0	3.0
QGNH01000551.1	67.0	15.0	5.0	47.0	0.0
QGNH01000552.1	67.0	9.0	2.0	56.0	1.0
QGNH01000553.1	64.0	16.0	0.0	48.0	3.0
QGNH01000554.1	55.0	12.0	7.0	36.0	2.0
QGNH01000555.1	70.0	6.0	2.0	62.0	3.0
QGNH01000556.1	53.0	8.0	3.0	42.0	2.0
QGNH01000557.1	77.0	10.0	3.0	64.0	4.0
QGNH01000558.1	61.0	12.0	2.0	47.0	3.0
QGNH01000559.1	72.0	16.0	5.0	51.0	1.0
QGNH01000560.1	73.0	7.0	0.0	66.0	4.0
QGNH01000561.1	59.0	23.0	8.0	28.0	3.0
QGNH01000562.1	72.0	10.0	5.0	57.0	3.0
QGNH01000563.1	73.0	14.0	3.0	56.0	3.0
QGNH01000564.1	70.0	9.0	3.0	58.0	4.0
QGNH01000565.1	59.0	15.0	4.0	40.0	3.0
QGNH01000566.1	74.0	10.0	1.0	63.0	3.0
QGNH01000567.1	53.0	8.0	5.0	40.0	1.0
QGNH01000568.1	66.0	7.0	2.0	57.0	3.0
QGNH01000569.1	73.0	11.0	0.0	62.0	8.0
QGNH01000570.1	60.0	10.0	2.0	48.0	0.0
QGNH01000571.1	63.0	15.0	4.0	44.0	1.0
QGNH01000572.1	60.0	7.0	0.0	53.0	1.0
QGNH01000573.1	60.0	17.0	4.0	39.0	3.0
QGNH01000574.1	53.0	9.0	2.0	42.0	1.0
QGNH01000575.1	64.0	17.0	3.0	44.0	3.0
QGNH01000576.1	50.0	14.0	4.0	32.0	3.0
QGNH01000577.1	55.0	11.0	5.0	39.0	2.0
QGNH01000578.1	49.0	8.0	2.0	39.0	2.0
QGNH01000579.1	62.0	12.0	1.0	49.0	3.0
QGNH01000580.1	59.0	8.0	0.0	51.0	2.0
QGNH01000581.1	63.0	10.0	2.0	51.0	4.0
QGNH01000582.1	62.0	10.0	4.0	48.0	1.0
QGNH01000583.1	68.0	12.0	9.0	47.0	1.0
QGNH01000584.1	62.0	8.0	2.0	52.0	1.0
QGNH01000585.1	62.0	9.0	2.0	51.0	0.0
QGNH01000586.1	66.0	13.0	7.0	46.0	5.0
QGNH01000587.1	61.0	15.0	6.0	40.0	3.0
QGNH01000588.1	71.0	12.0	3.0	56.0	4.0
QGNH01000589.1	74.0	17.0	7.0	50.0	1.0
QGNH01000590.1	102.0	8.0	7.0	87.0	1.0
QGNH01000591.1	53.0	14.0	3.0	36.0	1.0
QGNH01000592.1	67.0	13.0	3.0	51.0	4.0
QGNH01000593.1	56.0	9.0	1.0	46.0	3.0
QGNH01000594.1	50.0	8.0	2.0	40.0	4.0
QGNH01000595.1	56.0	11.0	0.0	45.0	1.0
QGNH01000596.1	53.0	53.0	0.0	0.0	0.0
QGNH01000597.1	62.0	5.0	2.0	55.0	1.0
QGNH01000598.1	60.0	20.0	5.0	35.0	3.0
QGNH01000599.1	71.0	20.0	2.0	49.0	7.0
QGNH01000600.1	65.0	14.0	6.0	45.0	4.0
QGNH01000601.1	69.0	15.0	4.0	50.0	6.0
QGNH01000602.1	65.0	7.0	1.0	57.0	4.0
QGNH01000603.1	62.0	12.0	2.0	48.0	1.0
QGNH01000604.1	65.0	15.0	2.0	48.0	3.0
QGNH01000605.1	71.0	11.0	6.0	54.0	4.0
QGNH01000606.1	53.0	12.0	3.0	38.0	4.0
QGNH01000607.1	69.0	9.0	0.0	60.0	3.0
QGNH01000608.1	62.0	12.0	1.0	49.0	1.0
QGNH01000609.1	76.0	7.0	2.0	67.0	3.0
QGNH01000610.1	49.0	6.0	5.0	38.0	0.0
QGNH01000611.1	63.0	12.0	3.0	48.0	2.0
QGNH01000612.1	45.0	14.0	1.0	30.0	3.0
QGNH01000613.1	70.0	11.0	3.0	56.0	2.0
QGNH01000614.1	47.0	13.0	1.0	33.0	3.0
QGNH01000615.1	52.0	9.0	0.0	43.0	2.0
QGNH01000616.1	68.0	7.0	5.0	56.0	1.0
QGNH01000617.1	60.0	6.0	3.0	51.0	1.0
QGNH01000618.1	61.0	11.0	4.0	46.0	1.0
QGNH01000619.1	71.0	7.0	1.0	63.0	2.0
QGNH01000620.1	59.0	9.0	2.0	48.0	2.0
QGNH01000621.1	50.0	15.0	3.0	32.0	3.0
QGNH01000622.1	46.0	14.0	1.0	31.0	7.0
QGNH01000623.1	44.0	14.0	4.0	26.0	2.0
QGNH01000624.1	45.0	11.0	6.0	28.0	3.0
QGNH01000625.1	58.0	12.0	1.0	45.0	1.0
QGNH01000626.1	78.0	13.0	6.0	59.0	5.0
QGNH01000627.1	67.0	7.0	4.0	56.0	1.0
QGNH01000628.1	51.0	6.0	2.0	43.0	2.0
QGNH01000629.1	55.0	12.0	1.0	42.0	3.0
QGNH01000630.1	49.0	6.0	0.0	43.0	2.0
QGNH01000631.1	51.0	7.0	2.0	42.0	1.0
QGNH01000632.1	60.0	9.0	0.0	51.0	1.0
QGNH01000633.1	57.0	17.0	4.0	36.0	6.0
QGNH01000634.1	57.0	23.0	6.0	28.0	2.0
QGNH01000635.1	59.0	15.0	3.0	41.0	2.0
QGNH01000636.1	40.0	11.0	1.0	28.0	3.0
QGNH01000637.1	50.0	4.0	0.0	46.0	1.0
QGNH01000638.1	75.0	6.0	2.0	67.0	1.0
QGNH01000639.1	55.0	21.0	4.0	30.0	4.0
QGNH01000640.1	78.0	14.0	1.0	63.0	2.0
QGNH01000641.1	66.0	11.0	3.0	52.0	2.0
QGNH01000642.1	63.0	9.0	1.0	53.0	2.0
QGNH01000643.1	45.0	10.0	4.0	31.0	1.0
QGNH01000644.1	34.0	5.0	1.0	28.0	1.0
QGNH01000645.1	60.0	6.0	2.0	52.0	0.0
QGNH01000646.1	54.0	15.0	3.0	36.0	2.0
QGNH01000647.1	57.0	23.0	9.0	25.0	3.0
QGNH01000648.1	47.0	7.0	1.0	39.0	2.0
QGNH01000649.1	60.0	12.0	8.0	40.0	3.0
QGNH01000650.1	44.0	8.0	2.0	34.0	2.0
QGNH01000651.1	56.0	8.0	5.0	43.0	1.0
QGNH01000652.1	65.0	8.0	1.0	56.0	3.0
QGNH01000653.1	62.0	14.0	7.0	41.0	1.0
QGNH01000654.1	48.0	12.0	0.0	36.0	2.0
QGNH01000655.1	55.0	15.0	6.0	34.0	1.0
QGNH01000656.1	39.0	13.0	0.0	26.0	1.0
QGNH01000657.1	30.0	15.0	4.0	11.0	4.0
QGNH01000658.1	61.0	12.0	4.0	45.0	2.0
QGNH01000659.1	45.0	19.0	6.0	20.0	2.0
QGNH01000660.1	40.0	10.0	2.0	28.0	1.0
QGNH01000661.1	49.0	18.0	2.0	29.0	1.0
QGNH01000662.1	60.0	15.0	8.0	37.0	5.0
QGNH01000663.1	33.0	5.0	0.0	28.0	1.0
QGNH01000664.1	34.0	27.0	7.0	0.0	0.0
QGNH01000665.1	44.0	8.0	2.0	34.0	2.0
QGNH01000666.1	37.0	8.0	4.0	25.0	1.0
QGNH01000667.1	45.0	7.0	1.0	37.0	5.0
QGNH01000668.1	43.0	14.0	3.0	26.0	2.0
QGNH01000669.1	47.0	10.0	1.0	36.0	3.0
QGNH01000670.1	53.0	7.0	1.0	45.0	2.0
QGNH01000671.1	31.0	4.0	0.0	27.0	1.0
QGNH01000672.1	36.0	35.0	1.0	0.0	0.0
QGNH01000673.1	57.0	7.0	3.0	47.0	1.0
QGNH01000674.1	32.0	32.0	0.0	0.0	0.0
QGNH01000675.1	31.0	31.0	0.0	0.0	0.0
QGNH01000676.1	34.0	7.0	4.0	23.0	2.0
QGNH01000677.1	45.0	11.0	3.0	31.0	1.0
QGNH01000678.1	45.0	8.0	5.0	32.0	2.0
QGNH01000679.1	46.0	46.0	0.0	0.0	0.0
QGNH01000680.1	57.0	52.0	5.0	0.0	0.0
QGNH01000681.1	52.0	16.0	7.0	29.0	2.0
QGNH01000682.1	36.0	8.0	0.0	28.0	1.0
QGNH01000683.1	41.0	40.0	1.0	0.0	0.0
QGNH01000684.1	48.0	47.0	1.0	0.0	0.0
QGNH01000685.1	37.0	4.0	0.0	33.0	1.0
QGNH01000686.1	47.0	18.0	1.0	28.0	1.0
QGNH01000687.1	30.0	10.0	3.0	17.0	1.0
QGNH01000688.1	40.0	8.0	4.0	28.0	1.0
QGNH01000689.1	35.0	8.0	1.0	26.0	1.0
QGNH01000690.1	32.0	8.0	4.0	20.0	2.0
QGNH01000691.1	47.0	10.0	1.0	36.0	3.0
QGNH01000692.1	37.0	7.0	3.0	27.0	0.0
QGNH01000693.1	45.0	18.0	1.0	26.0	2.0
QGNH01000694.1	36.0	13.0	2.0	21.0	4.0
QGNH01000695.1	34.0	10.0	3.0	21.0	6.0
QGNH01000696.1	26.0	23.0	3.0	0.0	0.0
QGNH01000697.1	40.0	4.0	2.0	34.0	1.0
QGNH01000698.1	37.0	37.0	0.0	0.0	0.0
QGNH01000699.1	39.0	7.0	2.0	30.0	4.0
QGNH01000700.1	40.0	6.0	1.0	33.0	1.0
QGNH01000701.1	39.0	2.0	2.0	35.0	1.0
QGNH01000702.1	52.0	8.0	4.0	40.0	4.0
QGNH01000703.1	41.0	5.0	5.0	31.0	3.0
QGNH01000704.1	40.0	10.0	0.0	30.0	2.0
QGNH01000705.1	45.0	5.0	1.0	39.0	1.0
QGNH01000706.1	48.0	7.0	0.0	41.0	3.0
QGNH01000707.1	57.0	10.0	2.0	45.0	1.0
QGNH01000708.1	39.0	38.0	1.0	0.0	0.0
QGNH01000709.1	26.0	8.0	0.0	18.0	4.0
QGNH01000710.1	43.0	41.0	2.0	0.0	0.0
QGNH01000711.1	32.0	5.0	1.0	26.0	1.0
QGNH01000712.1	60.0	6.0	3.0	51.0	1.0
QGNH01000713.1	29.0	10.0	0.0	19.0	4.0
QGNH01000714.1	31.0	29.0	2.0	0.0	0.0
QGNH01000715.1	40.0	4.0	3.0	33.0	0.0
QGNH01000716.1	34.0	31.0	3.0	0.0	0.0
QGNH01000717.1	19.0	18.0	1.0	0.0	0.0
QGNH01000718.1	34.0	5.0	1.0	28.0	1.0
QGNH01000719.1	39.0	10.0	2.0	27.0	1.0
QGNH01000720.1	38.0	3.0	0.0	35.0	1.0
QGNH01000721.1	49.0	11.0	0.0	38.0	1.0
QGNH01000722.1	46.0	7.0	2.0	37.0	1.0
QGNH01000723.1	38.0	38.0	0.0	0.0	0.0
QGNH01000724.1	30.0	30.0	0.0	0.0	0.0
QGNH01000725.1	30.0	26.0	4.0	0.0	0.0
QGNH01000726.1	32.0	8.0	1.0	23.0	5.0
QGNH01000727.1	41.0	20.0	5.0	16.0	1.0
QGNH01000728.1	31.0	31.0	0.0	0.0	0.0
QGNH01000729.1	41.0	11.0	1.0	29.0	1.0
QGNH01000730.1	35.0	15.0	6.0	14.0	1.0
QGNH01000731.1	64.0	59.0	5.0	0.0	0.0
QGNH01000732.1	42.0	12.0	4.0	26.0	2.0
QGNH01000733.1	51.0	49.0	2.0	0.0	0.0
QGNH01000734.1	41.0	8.0	5.0	28.0	1.0
QGNH01000735.1	29.0	24.0	5.0	0.0	0.0
QGNH01000736.1	34.0	9.0	3.0	22.0	1.0
QGNH01000737.1	39.0	17.0	6.0	16.0	1.0
QGNH01000738.1	29.0	27.0	2.0	0.0	0.0
QGNH01000739.1	38.0	11.0	1.0	26.0	1.0
QGNH01000740.1	39.0	13.0	2.0	24.0	1.0
QGNH01000741.1	26.0	7.0	2.0	17.0	0.0
QGNH01000742.1	15.0	15.0	0.0	0.0	0.0
QGNH01000743.1	34.0	6.0	3.0	25.0	2.0
QGNH01000744.1	38.0	11.0	3.0	24.0	4.0
QGNH01000745.1	48.0	18.0	6.0	24.0	6.0
QGNH01000746.1	51.0	14.0	2.0	35.0	0.0
QGNH01000747.1	36.0	11.0	7.0	18.0	3.0
QGNH01000748.1	36.0	8.0	5.0	23.0	1.0
QGNH01000749.1	21.0	3.0	1.0	17.0	0.0
QGNH01000750.1	19.0	9.0	0.0	10.0	1.0
QGNH01000751.1	32.0	32.0	0.0	0.0	0.0
QGNH01000752.1	32.0	11.0	0.0	21.0	4.0
QGNH01000753.1	36.0	8.0	3.0	25.0	1.0
QGNH01000754.1	27.0	6.0	0.0	21.0	1.0
QGNH01000755.1	30.0	7.0	0.0	23.0	1.0
QGNH01000756.1	37.0	4.0	4.0	29.0	1.0
QGNH01000757.1	26.0	23.0	3.0	0.0	0.0
QGNH01000758.1	34.0	9.0	2.0	23.0	4.0
QGNH01000759.1	29.0	28.0	1.0	0.0	0.0
QGNH01000760.1	38.0	6.0	1.0	31.0	1.0
QGNH01000762.1	29.0	7.0	1.0	21.0	4.0
QGNH01000763.1	35.0	8.0	3.0	24.0	1.0
QGNH01000764.1	32.0	29.0	3.0	0.0	0.0
QGNH01000765.1	39.0	11.0	0.0	28.0	3.0
QGNH01000766.1	27.0	6.0	1.0	20.0	1.0
QGNH01000767.1	34.0	33.0	1.0	0.0	0.0
QGNH01000768.1	44.0	14.0	2.0	28.0	4.0
QGNH01000769.1	34.0	7.0	3.0	24.0	2.0
QGNH01000770.1	22.0	22.0	0.0	0.0	0.0
QGNH01000771.1	32.0	3.0	2.0	27.0	0.0
QGNH01000772.1	28.0	28.0	0.0	0.0	0.0
QGNH01000773.1	36.0	11.0	0.0	25.0	2.0
QGNH01000774.1	36.0	9.0	7.0	20.0	1.0
QGNH01000775.1	40.0	39.0	1.0	0.0	0.0
QGNH01000776.1	28.0	27.0	1.0	0.0	0.0
QGNH01000777.1	25.0	10.0	4.0	11.0	2.0
QGNH01000778.1	39.0	10.0	5.0	24.0	3.0
QGNH01000779.1	28.0	6.0	1.0	21.0	2.0
QGNH01000780.1	42.0	15.0	3.0	24.0	2.0
QGNH01000781.1	27.0	25.0	2.0	0.0	0.0
QGNH01000782.1	20.0	3.0	0.0	17.0	2.0
QGNH01000783.1	33.0	7.0	0.0	26.0	1.0
QGNH01000784.1	30.0	30.0	0.0	0.0	0.0
QGNH01000785.1	42.0	6.0	3.0	33.0	3.0
QGNH01000786.1	35.0	7.0	2.0	26.0	4.0
QGNH01000787.1	26.0	6.0	1.0	19.0	0.0
QGNH01000788.1	39.0	37.0	2.0	0.0	0.0
QGNH01000789.1	29.0	28.0	1.0	0.0	0.0
QGNH01000790.1	25.0	3.0	0.0	22.0	1.0
QGNH01000791.1	23.0	6.0	1.0	16.0	2.0
QGNH01000792.1	30.0	4.0	0.0	26.0	0.0
QGNH01000793.1	24.0	22.0	2.0	0.0	0.0
QGNH01000794.1	33.0	4.0	1.0	28.0	1.0
QGNH01000795.1	23.0	4.0	0.0	19.0	1.0
QGNH01000796.1	22.0	4.0	3.0	15.0	1.0
QGNH01000797.1	32.0	7.0	1.0	24.0	2.0
QGNH01000798.1	21.0	6.0	0.0	15.0	4.0
QGNH01000799.1	20.0	6.0	1.0	13.0	1.0
QGNH01000800.1	42.0	6.0	0.0	36.0	3.0
QGNH01000801.1	25.0	7.0	1.0	17.0	1.0
QGNH01000802.1	44.0	14.0	2.0	28.0	3.0
QGNH01000803.1	21.0	18.0	3.0	0.0	0.0
QGNH01000804.1	27.0	24.0	3.0	0.0	0.0
QGNH01000805.1	26.0	26.0	0.0	0.0	0.0
QGNH01000806.1	34.0	6.0	3.0	25.0	2.0
QGNH01000807.1	38.0	16.0	2.0	20.0	6.0
QGNH01000808.1	26.0	6.0	0.0	20.0	3.0
QGNH01000809.1	33.0	9.0	2.0	22.0	1.0
QGNH01000810.1	35.0	34.0	1.0	0.0	0.0
QGNH01000811.1	36.0	5.0	0.0	31.0	2.0
QGNH01000812.1	30.0	9.0	0.0	21.0	1.0
QGNH01000813.1	32.0	30.0	2.0	0.0	0.0
QGNH01000814.1	38.0	10.0	3.0	25.0	2.0
QGNH01000815.1	21.0	12.0	1.0	8.0	2.0
QGNH01000816.1	41.0	7.0	2.0	32.0	2.0
QGNH01000818.1	37.0	11.0	1.0	25.0	2.0
QGNH01000819.1	24.0	23.0	1.0	0.0	0.0
QGNH01000820.1	29.0	28.0	1.0	0.0	0.0
QGNH01000821.1	24.0	10.0	3.0	11.0	1.0
QGNH01000822.1	25.0	24.0	1.0	0.0	0.0
QGNH01000823.1	37.0	33.0	4.0	0.0	0.0
QGNH01000824.1	26.0	11.0	1.0	14.0	2.0
QGNH01000825.1	24.0	4.0	1.0	19.0	1.0
QGNH01000826.1	23.0	4.0	0.0	19.0	2.0
QGNH01000827.1	23.0	21.0	2.0	0.0	0.0
QGNH01000828.1	19.0	9.0	0.0	10.0	2.0
QGNH01000829.1	33.0	4.0	0.0	29.0	1.0
QGNH01000830.1	37.0	37.0	0.0	0.0	0.0
QGNH01000831.1	16.0	16.0	0.0	0.0	0.0
QGNH01000832.1	11.0	8.0	0.0	3.0	2.0
QGNH01000833.1	31.0	8.0	5.0	18.0	1.0
QGNH01000834.1	19.0	9.0	4.0	6.0	0.0
QGNH01000835.1	12.0	12.0	0.0	0.0	0.0
QGNH01000836.1	18.0	4.0	2.0	12.0	1.0
QGNH01000837.1	23.0	22.0	1.0	0.0	0.0
QGNH01000838.1	28.0	28.0	0.0	0.0	0.0
QGNH01000839.1	29.0	11.0	1.0	17.0	3.0
QGNH01000840.1	33.0	3.0	2.0	28.0	1.0
QGNH01000842.1	13.0	12.0	1.0	0.0	0.0
QGNH01000843.1	47.0	45.0	2.0	0.0	0.0
QGNH01000844.1	34.0	12.0	4.0	18.0	3.0
QGNH01000845.1	29.0	8.0	1.0	20.0	1.0
QGNH01000846.1	25.0	8.0	1.0	16.0	3.0
QGNH01000847.1	19.0	5.0	3.0	11.0	1.0
QGNH01000848.1	13.0	3.0	0.0	10.0	1.0
QGNH01000849.1	23.0	23.0	0.0	0.0	0.0
QGNH01000850.1	26.0	7.0	1.0	18.0	2.0
QGNH01000851.1	31.0	28.0	3.0	0.0	0.0
QGNH01000852.1	35.0	7.0	5.0	23.0	1.0
QGNH01000853.1	16.0	16.0	0.0	0.0	0.0
QGNH01000854.1	25.0	4.0	1.0	20.0	1.0
QGNH01000855.1	23.0	5.0	4.0	14.0	2.0
QGNH01000856.1	25.0	12.0	2.0	11.0	1.0
QGNH01000857.1	21.0	9.0	0.0	12.0	4.0
QGNH01000858.1	34.0	9.0	0.0	25.0	3.0
QGNH01000859.1	35.0	3.0	0.0	32.0	1.0
QGNH01000860.1	24.0	9.0	0.0	15.0	1.0
QGNH01000861.1	19.0	7.0	0.0	12.0	2.0
QGNH01000862.1	21.0	20.0	1.0	0.0	0.0
QGNH01000863.1	26.0	26.0	0.0	0.0	0.0
QGNH01000864.1	22.0	9.0	1.0	12.0	0.0
QGNH01000865.1	21.0	6.0	0.0	15.0	3.0
QGNH01000866.1	28.0	5.0	4.0	19.0	2.0
QGNH01000867.1	27.0	6.0	2.0	19.0	2.0
QGNH01000868.1	24.0	5.0	2.0	17.0	1.0
QGNH01000869.1	30.0	8.0	0.0	22.0	3.0
QGNH01000870.1	15.0	5.0	0.0	10.0	0.0
QGNH01000871.1	16.0	6.0	0.0	10.0	0.0
QGNH01000872.1	22.0	6.0	1.0	15.0	1.0
QGNH01000873.1	14.0	13.0	1.0	0.0	0.0
QGNH01000874.1	33.0	5.0	0.0	28.0	1.0
QGNH01000875.1	32.0	30.0	2.0	0.0	0.0
QGNH01000876.1	12.0	4.0	1.0	7.0	2.0
QGNH01000877.1	23.0	21.0	2.0	0.0	0.0
QGNH01000878.1	13.0	13.0	0.0	0.0	0.0
QGNH01000879.1	26.0	24.0	2.0	0.0	0.0
QGNH01000880.1	25.0	13.0	3.0	9.0	1.0
QGNH01000881.1	25.0	6.0	0.0	19.0	2.0
QGNH01000882.1	24.0	3.0	2.0	19.0	1.0
QGNH01000883.1	24.0	5.0	0.0	19.0	1.0
QGNH01000884.1	20.0	19.0	1.0	0.0	0.0
QGNH01000885.1	27.0	6.0	1.0	20.0	2.0
QGNH01000886.1	34.0	30.0	4.0	0.0	0.0
QGNH01000887.1	32.0	4.0	1.0	27.0	1.0
QGNH01000888.1	26.0	5.0	0.0	21.0	0.0
QGNH01000889.1	13.0	13.0	0.0	0.0	0.0
QGNH01000890.1	21.0	9.0	0.0	12.0	2.0
QGNH01000891.1	34.0	14.0	4.0	16.0	0.0
QGNH01000892.1	25.0	21.0	4.0	0.0	0.0
QGNH01000893.1	10.0	5.0	0.0	5.0	3.0
QGNH01000894.1	22.0	5.0	0.0	17.0	2.0
QGNH01000895.1	25.0	6.0	2.0	17.0	1.0
QGNH01000896.1	18.0	3.0	0.0	15.0	1.0
QGNH01000897.1	24.0	24.0	0.0	0.0	0.0
QGNH01000898.1	22.0	5.0	0.0	17.0	2.0
QGNH01000899.1	22.0	5.0	2.0	15.0	0.0
QGNH01000900.1	26.0	3.0	0.0	23.0	1.0
QGNH01000901.1	20.0	6.0	1.0	13.0	1.0
QGNH01000902.1	34.0	33.0	1.0	0.0	0.0
QGNH01000903.1	20.0	8.0	2.0	10.0	2.0
QGNH01000904.1	23.0	5.0	1.0	17.0	2.0
QGNH01000905.1	31.0	4.0	3.0	24.0	1.0
QGNH01000906.1	21.0	18.0	3.0	0.0	0.0
QGNH01000907.1	13.0	9.0	0.0	4.0	2.0
QGNH01000908.1	23.0	8.0	3.0	12.0	3.0
QGNH01000909.1	26.0	7.0	1.0	18.0	1.0
QGNH01000910.1	16.0	16.0	0.0	0.0	0.0
QGNH01000911.1	19.0	11.0	5.0	3.0	3.0
QGNH01000912.1	21.0	3.0	0.0	18.0	1.0
QGNH01000913.1	9.0	6.0	0.0	3.0	2.0
QGNH01000914.1	20.0	5.0	0.0	15.0	1.0
QGNH01000915.1	15.0	6.0	0.0	9.0	0.0
QGNH01000917.1	22.0	6.0	1.0	15.0	3.0
QGNH01000918.1	26.0	5.0	0.0	21.0	2.0
QGNH01000919.1	16.0	8.0	1.0	7.0	4.0
QGNH01000920.1	16.0	4.0	0.0	12.0	2.0
QGNH01000921.1	27.0	27.0	0.0	0.0	0.0
QGNH01000922.1	25.0	4.0	0.0	21.0	1.0
QGNH01000923.1	22.0	3.0	1.0	18.0	0.0
QGNH01000924.1	22.0	5.0	0.0	17.0	3.0
QGNH01000925.1	24.0	4.0	0.0	20.0	1.0
QGNH01000926.1	12.0	2.0	0.0	10.0	0.0
QGNH01000927.1	28.0	5.0	0.0	23.0	1.0
QGNH01000928.1	18.0	7.0	0.0	11.0	2.0
QGNH01000929.1	18.0	6.0	0.0	12.0	1.0
QGNH01000930.1	17.0	16.0	1.0	0.0	0.0
QGNH01000931.1	24.0	4.0	0.0	20.0	1.0
QGNH01000932.1	15.0	6.0	0.0	9.0	3.0
QGNH01000933.1	20.0	13.0	0.0	7.0	2.0
QGNH01000934.1	11.0	5.0	2.0	4.0	1.0
QGNH01000935.1	26.0	5.0	0.0	21.0	3.0
QGNH01000936.1	25.0	3.0	0.0	22.0	1.0
QGNH01000939.1	24.0	9.0	2.0	13.0	1.0
QGNH01000940.1	24.0	23.0	1.0	0.0	0.0
QGNH01000941.1	18.0	15.0	3.0	0.0	0.0
QGNH01000942.1	19.0	5.0	0.0	14.0	0.0
QGNH01000943.1	16.0	4.0	5.0	7.0	0.0
QGNH01000944.1	28.0	10.0	1.0	17.0	1.0
QGNH01000945.1	25.0	8.0	0.0	17.0	1.0
