L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG06397	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG06398	Entry-fusion complex protein OPG094		PG099_VARV
Virus protein with function beneficial for the host	VOG06399	Viral Fc-gamma receptor-like protein IR11		IR11_HCMVA
Function unknown	VOG06400	Hypothetical protein		
Function unknown	VOG06401	LO5		
Function unknown	VOG06402	Hypothetical protein		
Function unknown	VOG06403	Protein ORF8		
Function unknown	VOG06404	Putative transmembrane protein		
Function unknown	VOG06405	Hypothetical protein		
Function unknown	VOG06406	Hypothetical protein		
Function unknown	VOG06407	Hypothetical protein		
Function unknown	VOG06408	Hypothetical protein		
Function unknown	VOG06409	Hypothetical protein		
Function unknown	VOG06410	Hypothetical protein		
Function unknown	VOG06411	Hypothetical protein		
Function unknown	VOG06412	Hypothetical protein		
Function unknown	VOG06413	Hypothetical protein		
Function unknown	VOG06414	Hypothetical protein		
Function unknown	VOG06415	Hypothetical protein		
Function unknown	VOG06416	Hypothetical protein		
Function unknown	VOG06417	Hypothetical protein		
Function unknown	VOG06418	Hypothetical protein		
Function unknown	VOG06419	Hypothetical protein		
Function unknown	VOG06420	Hypothetical protein		
Function unknown	VOG06421	Hypothetical protein		
Function unknown	VOG06422	Hypothetical protein		
Function unknown	VOG06423	Hypothetical protein		
Function unknown	VOG06424	Hypothetical protein		
Function unknown	VOG06425	Hypothetical protein		
Function unknown	VOG06426	Hypothetical protein		
Function unknown	VOG06427	Tail tape measure protein		
Function unknown	VOG06428	Hypothetical protein		
Function unknown	VOG06429	Hypothetical protein		
Function unknown	VOG06430	Hypothetical protein		
Function unknown	VOG06431	Hypothetical protein		
Function unknown	VOG06432	Hypothetical protein		
Function unknown	VOG06433	Hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG06434	Major outer capsid protein		CAPSD_BPPH6
Function unknown	VOG06435	HTH DNA binding protein		
Function unknown	VOG06436	Hypothetical protein		
Function unknown	VOG06437	Hypothetical protein		
Function unknown	VOG06438	Hypothetical protein		
Function unknown	VOG06439	Hypothetical protein		
Function unknown	VOG06440	Hypothetical protein		
Function unknown	VOG06441	Hypothetical protein		
Function unknown	VOG06442	Hypothetical protein		
Function unknown	VOG06443	Hypothetical protein		
Function unknown	VOG06444	Hypothetical protein		
Function unknown	VOG06445	Hypothetical protein		
Function unknown	VOG06446	Hypothetical protein		
Function unknown	VOG06447	Hypothetical protein		
Function unknown	VOG06448	Hypothetical protein		
Function unknown	VOG06449	Hypothetical protein		
Function unknown	VOG06450	Hypothetical protein		
Function unknown	VOG06451	Hypothetical protein		
Function unknown	VOG06452	Hypothetical protein		
Function unknown	VOG06453	Hypothetical protein		
Function unknown	VOG06454	Hypothetical protein		
Function unknown	VOG06455	Morphogenetic protein		P12_BPPH6
Function unknown	VOG06456	Hypothetical protein		
Function unknown	VOG06457	Hypothetical protein		
Function unknown	VOG06458	Hypothetical protein		
Function unknown	VOG06459	Hypothetical protein		
Function unknown	VOG06460	Hypothetical protein		
Function unknown	VOG06461	Hypothetical protein		
Function unknown	VOG06462	Hypothetical protein		
Function unknown	VOG06463	Hypothetical protein		
Function unknown	VOG06464	Hypothetical protein		
Function unknown	VOG06465	Hypothetical protein		
Function unknown	VOG06466	Hypothetical protein		
Function unknown	VOG06467	Hypothetical protein		
Function unknown	VOG06468	Hypothetical protein		
Function unknown	VOG06469	Hypothetical protein		
Function unknown	VOG06470	Hypothetical protein		
Function unknown	VOG06471	Hypothetical protein		
Function unknown	VOG06472	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG06473	Peptidoglycan hydrolase gp5		EXLYS_BPPH6
Function unknown	VOG06474	Hypothetical protein		
Function unknown	VOG06475	Tail spike protein		
Function unknown	VOG06476	DCMP hydroxymethylase		
Function unknown	VOG06477	Hypothetical protein		
Function unknown	VOG06478	Hypothetical protein		
Function unknown	VOG06479	DNA methyltransferase		
Function unknown	VOG06480	Hypothetical protein		
Function unknown	VOG06481	Hypothetical protein		
Function unknown	VOG06482	Hypothetical protein		
Function unknown	VOG06483	Hypothetical protein		
Function unknown	VOG06484	Uncharacterized 4.3 kDa protein in ndd-denB intergenic region		Y16M_BPT4
Function unknown	VOG06485	Hypothetical protein		
Function unknown	VOG06486	Hypothetical protein		
Function unknown	VOG06487	Holin		
Function unknown	VOG06488	Endonuclease		
Function unknown	VOG06489	Hypothetical protein		
Function unknown	VOG06490	Hypothetical protein		
Function unknown	VOG06491	Hypothetical protein		
Function unknown	VOG06492	Hypothetical protein		
Function unknown	VOG06493	Hypothetical protein		
Function unknown	VOG06494	Hypothetical protein		
Function unknown	VOG06495	Hypothetical protein		
Function unknown	VOG06496	Hypothetical protein		
Function unknown	VOG06497	Hypothetical protein		
Function unknown	VOG06498	Hypothetical protein		
Function unknown	VOG06499	Membrane protein		
Function unknown	VOG06500	Hypothetical protein		
Function unknown	VOG06501	Hypothetical protein		
Function unknown	VOG06502	Hypothetical protein		
Function unknown	VOG06503	Hypothetical protein		
Function unknown	VOG06504	Hypothetical protein		
Function unknown	VOG06505	Hypothetical protein		
Function unknown	VOG06506	Hypothetical protein		
Function unknown	VOG06507	Hypothetical protein		
Function unknown	VOG06508	Hypothetical protein		
Function unknown	VOG06509	Hypothetical protein		
Function unknown	VOG06510	Tail appendage		
Function unknown	VOG06511	Hypothetical protein		
Function unknown	VOG06512	Hypothetical protein		
Function unknown	VOG06513	Hypothetical protein		
Function unknown	VOG06514	Hypothetical protein		
Function unknown	VOG06515	Hypothetical protein		
Function unknown	VOG06516	Hypothetical protein		
Function unknown	VOG06517	Hypothetical protein		
Function unknown	VOG06518	Membrane protein		
Function unknown	VOG06519	Hypothetical protein		
Function unknown	VOG06520	Hypothetical protein		
Function unknown	VOG06521	Hypothetical protein		
Virus protein with function beneficial for the host	VOG06522	Probable terminase, small subunit		TERS_BPT5
Function unknown	VOG06523	Hypothetical protein		
Virus protein with function beneficial for the host	VOG06524	Gene product 38		GP38_BPLP0
Function unknown	VOG06525	Hypothetical protein		
Function unknown	VOG06526	Hypothetical protein		
Function unknown	VOG06527	Hypothetical protein		
Function unknown	VOG06528	Hypothetical protein		
Function unknown	VOG06529	Hypothetical protein		
Function unknown	VOG06530	Hypothetical protein		
Function unknown	VOG06531	Hypothetical protein		
Function unknown	VOG06532	Tail protein		
Function unknown	VOG06533	Hypothetical protein		
Function unknown	VOG06534	Hypothetical protein		
Function unknown	VOG06535	Hypothetical protein		
Function unknown	VOG06536	Helicase		
Function unknown	VOG06537	Tail length tape measure protein		
Function unknown	VOG06538	Major head protein		
Function unknown	VOG06539	Hypothetical protein		
Function unknown	VOG06540	Hypothetical protein		
Function unknown	VOG06541	Hypothetical protein		
Function unknown	VOG06542	Hypothetical protein		
Function unknown	VOG06543	Hypothetical protein		
Function unknown	VOG06544	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG06545	Replication-associated protein A		REPA_BPPHS
Function unknown	VOG06546	Hypothetical protein		
Function unknown	VOG06547	Hypothetical protein		
Function unknown	VOG06548	Hypothetical protein		
Function unknown	VOG06549	Hypothetical protein		
Function unknown	VOG06550	Putative gene 45 protein		GP45_BPSP1
Function unknown	VOG06551	Hypothetical protein		
Function unknown	VOG06552	Hypothetical protein		
Function unknown	VOG06553	Hypothetical protein		
Function unknown	VOG06554	Membrane protein		
Function unknown	VOG06555	Hypothetical protein		
Function unknown	VOG06556	Hypothetical protein		
Function unknown	VOG06557	Erf-like ssDNA annealing protein		
Function unknown	VOG06558	Hypothetical protein		
Function unknown	VOG06559	Hypothetical protein		
Function unknown	VOG06560	Hypothetical protein		
Function unknown	VOG06561	Hypothetical protein		
Function unknown	VOG06562	ParB-like partition nuclease		
Function unknown	VOG06563	Hypothetical protein		
Function unknown	VOG06564	Hypothetical protein		
Function unknown	VOG06565	Hypothetical protein		
Function unknown	VOG06566	Hypothetical protein		
Function unknown	VOG06567	Hypothetical protein		
Function unknown	VOG06568	Hypothetical protein		
Function unknown	VOG06569	Hypothetical protein		
Function unknown	VOG06570	Hypothetical protein		
Function unknown	VOG06571	Hypothetical protein		
Function unknown	VOG06572	Tail fiber protein		
Function unknown	VOG06573	Hypothetical protein		
Function unknown	VOG06574	Hypothetical protein		
Function unknown	VOG06575	Hypothetical protein		
Function unknown	VOG06576	Hypothetical protein		
Function unknown	VOG06577	Membrane protein		
Function unknown	VOG06578	Hypothetical protein		
Function unknown	VOG06579	Virion structural protein		
Function unknown	VOG06580	Hypothetical protein		
Function unknown	VOG06581	Hypothetical protein		
Function unknown	VOG06582	Hypothetical protein		
Function unknown	VOG06583	Hypothetical protein		
Function unknown	VOG06584	Hypothetical protein		
Function unknown	VOG06585	Membrane protein		
Function unknown	VOG06586	Hypothetical protein		
Function unknown	VOG06587	Hypothetical protein		
Function unknown	VOG06588	Hypothetical protein		
Function unknown	VOG06589	Hypothetical protein		
Function unknown	VOG06590	Hypothetical protein		
Function unknown	VOG06591	Hypothetical protein		
Function unknown	VOG06592	Hypothetical protein		
Function unknown	VOG06593	Hypothetical protein		
Function unknown	VOG06594	Hypothetical protein		
Function unknown	VOG06595	Head protein		
Function unknown	VOG06596	Hypothetical protein		
Function unknown	VOG06597	Hypothetical protein		
Virus protein with function beneficial for the host	VOG06598	Protein 0.6B		Y06_BPT7
Function unknown	VOG06599	Head-tail connector protein		
Function unknown	VOG06600	Hypothetical protein		
Function unknown	VOG06601	Hypothetical protein		
Function unknown	VOG06602	Hypothetical protein		
Function unknown	VOG06603	Hypothetical protein		
Function unknown	VOG06604	Hypothetical protein		
Function unknown	VOG06605	Hypothetical protein		
Function unknown	VOG06606	Hypothetical protein		
Function unknown	VOG06607	Hypothetical protein		
Function unknown	VOG06608	Hypothetical protein		
Function unknown	VOG06609	Hypothetical protein		
Function unknown	VOG06610	Hypothetical protein		
Function unknown	VOG06611	Uncharacterized protein YfdN		YFDN_ECOLI
Function unknown	VOG06612	Tail spike protein		
Function unknown	VOG06613	Tail protein		
Function unknown	VOG06614	Hypothetical protein		
Function unknown	VOG06615	Holin		
Function unknown	VOG06616	Hypothetical protein		
Function unknown	VOG06617	Hypothetical protein		
Function unknown	VOG06618	Virion structural protein		
Function unknown	VOG06619	Membrane protein		
Function unknown	VOG06620	Hypothetical protein		
Function unknown	VOG06621	Membrane protein		
Function unknown	VOG06622	Hypothetical protein		
Function unknown	VOG06623	Hypothetical protein		
Function unknown	VOG06624	Hypothetical protein		
Function unknown	VOG06625	Hypothetical protein		
Function unknown	VOG06626	Membrane protein		
Function unknown	VOG06627	Hypothetical protein		
Function unknown	VOG06628	Hypothetical protein		
Function unknown	VOG06629	Hypothetical protein		
Function unknown	VOG06630	Head fiber protein		
Function unknown	VOG06631	Hypothetical protein		
Function unknown	VOG06632	Hypothetical protein		
Function unknown	VOG06633	Hypothetical protein		
Function unknown	VOG06634	Hypothetical protein		
Function unknown	VOG06635	Hypothetical protein		
Function unknown	VOG06636	Hypothetical protein		
Function unknown	VOG06637	Hypothetical protein		
Function unknown	VOG06638	Hypothetical protein		
Function unknown	VOG06639	Hypothetical protein		
Function unknown	VOG06640	Hypothetical protein		
Function unknown	VOG06641	Hypothetical protein		
Function unknown	VOG06642	Hypothetical protein		
Function unknown	VOG06643	Hypothetical protein		
Function unknown	VOG06644	Hypothetical protein		
Function unknown	VOG06645	Hypothetical protein		
Function unknown	VOG06646	Uncharacterized 8.5 kDa protein in tk-vs intergenic region		Y06C_BPT4
Function unknown	VOG06647	Hypothetical protein		
Function unknown	VOG06648	Hypothetical protein		
Function unknown	VOG06649	Hypothetical protein		
Function unknown	VOG06650	Hypothetical protein		
Function unknown	VOG06651	Hypothetical protein		
Function unknown	VOG06652	Hypothetical protein		
Function unknown	VOG06653	Hypothetical protein		
Function unknown	VOG06654	Hypothetical protein		
Function unknown	VOG06655	Hypothetical protein		
Function unknown	VOG06656	Hypothetical protein		
Function unknown	VOG06657	Hypothetical protein		
Function unknown	VOG06658	Hypothetical protein		
Function unknown	VOG06659	Hypothetical protein		
Function unknown	VOG06660	Hypothetical protein		
Function unknown	VOG06661	HicB-like antitoxin		
Function unknown	VOG06662	Hypothetical protein		
Function unknown	VOG06663	Hypothetical protein		
Function unknown	VOG06664	Hypothetical protein		
Function unknown	VOG06665	Hypothetical protein		
Function unknown	VOG06666	Hypothetical protein		
Function unknown	VOG06667	Hypothetical protein		
Function unknown	VOG06668	Uncharacterized protein dexA.1		Y00G_BPT4
Function unknown	VOG06669	Hypothetical protein		
Function unknown	VOG06670	Hypothetical protein		
Function unknown	VOG06671	Hypothetical protein		
Function unknown	VOG06672	Hypothetical protein		
Function unknown	VOG06673	Tail assembly protein		
Function unknown	VOG06674	Hypothetical protein		
Function unknown	VOG06675	XkdF-like putative serine protease domain-containing protein		
Function unknown	VOG06676	Hypothetical protein		
Function unknown	VOG06677	Hypothetical protein		
Function unknown	VOG06678	Hypothetical protein		
Function unknown	VOG06679	Head scaffolding protein		
Function unknown	VOG06680	Hypothetical protein		
Function unknown	VOG06681	Hypothetical protein		
Function unknown	VOG06682	Hypothetical protein		
Function unknown	VOG06683	Hypothetical protein		
Function unknown	VOG06684	Hypothetical protein		
Function unknown	VOG06685	Hypothetical protein		
Function unknown	VOG06686	Hypothetical protein		
Function unknown	VOG06687	Receptor binding tail protein		
Function unknown	VOG06688	Hypothetical protein		
Function unknown	VOG06689	Hypothetical protein		
Function unknown	VOG06690	Hypothetical protein		
Function unknown	VOG06691	Hypothetical protein		
Function unknown	VOG06692	Hypothetical protein		
Function unknown	VOG06693	Hypothetical protein		
Function unknown	VOG06694	Hypothetical protein		
Function unknown	VOG06695	Hypothetical protein		
Function unknown	VOG06696	Putative transcription regulator		
Function unknown	VOG06697	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG06698	DNA polymerase III subunit alpha		DPO3A_AQUAE
Function unknown	VOG06699	Hypothetical protein		
Function unknown	VOG06700	Hypothetical protein		
Function unknown	VOG06701	Hypothetical protein		
Function unknown	VOG06702	Hypothetical protein		
Function unknown	VOG06703	DATP / dGTP pyrophosphohydrolase		
Function unknown	VOG06704	Hypothetical protein		
Function unknown	VOG06705	Hypothetical protein		
Function unknown	VOG06706	Hypothetical protein		
Function unknown	VOG06707	Hypothetical protein		
Function unknown	VOG06708	Hypothetical protein		
Function unknown	VOG06709	Hypothetical protein		
Virus protein with function beneficial for the host	VOG06710	Collagen alpha-1(IV) chain		CO4A1_DROME
Function unknown	VOG06711	Hypothetical protein		
Function unknown	VOG06712	Hypothetical protein		
Function unknown	VOG06713	Hypothetical protein		
Function unknown	VOG06714	Hypothetical protein		
Function unknown	VOG06715	Hypothetical protein		
Function unknown	VOG06716	Hypothetical protein		
Function unknown	VOG06717	Hypothetical protein		
Function unknown	VOG06718	Hypothetical protein		
Function unknown	VOG06719	Hypothetical protein		
Function unknown	VOG06720	Hypothetical protein		
Function unknown	VOG06721	Hypothetical protein		
Function unknown	VOG06722	Hypothetical protein		
Function unknown	VOG06723	Hypothetical protein		
Function unknown	VOG06724	Hypothetical protein		
Function unknown	VOG06725	Hypothetical protein		
Function unknown	VOG06726	Hypothetical protein		
Function unknown	VOG06727	Hypothetical protein		
Function unknown	VOG06728	Hypothetical protein		
Function unknown	VOG06729	Hypothetical protein		
Function unknown	VOG06730	Hypothetical protein		
Function unknown	VOG06731	HTH DNA binding protein		
Function unknown	VOG06732	Hypothetical protein		
Function unknown	VOG06733	Single strand DNA binding protein		
Function unknown	VOG06734	Hypothetical protein		
Function unknown	VOG06735	Hypothetical protein		
Function unknown	VOG06736	Hypothetical protein		
Function unknown	VOG06737	Hypothetical protein		
Function unknown	VOG06738	Hypothetical protein		
Function unknown	VOG06739	Hypothetical protein		
Function unknown	VOG06740	Hypothetical protein		
Function unknown	VOG06741	Hypothetical protein		
Function unknown	VOG06742	Hypothetical protein		
Function unknown	VOG06743	Hypothetical protein		
Function unknown	VOG06744	Hypothetical protein		
Function unknown	VOG06745	Hypothetical protein		
Function unknown	VOG06746	Hypothetical protein		
Function unknown	VOG06747	Hypothetical protein		
Function unknown	VOG06748	Hypothetical protein		
Function unknown	VOG06749	Hypothetical protein		
Function unknown	VOG06750	Hypothetical protein		
Function unknown	VOG06751	Hypothetical protein		
Function unknown	VOG06752	Hypothetical protein		
Function unknown	VOG06753	Hypothetical protein		
Function unknown	VOG06754	Hypothetical protein		
Function unknown	VOG06755	Hypothetical protein		
Function unknown	VOG06756	Hypothetical protein		
Function unknown	VOG06757	Histidyl tRNA synthetase		
Function unknown	VOG06758	Hypothetical protein		
Function unknown	VOG06759	Hypothetical protein		
Function unknown	VOG06760	Hypothetical protein		
Function unknown	VOG06761	Hypothetical protein		
Function unknown	VOG06762	Hypothetical protein		
Function unknown	VOG06763	DNA ligase		
Function unknown	VOG06764	Hypothetical protein		
Function unknown	VOG06765	Hypothetical protein		
Function unknown	VOG06766	Hypothetical protein		
Function unknown	VOG06767	Hypothetical protein		
Function unknown	VOG06768	Hypothetical protein		
Function unknown	VOG06769	Hypothetical protein		
Function unknown	VOG06770	Hypothetical protein		
Function unknown	VOG06771	Hypothetical protein		
Function unknown	VOG06772	Hypothetical protein		
Function unknown	VOG06773	Membrane protein		
Function unknown	VOG06774	Hypothetical protein		
Function unknown	VOG06775	Hypothetical protein		
Function unknown	VOG06776	Hypothetical protein		
Function unknown	VOG06777	Hypothetical protein		
Function unknown	VOG06778	Hypothetical protein		
Function unknown	VOG06779	Hypothetical protein		
Function unknown	VOG06780	Hypothetical protein		
Function unknown	VOG06781	Hypothetical protein		
Function unknown	VOG06782	Hypothetical protein		
Function unknown	VOG06783	DNA ligase		
Function unknown	VOG06784	Tail assembly chaperone		
Function unknown	VOG06785	Hypothetical protein		
Function unknown	VOG06786	Hypothetical protein		
Function unknown	VOG06787	Hypothetical protein		
Function unknown	VOG06788	Hypothetical protein		
Function unknown	VOG06789	Hypothetical protein		
Function unknown	VOG06790	Hypothetical protein		
Function unknown	VOG06791	Hypothetical protein		
Function unknown	VOG06792	Hypothetical protein		
Function unknown	VOG06793	Hypothetical protein		
Function unknown	VOG06794	Hypothetical protein		
Function unknown	VOG06795	Hypothetical protein		
Function unknown	VOG06796	Hypothetical protein		
Function unknown	VOG06797	Hypothetical protein		
Function unknown	VOG06798	Hypothetical protein		
Function unknown	VOG06799	Membrane protein		
Function unknown	VOG06800	Hypothetical protein		
Function unknown	VOG06801	DUF4761 family protein		
Function unknown	VOG06802	Hypothetical protein		
Function unknown	VOG06803	Hypothetical protein		
Function unknown	VOG06804	Hypothetical protein		
Function unknown	VOG06805	Hypothetical protein		
Function unknown	VOG06806	Hypothetical protein		
Function unknown	VOG06807	Hypothetical protein		
Function unknown	VOG06808	Holin		
Function unknown	VOG06809	Hypothetical protein		
Function unknown	VOG06810	Virion structural protein		
Function unknown	VOG06811	Hypothetical protein		
Function unknown	VOG06812	Hypothetical protein		
Function unknown	VOG06813	Hypothetical protein		
Function unknown	VOG06814	Hypothetical protein		
Function unknown	VOG06815	Hypothetical protein		
Function unknown	VOG06816	Hypothetical protein		
Function unknown	VOG06817	Hypothetical protein		
Function unknown	VOG06818	Hypothetical protein		
Function unknown	VOG06819	Hypothetical protein		
Function unknown	VOG06820	Hypothetical protein		
Function unknown	VOG06821	Membrane protein		
Function unknown	VOG06822	Hypothetical protein		
Function unknown	VOG06823	Hypothetical protein		
Function unknown	VOG06824	Hypothetical protein		
Function unknown	VOG06825	Hypothetical protein		
Function unknown	VOG06826	Hypothetical protein		
Function unknown	VOG06827	Membrane protein		
Function unknown	VOG06828	DUF1076 domain-containing protein		
Function unknown	VOG06829	Virion structural protein		
Function unknown	VOG06830	Arc-like repressor		
Function unknown	VOG06831	Hypothetical protein		
Function unknown	VOG06832	Hypothetical protein		
Function unknown	VOG06833	Hypothetical protein		
Function unknown	VOG06834	Hypothetical protein		
Function unknown	VOG06835	Hypothetical protein		
Function unknown	VOG06836	Hypothetical protein		
Function unknown	VOG06837	Hypothetical protein		
Function unknown	VOG06838	Hypothetical protein		
Function unknown	VOG06839	Hypothetical protein		
Function unknown	VOG06840	Hypothetical protein		
Function unknown	VOG06841	Hypothetical protein		
Function unknown	VOG06842	Hypothetical protein		
Function unknown	VOG06843	HTH-type transcriptional regulator GadW		GADW_SHIFL
Function unknown	VOG06844	Hypothetical protein		
Function unknown	VOG06845	Hypothetical protein		
Function unknown	VOG06846	Hypothetical protein		
Function unknown	VOG06847	Tail assembly chaperone		
Function unknown	VOG06848	Hypothetical protein		
Function unknown	VOG06849	Hypothetical protein		
Function unknown	VOG06850	Hypothetical protein		
Function unknown	VOG06851	Hypothetical protein		
Function unknown	VOG06852	Hypothetical protein		
Function unknown	VOG06853	Hypothetical protein		
Function unknown	VOG06854	Portal protein		
Function unknown	VOG06855	Hypothetical protein		
Function unknown	VOG06856	Hypothetical protein		
Function unknown	VOG06857	Hypothetical protein		
Function unknown	VOG06858	Hypothetical protein		
Function unknown	VOG06859	Hypothetical protein		
Function unknown	VOG06860	Hypothetical protein		
Function unknown	VOG06861	Hypothetical protein		
Function unknown	VOG06862	Recombination directionality factor		
Function unknown	VOG06863	Hypothetical protein		
Function unknown	VOG06864	Hypothetical protein		
Function unknown	VOG06865	Hypothetical protein		
Function unknown	VOG06866	Hypothetical protein		
Function unknown	VOG06867	Hypothetical protein		
Function unknown	VOG06868	Hypothetical protein		
Function unknown	VOG06869	Hypothetical protein		
Function unknown	VOG06870	Hypothetical protein		
Function unknown	VOG06871	Hypothetical protein		
Function unknown	VOG06872	Minor head protein		
Function unknown	VOG06873	Hypothetical protein		
Function unknown	VOG06874	Head maturation protease		
Function unknown	VOG06875	Hypothetical protein		
Function unknown	VOG06876	Hypothetical protein		
Function unknown	VOG06877	Hypothetical protein		
Function unknown	VOG06878	Hypothetical protein		
Function unknown	VOG06879	Hypothetical protein		
Function unknown	VOG06880	Hypothetical protein		
Function unknown	VOG06881	Hypothetical protein		
Function unknown	VOG06882	DUF1627 domain-containing protein		
Function unknown	VOG06883	Hypothetical protein		
Function unknown	VOG06884	Hypothetical protein		
Function unknown	VOG06885	Hypothetical protein		
Function unknown	VOG06886	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG06887	O-seryl-dTMP PLP-dependent decarboxylase		PLP_BPSAV
Function unknown	VOG06888	Hypothetical protein		
Function unknown	VOG06889	Hypothetical protein		
Function unknown	VOG06890	Hypothetical protein		
Function unknown	VOG06891	Hypothetical protein		
Function unknown	VOG06892	Hypothetical protein		
Function unknown	VOG06893	Hypothetical protein		
Function unknown	VOG06894	Hypothetical protein		
Function unknown	VOG06895	Hypothetical protein		
Function unknown	VOG06896	Hypothetical protein		
Function unknown	VOG06897	Fur-regulated basic protein FbpA		
Function unknown	VOG06898	Hypothetical protein		
Function unknown	VOG06899	Hypothetical protein		
Function unknown	VOG06900	Hypothetical protein		
Function unknown	VOG06901	Hypothetical protein		
Function unknown	VOG06902	Hypothetical protein		
Function unknown	VOG06903	Hypothetical protein		
Function unknown	VOG06904	Hypothetical protein		
Function unknown	VOG06905	Hypothetical protein		
Function unknown	VOG06906	Hypothetical protein		
Function unknown	VOG06907	Hypothetical protein		
Function unknown	VOG06908	Hypothetical protein		
Function unknown	VOG06909	Hypothetical protein		
Function unknown	VOG06910	Hypothetical protein		
Function unknown	VOG06911	Hypothetical protein		
Function unknown	VOG06912	Hypothetical protein		
Function unknown	VOG06913	Hypothetical protein		
Function unknown	VOG06914	Hypothetical protein		
Function unknown	VOG06915	Hypothetical protein		
Function unknown	VOG06916	Hypothetical protein		
Function unknown	VOG06917	Hypothetical protein		
Function unknown	VOG06918	Hypothetical protein		
Function unknown	VOG06919	Hypothetical protein		
Function unknown	VOG06920	Hypothetical protein		
Function unknown	VOG06921	Hypothetical protein		
Function unknown	VOG06922	Hypothetical protein		
Function unknown	VOG06923	Hypothetical protein		
Function unknown	VOG06924	Endonuclease		
Function unknown	VOG06925	Hypothetical protein		
Function unknown	VOG06926	Hypothetical protein		
Function unknown	VOG06927	Hypothetical protein		
Function unknown	VOG06928	Hypothetical protein		
Function unknown	VOG06929	Hypothetical protein		
Function unknown	VOG06930	Hypothetical protein		
Function unknown	VOG06931	Hypothetical protein		
Function unknown	VOG06932	Hypothetical protein		
Function unknown	VOG06933	Hypothetical protein		
Function unknown	VOG06934	Hypothetical protein		
Function unknown	VOG06935	Hypothetical protein		
Function unknown	VOG06936	Hypothetical protein		
Function unknown	VOG06937	Hypothetical protein		
Function unknown	VOG06938	Hypothetical protein		
Function unknown	VOG06939	Hypothetical protein		
Function unknown	VOG06940	Hypothetical protein		
Function unknown	VOG06941	Hypothetical protein		
Function unknown	VOG06942	Hypothetical protein		
Function unknown	VOG06943	Hypothetical protein		
Function unknown	VOG06944	Hypothetical protein		
Function unknown	VOG06945	Hypothetical protein		
Function unknown	VOG06946	Hypothetical protein		
Function unknown	VOG06947	Hypothetical protein		
Function unknown	VOG06948	Hypothetical protein		
Function unknown	VOG06949	Hypothetical protein		
Function unknown	VOG06950	Hypothetical protein		
Function unknown	VOG06951	Hypothetical protein		
Function unknown	VOG06952	Hypothetical protein		
Function unknown	VOG06953	Hypothetical protein		
Function unknown	VOG06954	Hypothetical protein		
Function unknown	VOG06955	Hypothetical protein		
Function unknown	VOG06956	Hypothetical protein		
Function unknown	VOG06957	Hypothetical protein		
Function unknown	VOG06958	Hypothetical protein		
Function unknown	VOG06959	Hypothetical protein		
Function unknown	VOG06960	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG06961	Terminal DNA protecting protein		DNAPR_BPT4
Function unknown	VOG06962	Hypothetical protein		
Function unknown	VOG06963	Holin		
Function unknown	VOG06964	Hypothetical protein		
Function unknown	VOG06965	Hypothetical protein		
Function unknown	VOG06966	Hypothetical protein		
Function unknown	VOG06967	Hypothetical protein		
Function unknown	VOG06968	Hypothetical protein		
Function unknown	VOG06969	Hypothetical protein		
Function unknown	VOG06970	Hypothetical protein		
Function unknown	VOG06971	Hypothetical protein		
Function unknown	VOG06972	Hypothetical protein		
Function unknown	VOG06973	Hypothetical protein		
Function unknown	VOG06974	SPbeta prophage-derived uncharacterized protein YoqU		YOQU_BACSU
Function unknown	VOG06975	Hypothetical protein		
Function unknown	VOG06976	Hypothetical protein		
Function unknown	VOG06977	Hypothetical protein		
Function unknown	VOG06978	Hypothetical protein		
Function unknown	VOG06979	Hypothetical protein		
Function unknown	VOG06980	Hypothetical protein		
Function unknown	VOG06981	Hypothetical protein		
Function unknown	VOG06982	Hypothetical protein		
Function unknown	VOG06983	Hypothetical protein		
Function unknown	VOG06984	Hypothetical protein		
Function unknown	VOG06985	Hypothetical protein		
Function unknown	VOG06986	Hypothetical protein		
Function unknown	VOG06987	Hypothetical protein		
Function unknown	VOG06988	Hypothetical protein		
Function unknown	VOG06989	Hypothetical protein		
Function unknown	VOG06990	Hypothetical protein		
Function unknown	VOG06991	Hypothetical protein		
Function unknown	VOG06992	Hypothetical protein		
Function unknown	VOG06993	Hypothetical protein		
Function unknown	VOG06994	Hypothetical protein		
Function unknown	VOG06995	Hypothetical protein		
Function unknown	VOG06996	Hypothetical protein		
Function unknown	VOG06997	Hypothetical protein		
Function unknown	VOG06998	Hypothetical protein		
Function unknown	VOG06999	Hypothetical protein		
Function unknown	VOG07000	Methyltransferase		
Function unknown	VOG07001	Hypothetical protein		
Function unknown	VOG07002	Hypothetical protein		
Function unknown	VOG07003	Hypothetical protein		
Function unknown	VOG07004	CoA ligase		
Function unknown	VOG07005	Hypothetical protein		
Function unknown	VOG07006	Hypothetical protein		
Function unknown	VOG07007	Hypothetical protein		
Function unknown	VOG07008	Hypothetical protein		
