L1	KO	Function	EC
Function unknown	VOG04814	REFSEQ hypothetical protein	
Function unknown	VOG04815	REFSEQ hypothetical protein	
Function unknown	VOG04816	REFSEQ hypothetical protein	
Function unknown	VOG04817	REFSEQ hypothetical protein	
Function unknown	VOG04818	sp|O34820|YOTM_BACSU SPbeta prophage-derived uncharacterized protein YotM	
Function unknown	VOG04819	REFSEQ hypothetical protein	
Function unknown	VOG04820	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus	VOG04821	sp|P62765|STP_BPT4 T4 Suppressor of prr	
Function unknown	VOG04822	REFSEQ hypothetical protein	
Function unknown	VOG04823	REFSEQ hypothetical protein	
Function unknown	VOG04824	REFSEQ hypothetical protein	
Function unknown	VOG04825	sp|P36933|VPR_BPP2 Tail completion protein R	
Function unknown	VOG04826	sp|P51739|YO35_BPHC1 Uncharacterized 58.7 kDa protein in lys 3'region	
Function unknown	VOG04827	REFSEQ tail spike protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG04828	sp|P16009|NEEDL_BPT4 Pre-baseplate central spike protein Gp5	
Function unknown	VOG04829	REFSEQ hypothetical protein	
Function unknown	VOG04830	REFSEQ hypothetical protein	
Function unknown	VOG04831	REFSEQ FtsK/SpoIIIE-like protein	
Function unknown	VOG04832	REFSEQ hypothetical protein	
Function unknown	VOG04833	REFSEQ gp83	
Function unknown	VOG04834	REFSEQ hypothetical protein	
Function unknown	VOG04835	REFSEQ hypothetical protein	
Function unknown	VOG04836	REFSEQ hypothetical protein	
Function unknown	VOG04837	REFSEQ hypothetical protein	
Function unknown	VOG04838	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG04839	sp|P13337|TMP_BPT4 Tape measure protein	
Function unknown	VOG04840	REFSEQ hypothetical protein	
Function unknown	VOG04841	REFSEQ hypothetical protein	
Function unknown	VOG04842	REFSEQ DUF658 family protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG04843	sp|Q8SCY1|EXLYS_BPDPK Peptidoglycan hydrolase gp181	
Function unknown	VOG04844	REFSEQ portal protein	
Function unknown	VOG04845	REFSEQ hypothetical protein	
Function unknown	VOG04846	REFSEQ hypothetical protein	
Function unknown	VOG04847	REFSEQ hypothetical protein	
Function unknown	VOG04848	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04849	sp|P15236|VFIL_BP186 Protein fil	
Function unknown	VOG04850	REFSEQ hypothetical protein	
Function unknown	VOG04851	REFSEQ baseplate hub subunit and tail lysozyme	
Function unknown	VOG04852	REFSEQ hypothetical protein	
Function unknown	VOG04853	REFSEQ hypothetical protein	
Virus replication	VOG04854	sp|O68992|DUT_CHLTE Deoxyuridine 5'-triphosphate nucleotidohydrolase	
Function unknown	VOG04855	REFSEQ hypothetical protein	
Function unknown	VOG04856	REFSEQ hypothetical protein	
Function unknown	VOG04857	REFSEQ hypothetical protein	
Function unknown	VOG04858	REFSEQ hypothetical protein	
Function unknown	VOG04859	REFSEQ hypothetical protein	
Function unknown	VOG04860	REFSEQ tail length tape measure protein	
Function unknown	VOG04861	REFSEQ hypothetical protein	
Function unknown	VOG04862	REFSEQ hypothetical protein	
Function unknown	VOG04863	sp|P13313|Y06F_BPT4 Uncharacterized 10.9 kDa protein in regB-denV intergenic region	
Function unknown	VOG04864	REFSEQ hypothetical protein	
Function unknown	VOG04865	REFSEQ hypothetical protein	
Function unknown	VOG04866	REFSEQ hypothetical protein	
Function unknown	VOG04867	REFSEQ hypothetical protein	
Function unknown	VOG04868	REFSEQ hypothetical protein	
Function unknown	VOG04869	REFSEQ hypothetical protein	
Function unknown	VOG04870	REFSEQ DUF2158 domain-containing protein	
Function unknown	VOG04871	REFSEQ hypothetical protein	
Function unknown	VOG04872	REFSEQ hypothetical protein	
Function unknown	VOG04873	REFSEQ hypothetical protein	
Function unknown	VOG04874	REFSEQ hypothetical protein	
Function unknown	VOG04875	REFSEQ hypothetical protein	
Function unknown	VOG04876	REFSEQ hypothetical protein	
Function unknown	VOG04877	REFSEQ hypothetical protein	
Function unknown	VOG04878	REFSEQ HNH endonuclease	
Function unknown	VOG04879	REFSEQ minor tail protein	
Function unknown	VOG04880	REFSEQ hypothetical protein	
Function unknown	VOG04881	REFSEQ hypothetical protein	
Function unknown	VOG04882	REFSEQ hypothetical protein	
Function unknown	VOG04883	REFSEQ hypothetical protein	
Function unknown	VOG04884	REFSEQ hypothetical protein	
Function unknown	VOG04885	REFSEQ hypothetical protein	
Function unknown	VOG04886	REFSEQ gp265	
Function unknown	VOG04887	REFSEQ hypothetical protein	
Function unknown	VOG04888	REFSEQ hypothetical protein	
Function unknown	VOG04889	REFSEQ hypothetical protein	
Function unknown	VOG04890	REFSEQ hypothetical protein	
Function unknown	VOG04891	REFSEQ hypothetical protein	
Function unknown	VOG04892	REFSEQ hypothetical protein	
Function unknown	VOG04893	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04894	sp|A8EVV4|CMOA_ALIB4 Carboxy-S-adenosyl-L-methionine synthase	
Function unknown	VOG04895	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04896	sp|P08711|VPB_BP186 Late control gene B protein	
Function unknown	VOG04897	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04898	sp|D2XNR2|FLOT6_MEDTR Flotillin-like protein 6	
Function unknown	VOG04899	REFSEQ hypothetical protein	
Function unknown	VOG04900	REFSEQ hypothetical protein	
Function unknown	VOG04901	REFSEQ hypothetical protein	
Function unknown	VOG04902	REFSEQ hypothetical protein	
Function unknown	VOG04903	REFSEQ hypothetical protein	
Function unknown	VOG04904	REFSEQ DUF2513 domain-containing protein	
Function unknown	VOG04905	REFSEQ hypothetical protein	
Function unknown	VOG04906	REFSEQ hypothetical protein	
Function unknown	VOG04907	REFSEQ hypothetical protein	
Virus structure	VOG04908	sp|Q9DSN8|POLS_ABPVR Structural polyprotein	
Function unknown	VOG04909	REFSEQ hypothetical protein	
Function unknown	VOG04910	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG04911	sp|Q80944|VE2_HPV60 Regulatory protein E2	
Function unknown	VOG04912	REFSEQ hypothetical protein	
Function unknown	VOG04913	REFSEQ tail tube protein	
Function unknown	VOG04914	REFSEQ hypothetical protein	
Function unknown	VOG04915	REFSEQ hypothetical protein	
Function unknown	VOG04916	REFSEQ hypothetical protein	
Function unknown	VOG04917	REFSEQ hypothetical protein	
Function unknown	VOG04918	REFSEQ hypothetical protein	
Function unknown	VOG04919	REFSEQ hypothetical protein	
Function unknown	VOG04920	REFSEQ minor tail protein with lysin activity	
Function unknown	VOG04921	REFSEQ hypothetical protein	
Function unknown	VOG04922	REFSEQ hypothetical protein	
Function unknown	VOG04923	REFSEQ hypothetical protein	
Function unknown	VOG04924	REFSEQ hypothetical protein	
Function unknown	VOG04925	REFSEQ hypothetical protein	
Function unknown	VOG04926	REFSEQ hypothetical protein	
Function unknown	VOG04927	REFSEQ tail fiber protein	
Function unknown	VOG04928	REFSEQ hypothetical protein	
Function unknown	VOG04929	REFSEQ hypothetical protein	
Function unknown	VOG04930	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04931	sp|P44660|Y359_HAEIN Probable iron transport system membrane protein HI_0359	
Function unknown	VOG04932	REFSEQ minor tail protein	
Function unknown	VOG04933	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG04934	sp|P12916|POLG_HRV1B Genome polyprotein	
Function unknown	VOG04935	REFSEQ hypothetical protein	
Function unknown	VOG04936	REFSEQ hypothetical protein	
Function unknown	VOG04937	REFSEQ hypothetical protein	
Function unknown	VOG04938	REFSEQ hypothetical protein	
Function unknown	VOG04939	REFSEQ HNH endonuclease	
Function unknown	VOG04940	REFSEQ hypothetical protein	
Function unknown	VOG04941	REFSEQ hypothetical protein	
Function unknown	VOG04942	REFSEQ hypothetical protein	
Function unknown	VOG04943	REFSEQ PIG-L family deacetylase	
Function unknown	VOG04944	REFSEQ hypothetical protein	
Function unknown	VOG04945	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG04946	sp|P07696|VPB_BPP2 Replication gene B protein	
Function unknown	VOG04947	REFSEQ hypothetical protein	
Function unknown	VOG04948	REFSEQ hypothetical protein	
Function unknown	VOG04949	REFSEQ tail protein	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG04950	sp|P25480|PORTL_BPP2 Probable portal protein	
Function unknown	VOG04951	REFSEQ hypothetical protein	
Function unknown	VOG04952	REFSEQ hypothetical protein	
Function unknown	VOG04953	REFSEQ tail assembly chaperone	
Function unknown	VOG04954	REFSEQ DUF1024 family protein	
Function unknown	VOG04955	REFSEQ hypothetical protein	
Function unknown	VOG04956	REFSEQ hypothetical protein	
Function unknown	VOG04957	REFSEQ hypothetical protein	
Function unknown	VOG04958	REFSEQ hypothetical protein	
Function unknown	VOG04959	sp|P17309|LINR3_BPT4 Lysis inhibition accessory protein	
Function unknown	VOG04960	REFSEQ hypothetical protein	
Function unknown	VOG04961	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04962	sp|Q9G050|REP_BPPHM Replication-associated protein VP4	
Function unknown	VOG04963	REFSEQ hypothetical protein	
Function unknown	VOG04964	REFSEQ hypothetical protein	
Function unknown	VOG04965	REFSEQ hypothetical protein	
Function unknown	VOG04966	REFSEQ hypothetical protein	
Function unknown	VOG04967	REFSEQ hypothetical protein	
Function unknown	VOG04968	REFSEQ hypothetical protein	
Function unknown	VOG04969	REFSEQ hypothetical protein	
Function unknown	VOG04970	sp|O55757|159L_IIV6 Uncharacterized protein 159L	
Function unknown	VOG04971	REFSEQ hypothetical protein	
Function unknown	VOG04972	sp|P10306|Y195_BPT3 Uncharacterized gene 19.5 protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG04973	sp|F8WQ30|HMUDK_BPS10 5-hmdU DNA kinase	
Function unknown	VOG04974	REFSEQ hypothetical protein	
Function unknown	VOG04975	REFSEQ hypothetical protein	
Function unknown	VOG04976	REFSEQ hypothetical protein	
Function unknown	VOG04977	REFSEQ hypothetical protein	
Function unknown	VOG04978	REFSEQ hypothetical protein	
Function unknown	VOG04979	REFSEQ dTDP-6-deoxy-L-lyxo-4-hexulose reductase	
Function unknown	VOG04980	REFSEQ hypothetical protein	
Function unknown	VOG04981	REFSEQ hypothetical protein	
Function unknown	VOG04982	REFSEQ head-tail connector protein	
Function unknown	VOG04983	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG04984	sp|Q5UQW4|YL373_MIMIV Uncharacterized glycosyltransferase L373	
Function unknown	VOG04985	sp|Q5UP20|YL263_MIMIV Uncharacterized protein L263	
Function unknown	VOG04986	REFSEQ hypothetical protein	
Function unknown	VOG04987	REFSEQ hypothetical protein	
Function unknown	VOG04988	REFSEQ hypothetical protein	
Function unknown	VOG04989	REFSEQ hypothetical protein	
Function unknown	VOG04990	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG04991	sp|Q37898|VG17_BPB03 Early protein GP17	
Function unknown	VOG04992	REFSEQ tail protein	
Function unknown	VOG04993	REFSEQ hypothetical protein	
Function unknown	VOG04994	REFSEQ hypothetical protein	
Function unknown	VOG04995	REFSEQ hypothetical protein	
Function unknown	VOG04996	REFSEQ hypothetical protein	
Function unknown	VOG04997	REFSEQ hypothetical protein	
Function unknown	VOG04998	sp|P03786|Y47_BPT7 Protein 4.7	
Function unknown	VOG04999	REFSEQ hypothetical protein	
Function unknown	VOG05000	REFSEQ hypothetical protein	
Function unknown	VOG05001	REFSEQ hypothetical protein	
Function unknown	VOG05002	REFSEQ head-tail connector protein	
Function unknown	VOG05003	REFSEQ hypothetical protein	
Function unknown	VOG05004	REFSEQ hypothetical protein	
Function unknown	VOG05005	REFSEQ hypothetical protein	
Function unknown	VOG05006	REFSEQ Uracil-DNA glycosylase	
Function unknown	VOG05007	REFSEQ putative CxxC motif protein	
Function unknown	VOG05008	REFSEQ hypothetical protein	
Function unknown	VOG05009	REFSEQ hypothetical protein	
Function unknown	VOG05010	REFSEQ hypothetical protein	
Function unknown	VOG05011	REFSEQ hypothetical protein	
Function unknown	VOG05012	REFSEQ hypothetical protein	
Function unknown	VOG05013	REFSEQ hypothetical protein	
Function unknown	VOG05014	REFSEQ hypothetical protein	
Function unknown	VOG05015	REFSEQ tail tubular protein	
Function unknown	VOG05016	REFSEQ hypothetical protein	
Function unknown	VOG05017	REFSEQ hypothetical protein	
Function unknown	VOG05018	REFSEQ hypothetical protein	
Function unknown	VOG05019	REFSEQ hypothetical protein	
Function unknown	VOG05020	REFSEQ tail length tape measure protein	
Function unknown	VOG05021	REFSEQ hypothetical protein	
Function unknown	VOG05022	REFSEQ hypothetical protein	
Function unknown	VOG05023	REFSEQ hypothetical protein	
Function unknown	VOG05024	REFSEQ hypothetical protein	
Function unknown	VOG05025	REFSEQ ORF13	
Function unknown	VOG05026	REFSEQ holin	
Function unknown	VOG05027	REFSEQ hypothetical protein	
Function unknown	VOG05028	REFSEQ hypothetical protein	
Function unknown	VOG05029	REFSEQ hypothetical protein 1	
Function unknown	VOG05030	REFSEQ hypothetical protein 1	
Virus protein with function beneficial for the host | Virus replication	VOG05031	sp|Q9WAL8|POL1_SDVS5 RNA1 polyprotein	
Function unknown	VOG05032	REFSEQ EIAV coat protein-like protein	
Function unknown	VOG05033	sp|P19195|Y9KD_BPBF2 Uncharacterized 9.2 kDa protein	
Function unknown	VOG05034	REFSEQ MazG-like pyrophosphatase	
Function unknown	VOG05035	REFSEQ hypothetical protein	
Function unknown	VOG05036	REFSEQ hypothetical protein	
Function unknown	VOG05037	REFSEQ hypothetical protein	
Function unknown	VOG05038	REFSEQ thioredoxin	
Function unknown	VOG05039	REFSEQ hypothetical protein	
Function unknown	VOG05040	REFSEQ hypothetical protein	
Function unknown	VOG05041	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05042	sp|O93122|A16_VACCA Virion membrane protein A16	
Function unknown	VOG05043	REFSEQ holin	
Function unknown	VOG05044	REFSEQ hypothetical protein	
Function unknown	VOG05045	sp|A0A7H0DN22|PG049_MONPV Protein OPG049	
Function unknown	VOG05046	REFSEQ hypothetical protein	
Function unknown	VOG05047	REFSEQ hypothetical protein	
Function unknown	VOG05048	REFSEQ hypothetical protein	
Function unknown	VOG05049	REFSEQ hypothetical protein	
Function unknown	VOG05050	REFSEQ hypothetical protein	
Function unknown	VOG05051	REFSEQ hypothetical protein	
Function unknown	VOG05052	REFSEQ hypothetical protein	
Function unknown	VOG05053	REFSEQ hypothetical protein	
Function unknown	VOG05054	REFSEQ hypothetical protein	
Function unknown	VOG05055	REFSEQ hypothetical protein	
Function unknown	VOG05056	REFSEQ putative preprotein translocase (YajC subunit)	
Function unknown	VOG05057	REFSEQ hypothetical protein	
Function unknown	VOG05058	REFSEQ hypothetical protein	
Function unknown	VOG05059	REFSEQ hypothetical protein	
Function unknown	VOG05060	REFSEQ hypothetical protein	
Function unknown	VOG05061	REFSEQ hypothetical protein	
Function unknown	VOG05062	REFSEQ hypothetical protein	
Function unknown	VOG05063	REFSEQ putative glycoprotein	
Function unknown	VOG05064	REFSEQ hypothetical protein	
Function unknown	VOG05065	REFSEQ hypothetical protein	
Function unknown	VOG05066	REFSEQ hypothetical protein	
Function unknown	VOG05067	REFSEQ hypothetical protein	
Function unknown	VOG05068	REFSEQ hypothetical protein	
Function unknown	VOG05069	REFSEQ hypothetical protein	
Function unknown	VOG05070	REFSEQ hypothetical protein	
Function unknown	VOG05071	REFSEQ hypothetical protein	
Function unknown	VOG05072	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05073	sp|Q29504|UBA1_RABIT Ubiquitin-like modifier-activating enzyme 1	
Function unknown	VOG05074	REFSEQ hypothetical protein	
Function unknown	VOG05075	REFSEQ hypothetical protein	
Function unknown	VOG05076	REFSEQ nuclear pore complex-like protein	
Function unknown	VOG05077	REFSEQ hypothetical protein	
Function unknown	VOG05078	REFSEQ hypothetical protein	
Function unknown	VOG05079	REFSEQ hypothetical protein	
Function unknown	VOG05080	REFSEQ hypothetical protein	
Function unknown	VOG05081	REFSEQ hypothetical protein	
Function unknown	VOG05082	REFSEQ tail protein	
Function unknown	VOG05083	REFSEQ hypothetical protein	
Function unknown	VOG05084	REFSEQ hypothetical protein	
Function unknown	VOG05085	REFSEQ hypothetical protein	
Function unknown	VOG05086	REFSEQ membrane protein	
Function unknown	VOG05087	REFSEQ hypothetical protein	
Function unknown	VOG05088	REFSEQ hypothetical protein	
Function unknown	VOG05089	REFSEQ hypothetical protein	
Function unknown	VOG05090	REFSEQ hypothetical protein	
Function unknown	VOG05091	REFSEQ segregation and condensation protein B	
Function unknown	VOG05092	REFSEQ hypothetical protein	
Function unknown	VOG05093	REFSEQ DNA metabolism protein	
Function unknown	VOG05094	REFSEQ hypothetical protein	
Function unknown	VOG05095	sp|P20206|C102A_SSV1 Uncharacterized protein C-102a	
Function unknown	VOG05096	REFSEQ hypothetical protein	
Function unknown	VOG05097	REFSEQ hypothetical protein	
Function unknown	VOG05098	REFSEQ hypothetical protein	
Function unknown	VOG05099	REFSEQ hypothetical protein	
Function unknown	VOG05100	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05101	sp|P0DOH7|POLS_JAEV1 Structural polyprotein	
Function unknown	VOG05102	REFSEQ hypothetical protein	
Virus structure	VOG05103	sp|P89430|CEP1_HHV2H Cytoplasmic envelopment protein 1	
Function unknown	VOG05104	REFSEQ hypothetical protein	
Function unknown	VOG05105	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05106	sp|Q9WFX3|HEMA_I18A0 Hemagglutinin	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05107	sp|A9Q1L1|NSP4_ROTB2 Non-structural glycoprotein 4	
Function unknown	VOG05108	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05109	sp|Q9YID8|POLG_HPEV5 Genome polyprotein	
Virus protein with function beneficial for the host	VOG05110	sp|Q5UQV6|YR368_MIMIV Probable FAD-linked sulfhydryl oxidase R368	
Function unknown	VOG05111	REFSEQ IS4 family transposase	
Virus protein with function beneficial for the host | Virus structure	VOG05112	sp|P33835|PG135_VAR67 Virion membrane protein OPG135	
Function unknown	VOG05113	REFSEQ hypothetical protein	
Function unknown	VOG05114	REFSEQ hypothetical protein	
Virus replication | Virus structure	VOG05115	sp|P16606|NCAP_MAGV Nucleoprotein	
Function unknown	VOG05116	REFSEQ unknown similar to AMEV070	
Function unknown	VOG05117	REFSEQ hypothetical protein	
Function unknown	VOG05118	sp|Q5UPT1|TF2B_MIMIV Putative transcription initiation factor IIB-like protein	
Function unknown	VOG05119	REFSEQ hypothetical protein	
Virus structure	VOG05120	sp|Q6SWC9|RL13_HCMVM Membrane protein RL13	
Virus structure	VOG05121	sp|P09515|MCAPS_BWYVG Readthrough protein P3-RTD (Fragment)	
Function unknown	VOG05122	REFSEQ hypothetical protein	
Virus structure	VOG05123	sp|P68326|GI_EHV1A Envelope glycoprotein I	
Function unknown	VOG05124	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG05125	sp|A6TE46|TSAD_KLEP7 tRNA N6-adenosine threonylcarbamoyltransferase	
Virus protein with function beneficial for the host | Virus replication	VOG05126	sp|P22958|RDRP_TNVA RNA-directed RNA polymerase	
Virus protein with function beneficial for the host	VOG05127	sp|T2KMG4|PLH14_FORAG Sulfatase	
Function unknown	VOG05128	REFSEQ membrane protein EE28	
Function unknown	VOG05129	REFSEQ SprT-like protein	
Function unknown	VOG05130	REFSEQ hypothetical protein	
Function unknown	VOG05131	REFSEQ hypothetical protein	
Function unknown	VOG05132	sp|Q5UQ03|YL792_MIMIV Uncharacterized protein L792	
Function unknown	VOG05133	REFSEQ hypothetical protein	
Function unknown	VOG05134	REFSEQ hypothetical protein	
Function unknown	VOG05135	REFSEQ hypothetical protein	
Function unknown	VOG05136	REFSEQ hypothetical protein	
Function unknown	VOG05137	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05138	sp|B2BNE0|RDRP_AQRVG RNA-directed RNA polymerase VP2	
Function unknown	VOG05139	REFSEQ hypothetical protein	
Function unknown	VOG05140	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05141	sp|O08700|VPS45_RAT Vacuolar protein sorting-associated protein 45	
Function unknown	VOG05142	REFSEQ ATPase AAA	
Function unknown	VOG05143	sp|Q197A4|VF287_IIV3 Uncharacterized protein 056L	
Function unknown	VOG05144	sp|Q5UQN1|YR435_MIMIV Uncharacterized protein R435	
Function unknown	VOG05145	REFSEQ hypothetical protein	
Function unknown	VOG05146	REFSEQ hypothetical protein	
Function unknown	VOG05147	REFSEQ hypothetical protein	
Function unknown	VOG05148	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05149	sp|P41453|LEF3_NPVAC Late expression factor 3	
Virus protein with function beneficial for the host | Virus replication	VOG05150	sp|Q89709|L_SINV RNA-directed RNA polymerase L	
Function unknown	VOG05151	sp|Q9INI1|NS2_BAVJK Non-structural protein 2	
Function unknown	VOG05152	sp|Q5UR95|YL577_MIMIV Uncharacterized protein L577	
Function unknown	VOG05153	REFSEQ hypothetical protein	
Function unknown	VOG05154	REFSEQ hypothetical protein	
Function unknown	VOG05155	REFSEQ membrane protein EE21	
Function unknown	VOG05156	sp|Q06423|YO81_BPP2 Uncharacterized 11.3 kDa protein in GpA 5'region	
Virus replication | Virus structure	VOG05157	sp|Q9JGU0|PHOSP_NCMV Phosphoprotein	
Function unknown	VOG05158	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus	VOG05159	sp|F5HAM0|UL144_HCMVM Membrane glycoprotein UL144	
Function unknown	VOG05160	sp|Q5UR96|YL576_MIMIV Uncharacterized protein L576	
Function unknown	VOG05161	REFSEQ unknown similar to AMEV102	
Function unknown	VOG05162	REFSEQ hypothetical protein	
Function unknown	VOG05163	REFSEQ N1	
Function unknown	VOG05164	REFSEQ RING finger protein 151-like isoform X1	
Function unknown	VOG05165	REFSEQ hypothetical protein	
Function unknown	VOG05166	REFSEQ hypothetical protein	
Function unknown	VOG05167	REFSEQ repeat protein	
Virus structure	VOG05168	sp|C1BEG3|UL74A_HCMVM Uncharacterized protein UL74A	
Function unknown	VOG05169	REFSEQ Hypothetical protein	
Function unknown	VOG05170	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05171	sp|Q65730|POLG_BSTV1 Genome polyprotein	
Function unknown	VOG05172	sp|P27265|REN_TYLCI Replication enhancer protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05173	sp|Q8JV21|POLG_LJUV1 Genome polyprotein	
Virus structure	VOG05174	sp|P31619|MP_TYDVA Movement protein	
Virus structure	VOG05175	sp|P13290|GG_HHV2H Envelope glycoprotein G	
Function unknown	VOG05176	REFSEQ hypothetical protein	
Function unknown	VOG05177	REFSEQ hypothetical protein	
Function unknown	VOG05178	REFSEQ hypothetical protein	
Function unknown	VOG05179	REFSEQ hypothetical protein	
Function unknown	VOG05180	REFSEQ RNA-dependent RNA polymerase	
Function unknown	VOG05181	REFSEQ hypothetical protein	
Function unknown	VOG05182	REFSEQ hypothetical protein	
Function unknown	VOG05183	REFSEQ hypothetical protein	
Function unknown	VOG05184	REFSEQ ORF1+2p	
Function unknown	VOG05185	REFSEQ RNA ligase	
Function unknown	VOG05186	REFSEQ hypothetical protein	
Function unknown	VOG05187	sp|P17171|VG40_BPT4 Head formation protein	
Function unknown	VOG05188	REFSEQ hypothetical protein	
Function unknown	VOG05189	REFSEQ latent nuclear antigen	
Function unknown	VOG05190	REFSEQ hypothetical protein	
Function unknown	VOG05191	sp|A0A7H0DNF4|PG192_MONPV Protein OPG192	
Function unknown	VOG05192	REFSEQ hypothetical protein	
Function unknown	VOG05193	REFSEQ hypothetical protein	
Function unknown	VOG05194	REFSEQ hypothetical protein	
Function unknown	VOG05195	REFSEQ excisionase	
Function unknown	VOG05196	REFSEQ hypothetical protein	
Function unknown	VOG05197	REFSEQ hypothetical protein	
Function unknown	VOG05198	REFSEQ hypothetical protein	
Function unknown	VOG05199	sp|O71154|VNS2_DSDNV Non-structural protein NS2	
Virus protein with function beneficial for the host	VOG05200	sp|Q9V817|MTH4_DROME Probable G-protein coupled receptor Mth-like 4	
Virus protein with function beneficial for the host | Virus structure	VOG05201	sp|P41705|PIF5_NPVAC Per os infectivity factor 5	
Function unknown	VOG05202	sp|A4ZUA9|Y061A_ABVP Uncharacterized protein ORF61a	
Function unknown	VOG05203	sp|Q0H8C5|NSP1N_ROTB2 Non-structural protein 1	
Function unknown	VOG05204	REFSEQ ORF57	
Virus protein with function beneficial for the host	VOG05205	sp|P11040|ETS_NPVAC Uncharacterized protein ETS	
Function unknown	VOG05206	sp|Q91FF1|373L_IIV6 Uncharacterized protein 373L	
Function unknown	VOG05207	sp|Q05256|VG45_BPML5 Gene 45 protein	
Function unknown	VOG05208	REFSEQ putative beta-galactoside alpha-2,6-sialyltransferase 1	
Function unknown	VOG05209	REFSEQ hypothetical protein	
Function unknown	VOG05210	REFSEQ membrane protein RL11G	
Function unknown	VOG05211	REFSEQ hypothetical protein	
Function unknown	VOG05212	REFSEQ hypothetical protein	
Function unknown	VOG05213	REFSEQ hypothetical protein	
Function unknown	VOG05214	REFSEQ Hypothetical protein	
Function unknown	VOG05215	REFSEQ hypothetical protein	
Virus replication | Virus structure	VOG05216	sp|A0A097I1R9|H2A_MELV Histone doublet miniH2B-H2A	
Function unknown	VOG05217	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG05218	sp|Q6DN67|L_CPSVP RNA-directed RNA polymerase L	
Function unknown	VOG05219	REFSEQ hypothetical protein	
Function unknown	VOG05220	REFSEQ calcineurin-like phosphoesterase	
Function unknown	VOG05221	REFSEQ F-box domain containing protein	
Function unknown	VOG05222	REFSEQ hypothetical protein	
Function unknown	VOG05223	REFSEQ hypothetical protein	
Function unknown	VOG05224	REFSEQ putative holin-like toxin	
Function unknown	VOG05225	REFSEQ unknown similar to AMEV223	
Function unknown	VOG05226	REFSEQ hypothetical protein	
Virus structure	VOG05227	sp|P89518|OE66_NPVLS Occlusion-derived virus envelope protein E66	
Function unknown	VOG05228	REFSEQ Cypovirus VP6	
Function unknown	VOG05229	REFSEQ hypothetical protein	
Function unknown	VOG05230	REFSEQ hypothetical protein	
Function unknown	VOG05231	sp|O64236|VG441_BPMD2 Gene 44.1 protein	
Function unknown	VOG05232	sp|Q5I5X4|NS5A_IBVM Non-structural protein 5a	
Virus protein with function beneficial for the host	VOG05233	sp|P32861|UGPA1_YEAST UTP--glucose-1-phosphate uridylyltransferase	
Function unknown	VOG05234	REFSEQ hypothetical protein	
Function unknown	VOG05235	REFSEQ hypothetical protein	
Function unknown	VOG05236	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG05237	sp|Q46CK8|RPO10_METBF DNA-directed RNA polymerase subunit Rpo10	
Function unknown	VOG05238	REFSEQ hypothetical protein	
Function unknown	VOG05239	REFSEQ hypothetical protein	
Function unknown	VOG05240	sp|Q9QJ48|U15_HHV6Z Protein U15	
Function unknown	VOG05241	REFSEQ serine/threonine protein kinase	
Function unknown	VOG05242	REFSEQ hypothetical protein	
