L1	KO	Function	EC	Count
Virus protein with function beneficial for the host	VOG11337	sp|Q9ZCV2|QUEE_RICPR 7-carboxy-7-deazaguanine synthase		1
Virus protein with function beneficial for the host	VOG11339	sp|P08874|ABRB_BACSU Transition state regulatory protein AbrB		1
Function unknown	VOG11588	REFSEQ sigma 54 modulation protein/ribosomal protein S30EA		1
Virus protein with function beneficial for the host	VOG11642	sp|O67653|IF3_AQUAE Translation initiation factor IF-3		1
Function unknown	VOG11658	sp|P60108|TELL_STAAN TelA-like protein SA1238		1
Virus protein with function beneficial for the host	VOG12058	sp|Q47334|KPSF5_ECOLX Arabinose 5-phosphate isomerase KpsF		1
Function unknown	VOG12438	REFSEQ putative SpoVG protein		1
Virus protein with function beneficial for the host	VOG12460	sp|P04152|UMUC_ECOLI Protein UmuC		1
Function unknown	VOG12793	REFSEQ peptidase		1
Function unknown	VOG12966	REFSEQ endolysin		1
Function unknown	VOG13263	REFSEQ hypothetical protein		1
Function unknown	VOG13433	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG13488	sp|P73441|DEF_SYNY3 Peptide deformylase		1
Function unknown	VOG13859	sp|P28355|RECJ_SALTY Single-stranded-DNA-specific exonuclease RecJ		1
Function unknown	VOG14270	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG14428	sp|B9MPS5|QUEF_CALBD NADPH-dependent 7-cyano-7-deazaguanine reductase		1
Function unknown	VOG14906	REFSEQ primase		1
Virus protein with function beneficial for the host	VOG14942	sp|P29139|ISP_PAEPO Intracellular serine protease		1
Function unknown	VOG15158	sp|A6TCM7|SSRP_KLEP7 SsrA-binding protein		1
Function unknown	VOG15212	REFSEQ transcriptional regulator		1
Virus protein with function beneficial for the host	VOG15736	sp|A3PAU4|AROC_PROM0 Chorismate synthase		1
Virus protein with function beneficial for the host	VOG15748	sp|Q3ATZ1|PUR9_CHLCH Bifunctional purine biosynthesis protein PurH		1
Virus protein with function beneficial for the host	VOG15749	sp|O04862|FOLM_PEA Folate synthesis bifunctional protein, mitochondrial		1
Function unknown	VOG15751	REFSEQ Para-aminobenzoate synthetase		1
Virus protein with function beneficial for the host	VOG15753	sp|Q42707|F26G_HELSP Furostanol glycoside 26-O-beta-glucosidase		1
Virus protein with function beneficial for the host	VOG15756	sp|Q83A83|METC_COXBU Cystathionine beta-lyase		1
Function unknown	VOG15781	REFSEQ DNA-3-methyladenine glycosylase		1
Function unknown	VOG15804	sp|Q9XZ43|5NTD_LUTLO Protein 5NUC		1
Virus protein with function beneficial for the host	VOG16022	sp|P9WM78|Y0574_MYCTO Probable polyglutamine synthesis accessory protein MT0602		1
Virus protein with function beneficial for the host	VOG16297	sp|Q9NJD8|GMPR_ONCVO GMP reductase		1
Function unknown	VOG16448	REFSEQ hypothetical protein		1
Function unknown	VOG16581	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG16777	sp|P23160|R34K_CLOPA 34.2 kDa protein in rubredoxin operon		1
Function unknown	VOG17129	sp|O32163|SUFU_BACSU Zinc-dependent sulfurtransferase SufU		1
Virus protein with function beneficial for the host	VOG17303	sp|Q9SZR9|AB9G_ARATH ABC transporter G family member 9		1
Function unknown	VOG17500	sp|Q9CSH3|RRP44_MOUSE Exosome complex exonuclease RRP44		1
Function unknown	VOG17503	sp|Q11R91|RNH2_CYTH3 Ribonuclease HII		1
Function unknown	VOG17505	REFSEQ CDP-alcohol phosphatidyltransferase		1
Function unknown	VOG17506	REFSEQ radical SAM superfamily protein		1
Virus protein with function beneficial for the host	VOG18158	sp|A6Q4Z6|HLDE_NITSB Bifunctional protein HldE		1
Function unknown	VOG18196	sp|P54173|YPJQ_BACSU Uncharacterized protein YpjQ		1
Function unknown	VOG18458	REFSEQ Mg2+/Co2+ transport protein		1
Virus replication	VOG18529	sp|Q06126|TNPA_BORPP Transposase for insertion sequence element IS1001		1
Virus protein with function beneficial for the host	VOG18554	sp|P09114|ILVB2_TOBAC Acetolactate synthase 2, chloroplastic		1
Virus protein with function beneficial for the host	VOG19288	sp|A6TMH9|PANB_ALKMQ 3-methyl-2-oxobutanoate hydroxymethyltransferase		1
Virus protein with function beneficial for the host	VOG19319	sp|Q9L1L8|PFKA2_STRCO ATP-dependent 6-phosphofructokinase 2		1
Function unknown	VOG19343	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG19360	sp|A0KNY6|ERPA_AERHH Iron-sulfur cluster insertion protein ErpA		1
Function unknown	VOG19363	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG20002	sp|P58777|CAT_KLESP Chloramphenicol acetyltransferase		1
Function unknown	VOG20124	REFSEQ serine acetyltransferase		1
Function unknown	VOG20327	REFSEQ exonuclease		1
Virus protein with function beneficial for the host	VOG20698	sp|O27580|PUR8_METTH Adenylosuccinate lyase		1
Function unknown	VOG20794	REFSEQ 5'-methylthioadenosine nucleosidase		1
Function unknown	VOG20801	REFSEQ acetyltransferase		1
Virus protein with function beneficial for the host	VOG20806	sp|P0A9H7|CFA_ECOLI Cyclopropane-fatty-acyl-phospholipid synthase		1
Virus protein with function beneficial for the host	VOG20913	sp|O32001|YOKF_BACSU SPbeta prophage-derived endonuclease YokF		1
Virus protein with function beneficial for the host	VOG20948	sp|F9UTW9|GLPF3_LACPL Glycerol uptake facilitator protein 3		1
Function unknown	VOG20952	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG20955	sp|Q7X8B5|ACA5_ORYSJ Calcium-transporting ATPase 5, plasma membrane-type		1
Function unknown	VOG21148	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG21226	sp|P63872|CYSK_STAAW Cysteine synthase		1
Function unknown	VOG21290	REFSEQ lysophospholipid acyltransferase		1
Virus protein with function beneficial for the host	VOG21292	sp|Q7ZYC4|ACBG2_XENLA Long-chain-fatty-acid--CoA ligase ACSBG2		1
Function unknown	VOG21308	REFSEQ multicopper oxidase		1
Virus protein with function beneficial for the host | Virus replication	VOG21314	sp|A6LEL7|TRUB_PARD8 tRNA pseudouridine synthase B		1
Virus protein with function beneficial for the host | Virus replication	VOG21335	sp|M1CZC0|EBP1_SOLTU ERBB-3 BINDING PROTEIN 1		1
Virus protein with function beneficial for the host	VOG21345	sp|Q9USS0|PNC1_SCHPO Nicotinamidase		1
Virus protein with function beneficial for the host	VOG21354	sp|P57989|CSD_PASMU Probable cysteine desulfurase		1
Virus protein with function beneficial for the host	VOG21370	sp|F2WP51|LPAKS_PSESP Linear primary-alkylsulfatase		1
Virus protein with function beneficial for the host	VOG21380	sp|Q94K73|SYFM_ARATH Phenylalanine--tRNA ligase, chloroplastic/mitochondrial		1
Function unknown	VOG21385	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG21387	sp|P40825|SYA_YEAST Alanine--tRNA ligase, mitochondrial		1
Function unknown	VOG21389	REFSEQ bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein		1
Function unknown	VOG21714	REFSEQ glycosyltransferase		1
Virus protein with function beneficial for the host	VOG22184	sp|O07003|LEVB_BACSU Levanbiose-producing levanase		1
Virus protein with function beneficial for the host	VOG22895	sp|B5YJV1|FOLD_THEYD Bifunctional protein FolD		1
Function unknown	VOG22909	REFSEQ tRNA 4-thiouridine(8) synthase		1
Virus protein with function beneficial for the host	VOG22917	sp|P53607|ILVA_BURM1 L-threonine dehydratase biosynthetic IlvA		1
Virus protein with function beneficial for the host	VOG24258	sp|A4N8V8|HPF_HAEI3 Putative metal ABC transporter substrate-binding protein Hpf		1
Virus protein with function beneficial for the host	VOG24260	sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP]		1
Virus protein with function beneficial for the host	VOG24573	sp|A2CDR0|GCSP_PROM3 Glycine dehydrogenase (decarboxylating)		1
Virus protein with function beneficial for the host	VOG24845	sp|O07431|CAMT_MYCTU Catechol O-methyltransferase		1
Virus protein with function beneficial for the host	VOG25367	sp|P45693|SP5S_BACSU Stage V sporulation protein S		1
Function unknown	VOG25681	REFSEQ Fic family protein		1
Function unknown	VOG26515	REFSEQ IS1182-like element ISSau3 family transposase		1
Function unknown	VOG26850	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG27087	sp|A1K5T6|SELO_AZOSB Protein adenylyltransferase SelO		1
Virus protein with function beneficial for the host	VOG28195	sp|Q93W20|NIFU2_ARATH NifU-like protein 2, chloroplastic		1
Function unknown	VOG28198	REFSEQ putative transketolase central region-containing protein		1
Virus protein with function beneficial for the host	VOG28221	sp|A2RK47|BMPA_LACLM ABC transporter nucleoside-binding protein BmpA		1
Function unknown	VOG28359	REFSEQ carboxylate--amine ligase		1
Function unknown	VOG28369	REFSEQ endolysin		1
Function unknown	VOG28529	REFSEQ hypothetical protein		1
Function unknown	VOG28537	REFSEQ hypothetical protein		1
Function unknown	VOG28631	REFSEQ virion structural protein		1
Virus protein with function beneficial for the host	VOG28740	sp|A0ALF8|Y2422_LISW6 Nucleotide-binding protein lwe2422		1
Function unknown	VOG29077	REFSEQ transcriptional regulator		1
Function unknown	VOG29549	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG29693	sp|O59715|DEGS_SCHPO Sphingolipid delta(4)-desaturase		1
Virus protein with function beneficial for the host	VOG30458	sp|A0B7H6|PYRG_METTP CTP synthase		1
Function unknown	VOG30770	REFSEQ gp633		1
Virus protein with function beneficial for the host	VOG30807	sp|O31502|DAGK_BACSU Diacylglycerol kinase		1
Function unknown	VOG30904	REFSEQ glycosyltransferase		1
Virus protein with function beneficial for the host	VOG30911	sp|Q6V3X0|PYRD_NAUCC Dihydroorotate dehydrogenase (fumarate)		1
Function unknown	VOG30939	REFSEQ phosphoribosyl transferase		1
Virus protein with function beneficial for the host	VOG32117	sp|D3KVM5|SODF_BURSP Superoxide dismutase [Fe]		1
Function unknown	VOG32987	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host | Virus replication	VOG33006	sp|O23755|EF2_BETVU Elongation factor 2		1
Function unknown	VOG33209	REFSEQ antibiotic biosynthesis monooxygenase		1
Function unknown	VOG33225	sp|P27859|TATD_ECOLI 3'-5' ssDNA/RNA exonuclease TatD		1
Virus protein with function beneficial for the host	VOG33235	sp|P46459|NSF_HUMAN Vesicle-fusing ATPase		1
Function unknown	VOG33559	sp|A0A0H2ZDG9|LYSRL_PSEAB HTH-type transcriptional repressor PA14_22550		1
Function unknown	VOG34404	REFSEQ RNA polymerase subunit alpha		1
Function unknown	VOG35410	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG35465	sp|Q99758|ABCA3_HUMAN Phospholipid-transporting ATPase ABCA3		1
Function unknown	VOG35625	REFSEQ gp49		1
Virus protein with function beneficial for the host	VOG35695	sp|P96169|SGLT_VIBPH Sodium/glucose cotransporter		1
Function unknown	VOG35901	REFSEQ phosphatase PAP2 family protein		1
Virus protein with function beneficial for the host	VOG36004	sp|B2W2N2|M2DH_PYRTR Mannitol 2-dehydrogenase		1
Function unknown	VOG36646	REFSEQ clamp loader of DNA polymerase		1
Function unknown	VOG36909	sp|P0C7L5|B115_SSV1 Uncharacterized HTH-type transcriptional regulator B-115		1
