L1	L2	L3	L4	KO	Function	EC	Count
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K01028	E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A	2.8.3.5	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K01029	E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B	2.8.3.5	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12	1
01_Fermentation	Lysine fermentation to acetate and butyrate			K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01040	gctB; glutaconate CoA-transferase, subunit B	2.8.3.12	1
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase			K01046	lip, TGL2; triacylglycerol lipase	3.1.1.3	1
21_Cellular response to stress	Cellular response to osmotic stress			K01048	pldB; lysophospholipase	3.1.1.5	1
21_Cellular response to stress	Response to osmotic stress			K01048	pldB; lysophospholipase	3.1.1.5	1
15_Methylotrophy	RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)			K01057	PGLS, pgl, devB; 6-phosphogluconolactonase	3.1.1.31	1
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K01070	frmB, ESD, fghA; S-formylglutathione hydrolase	3.1.2.12	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01079	serB, PSPH; phosphoserine phosphatase	3.1.3.3	1
20_Hydrolysis of polymers	Starch			K01087	otsB; trehalose 6-phosphate phosphatase	3.1.3.12	1
21_Cellular response to stress	Response to osmotic stress			K01087	otsB; trehalose 6-phosphate phosphatase	3.1.3.12	1
21_Cellular response to stress	Trehalose metabolism in response to cold stress			K01087	otsB; trehalose 6-phosphate phosphatase	3.1.3.12	1
07_Nucleic acid metabolism	Purine metabolism			K01129	dgt; dGTPase	3.1.5.1	1
07_Nucleic acid metabolism	Purine metabolism			K01139	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	2.7.6.5 3.1.7.2	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01178	SGA1; glucoamylase	3.2.1.3	1
20_Hydrolysis of polymers	Starch			K01178	SGA1; glucoamylase	3.2.1.3	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01182	IMA, malL; oligo-1,6-glucosidase	3.2.1.10	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K01182	IMA, malL; oligo-1,6-glucosidase	3.2.1.10	1
20_Hydrolysis of polymers	Starch			K01182	IMA, malL; oligo-1,6-glucosidase	3.2.1.10	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	1
20_Hydrolysis of polymers	Starch			K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	1
20_Hydrolysis of polymers	Galactose			K01193	INV, sacA; beta-fructofuranosidase	3.2.1.26	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01199	EGLC; glucan endo-1,3-beta-D-glucosidase	3.2.1.39	1
20_Hydrolysis of polymers	Starch			K01199	EGLC; glucan endo-1,3-beta-D-glucosidase	3.2.1.39	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01207	nagZ; beta-N-acetylhexosaminidase	3.2.1.52	1
20_Hydrolysis of polymers	Chitin			K01207	nagZ; beta-N-acetylhexosaminidase	3.2.1.52	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01214	ISA, treX; isoamylase	3.2.1.68	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01236	treZ, glgZ; maltooligosyltrehalose trehalohydrolase	3.2.1.141	1
07_Nucleic acid metabolism	Purine metabolism			K01241	amn; AMP nucleosidase	3.2.2.4	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01243	mtnN, mtn, pfs; adenosylhomocysteine nucleosidase	3.2.2.9	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01259	pip; proline iminopeptidase	3.4.11.5	1
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase			K01286	E3.4.16.4; D-alanyl-D-alanine carboxypeptidase	3.4.16.4	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K01286	E3.4.16.4; D-alanyl-D-alanine carboxypeptidase	3.4.16.4	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to aspartate and asparagine		K01303	APEH; acylaminoacyl-peptidase	3.4.19.1	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K01424	E3.5.1.1, ansA, ansB; L-asparaginase	3.5.1.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01424	E3.5.1.1, ansA, ansB; L-asparaginase	3.5.1.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01428	ureC; urease subunit alpha	3.5.1.5	1
07_Nucleic acid metabolism	Purine metabolism			K01428	ureC; urease subunit alpha	3.5.1.5	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01429	ureB; urease subunit beta	3.5.1.5	1
07_Nucleic acid metabolism	Purine metabolism			K01429	ureB; urease subunit beta	3.5.1.5	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01430	ureA; urease subunit gamma	3.5.1.5	1
07_Nucleic acid metabolism	Purine metabolism			K01430	ureA; urease subunit gamma	3.5.1.5	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01438	argE; acetylornithine deacetylase	3.5.1.16	1
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase			K01438	argE; acetylornithine deacetylase	3.5.1.16	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K01439	dapE; succinyl-diaminopimelate desuccinylase	3.5.1.18	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01439	dapE; succinyl-diaminopimelate desuccinylase	3.5.1.18	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01448	amiABC; N-acetylmuramoyl-L-alanine amidase	3.5.1.28	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01458	hutG; N-formylglutamate deformylase	3.5.1.68	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01465	URA4, pyrC; dihydroorotase	3.5.2.3	1
06_Amino acid utilization biosynthesis metabolism	Histidine degradation			K01468	hutI, AMDHD1; imidazolonepropionase	3.5.2.7	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01468	hutI, AMDHD1; imidazolonepropionase	3.5.2.7	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01470	E3.5.2.10; creatinine amidohydrolase	3.5.2.10	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01473	hyuA; N-methylhydantoinase A	3.5.2.14	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01473	hyuA; N-methylhydantoinase A	3.5.2.14	1
08_Hydrocarbon degradation	BTEX and related aromatics degradation			K01473	hyuA; N-methylhydantoinase A	3.5.2.14	1
07_Nucleic acid metabolism	Purine metabolism			K01477	alc, ALLC; allantoicase	3.5.3.4	1
07_Nucleic acid metabolism	Degradation of pyrimidine bases			K01477	alc, ALLC; allantoicase	3.5.3.4	1
07_Nucleic acid metabolism	Purine metabolism			K01483	allA; ureidoglycolate lyase	4.3.2.3	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01485	codA; cytosine/creatinine deaminase	3.5.4.1 3.5.4.21	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01485	codA; cytosine/creatinine deaminase	3.5.4.1 3.5.4.21	1
07_Nucleic acid metabolism	Degradation of pyrimidine bases			K01485	codA; cytosine/creatinine deaminase	3.5.4.1 3.5.4.21	1
07_Nucleic acid metabolism	Purine metabolism			K01487	E3.5.4.3, guaD; guanine deaminase	3.5.4.3	1
07_Nucleic acid metabolism	Degradation of purine bases			K01487	E3.5.4.3, guaD; guanine deaminase	3.5.4.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	1.5.1.5 3.5.4.9	1
15_Methylotrophy	Formaldehyde oxidation (tetrahydrofolate pathway)			K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	1.5.1.5 3.5.4.9	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01494	dcd; dCTP deaminase	3.5.4.13	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K01496	hisI; phosphoribosyl-AMP cyclohydrolase	3.5.4.19	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K01496	hisI; phosphoribosyl-AMP cyclohydrolase	3.5.4.19	1
07_Nucleic acid metabolism	Purine metabolism			K01515	nudF; ADP-ribose pyrophosphatase	3.6.1.13	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01519	ITPA; inosine triphosphate pyrophosphatase	3.6.1.-	1
07_Nucleic acid metabolism	Purine metabolism			K01519	ITPA; inosine triphosphate pyrophosphatase	3.6.1.-	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01520	dut, DUT; dUTP pyrophosphatase	3.6.1.23	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K01523	hisE; phosphoribosyl-ATP pyrophosphohydrolase	3.6.1.31	1
07_Nucleic acid metabolism	Purine metabolism			K01524	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	3.6.1.11 3.6.1.40	1
07_Nucleic acid metabolism	Purine metabolism			K01525	apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	3.6.1.41	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K01555	FAH, fahA; fumarylacetoacetase	3.7.1.2	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K01555	FAH, fahA; fumarylacetoacetase	3.7.1.2	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K01557	FAHD1; acylpyruvate hydrolase	3.7.1.5	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K01557	FAHD1; acylpyruvate hydrolase	3.7.1.5	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01581	E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase	4.1.1.17	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01584	adiA; arginine decarboxylase	4.1.1.19	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01584	adiA; arginine decarboxylase	4.1.1.19	1
21_Cellular response to stress	Response to osmotic stress			K01584	adiA; arginine decarboxylase	4.1.1.19	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01585	speA; arginine decarboxylase	4.1.1.19	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01585	speA; arginine decarboxylase	4.1.1.19	1
21_Cellular response to stress	Response to osmotic stress			K01585	speA; arginine decarboxylase	4.1.1.19	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K01586	lysA; diaminopimelate decarboxylase	4.1.1.20	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K01586	lysA; diaminopimelate decarboxylase	4.1.1.20	1
07_Nucleic acid metabolism	Purine metabolism			K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase	5.4.99.18	1
07_Nucleic acid metabolism	Purine metabolism			K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase	6.3.4.18	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01591	pyrF; orotidine-5'-phosphate decarboxylase	4.1.1.23	1
10_TCA cycle	Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)			K01595	ppc; phosphoenolpyruvate carboxylase	4.1.1.31	1
10_TCA cycle	Incomplete TCA fork			K01595	ppc; phosphoenolpyruvate carboxylase	4.1.1.31	1
15_Methylotrophy	Serine pathway for formaldehyde fixation			K01595	ppc; phosphoenolpyruvate carboxylase	4.1.1.31	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01609	trpC; indole-3-glycerol phosphate synthase	4.1.1.48	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49	1
17_Gluconeogenesis	Gluconeogenesis			K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01611	speD, AMD1; S-adenosylmethionine decarboxylase	4.1.1.50	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01611	speD, AMD1; S-adenosylmethionine decarboxylase	4.1.1.50	1
08_Hydrocarbon degradation	Chlorinated aromatics degradation			K01617	dmpH, xylI, nahK; 2-oxo-3-hexenedioate decarboxylase	4.1.1.77	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	4.1.2.9 4.1.2.22	1
01_Fermentation	Bifidobacterium shunt			K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II	4.1.2.13	1
15_Methylotrophy	RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)			K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II	4.1.2.13	1
16_Embden Meyerhof-Parnos (EMP)	EMP			K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II	4.1.2.13	1
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II	4.1.2.13	1
16_Embden Meyerhof-Parnos (EMP)	EMP  in archea			K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II	4.1.2.13	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	4.1.2.14 4.1.3.42	1
15_Methylotrophy	RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)			K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	4.1.2.14 4.1.3.42	1
20_Hydrolysis of polymers	Xylose			K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	4.1.2.14 4.1.3.42	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase	2.5.1.54	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase	2.5.1.54	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	2.5.1.55	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	2.5.1.55	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	2.5.1.55	1
20_Hydrolysis of polymers	Galactose			K01631	dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase	4.1.2.21	1
10_TCA cycle	Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)			K01637	E4.1.3.1, aceA; isocitrate lyase	4.1.3.1	1
10_TCA cycle	Incomplete TCA fork			K01638	aceB, glcB; malate synthase	2.3.3.9	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K01640	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase	4.1.3.4	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01649	leuA, IMS; 2-isopropylmalate synthase	2.3.3.13	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01657	trpE; anthranilate synthase component I	4.1.3.27	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01657	trpE; anthranilate synthase component I	4.1.3.27	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01658	trpG; anthranilate synthase component II	4.1.3.27	1
01_Fermentation	Pyruvate fermentation to butanol			K01658	trpG; anthranilate synthase component II	4.1.3.27	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K01658	trpG; anthranilate synthase component II	4.1.3.27	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K01658	trpG; anthranilate synthase component II	4.1.3.27	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K01658	trpG; anthranilate synthase component II	4.1.3.27	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K01658	trpG; anthranilate synthase component II	4.1.3.27	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01658	trpG; anthranilate synthase component II	4.1.3.27	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01658	trpG; anthranilate synthase component II	4.1.3.27	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I	4.2.1.2	1
10_TCA cycle	TCA cycle			K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I	4.2.1.2	1
10_TCA cycle	Incomplete TCA fork			K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I	4.2.1.2	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II	4.2.1.2	1
10_TCA cycle	TCA cycle			K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II	4.2.1.2	1
10_TCA cycle	Incomplete TCA fork			K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II	4.2.1.2	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Pyruvate to leucine		K01681	ACO, acnA; aconitate hydratase	4.2.1.3	1
10_TCA cycle	TCA cycle			K01681	ACO, acnA; aconitate hydratase	4.2.1.3	1
10_TCA cycle	Incomplete TCA fork			K01681	ACO, acnA; aconitate hydratase	4.2.1.3	1
21_Cellular response to stress	Regulation of translation in response to oxidative stress			K01681	ACO, acnA; aconitate hydratase	4.2.1.3	1
10_TCA cycle	TCA cycle			K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99	1
10_TCA cycle	Incomplete TCA fork			K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99	1
21_Cellular response to stress	Regulation of translation in response to oxidative stress			K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99	1
20_Hydrolysis of polymers	Galactose			K01684	dgoD; galactonate dehydratase	4.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase			K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase			K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
05_Fatty acid oxidation	Fatty acid beta-oxidation I			K01689	ENO, eno; enolase	4.2.1.11	1
05_Fatty acid oxidation	Fatty acid beta-oxidation II (core pathway)			K01689	ENO, eno; enolase	4.2.1.11	1
05_Fatty acid oxidation	Fatty acid beta-oxidation IV (unsaturated)			K01689	ENO, eno; enolase	4.2.1.11	1
05_Fatty acid oxidation	Fatty acid activation			K01689	ENO, eno; enolase	4.2.1.11	1
15_Methylotrophy	Serine pathway for formaldehyde fixation			K01689	ENO, eno; enolase	4.2.1.11	1
16_Embden Meyerhof-Parnos (EMP)	EMP			K01689	ENO, eno; enolase	4.2.1.11	1
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K01689	ENO, eno; enolase	4.2.1.11	1
16_Embden Meyerhof-Parnos (EMP)	EMP  in archea			K01689	ENO, eno; enolase	4.2.1.11	1
17_Gluconeogenesis	Gluconeogenesis in archea			K01689	ENO, eno; enolase	4.2.1.11	1
01_Fermentation	Mixed acid fermentation			K01693	hisB; imidazoleglycerol-phosphate dehydratase	4.2.1.19	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K01693	hisB; imidazoleglycerol-phosphate dehydratase	4.2.1.19	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K01693	hisB; imidazoleglycerol-phosphate dehydratase	4.2.1.19	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01695	trpA; tryptophan synthase alpha chain	4.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01695	trpA; tryptophan synthase alpha chain	4.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01695	trpA; tryptophan synthase alpha chain	4.2.1.20	1
01_Fermentation	Mixed acid fermentation			K01696	trpB; tryptophan synthase beta chain	4.2.1.20	1
01_Fermentation	Mixed acid fermentation			K01696	trpB; tryptophan synthase beta chain	4.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01696	trpB; tryptophan synthase beta chain	4.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01696	trpB; tryptophan synthase beta chain	4.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01702	LEU1; 3-isopropylmalate dehydratase	4.2.1.33	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01704	leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	4.2.1.33 4.2.1.35	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01704	leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	4.2.1.33 4.2.1.35	1
06_Amino acid utilization biosynthesis metabolism	Histidine degradation			K01712	hutU, UROC1; urocanate hydratase	4.2.1.49	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K01712	hutU, UROC1; urocanate hydratase	4.2.1.49	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01729	algL; poly(beta-D-mannuronate) lyase	4.2.2.3	1
20_Hydrolysis of polymers	Mannose			K01729	algL; poly(beta-D-mannuronate) lyase	4.2.2.3	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01735	aroB; 3-dehydroquinate synthase	4.2.3.4	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01736	aroC; chorismate synthase	4.2.3.5	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01738	cysK; cysteine synthase	2.5.1.47	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01738	cysK; cysteine synthase	2.5.1.47	1
06_Amino acid utilization biosynthesis metabolism	Lysine degradation X			K01745	hutH, HAL; histidine ammonia-lyase	4.3.1.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01745	hutH, HAL; histidine ammonia-lyase	4.3.1.3	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase	4.3.1.17	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase	4.3.1.17	1
