ID	Function	Gene
TIGR01083	endonuclease III	nth
TIGR01084	A/G-specific adenine glycosylase	mutY
TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase	murE
TIGR01086	L-fuculose phosphate aldolase	fucA
TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD
TIGR01088	3-dehydroquinate dehydratase, type II	aroQ
TIGR01089	L-fucose isomerase	fucI
TIGR01090	adenine phosphoribosyltransferase	apt
TIGR01091	uracil phosphoribosyltransferase	upp
TIGR01092	delta l-pyrroline-5-carboxylate synthetase	
TIGR01093	3-dehydroquinate dehydratase, type I	aroD
TIGR01096	lysine-arginine-ornithine-binding periplasmic protein	
TIGR01097	phosphonate ABC transporter, permease protein PhnE	phnE
TIGR01098	phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein	phnD
TIGR01099	UTP--glucose-1-phosphate uridylyltransferase	galU
TIGR01100	V-type ATPase, C subunit	
TIGR01101	V-type ATPase, F subunit	
TIGR01102	type III secretion apparatus protein, YscR/HrcR family	epaP
TIGR01103	flagellar biosynthetic protein FliP	fliP
TIGR01104	V-type H(+)-translocating pyrophosphatase	
TIGR01105	regulatory protein GalF	galF
TIGR01106	Na,H/K antiporter P-type ATPase, alpha subunit	
TIGR01107	Na+/K+ ATPase, beta subunit	
TIGR01108	oxaloacetate decarboxylase alpha subunit	oadA
TIGR01109	sodium ion-translocating decarboxylase, beta subunit	
TIGR01110	malonate decarboxylase, alpha subunit	mdcA
TIGR01111	tetrahydromethanopterin S-methyltransferase, subunit A	mtrA
TIGR01112	tetrahydromethanopterin S-methyltransferase, subunit D	mtrD
TIGR01113	tetrahydromethanopterin S-methyltransferase, subunit E	mtrE
TIGR01114	N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H	mtrH
TIGR01115	photosynthetic reaction center M subunit	pufM
TIGR01116	calcium-translocating P-type ATPase, SERCA-type	
TIGR01117	methylmalonyl-CoA decarboxylase alpha subunit	mmdA
TIGR01118	galactose-6-phosphate isomerase, LacA subunit	lacA
TIGR01119	galactose-6-phosphate isomerase, LacB subunit	lacB
TIGR01120	ribose 5-phosphate isomerase B	rpiB
TIGR01121	D-amino-acid transaminase	dat
TIGR01122	branched-chain amino acid aminotransferase	ilvE
TIGR01123	branched-chain amino acid aminotransferase	ilvE
TIGR01124	threonine ammonia-lyase, biosynthetic	ilvA
TIGR01125	ribosomal protein S12 methylthiotransferase RimO	rimO
TIGR01126	protein disulfide-isomerase domain	
TIGR01127	threonine ammonia-lyase	ilvA
TIGR01128	DNA polymerase III, delta subunit	holA
TIGR01129	protein-export membrane protein SecD	secD
TIGR01130	protein disulfide isomerase	
TIGR01131	ATP synthase F0, A subunit	atpB
TIGR01132	phosphoglucomutase, alpha-D-glucose phosphate-specific	pgm
TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	murG
TIGR01134	amidophosphoribosyltransferase	purF
TIGR01135	glutamine-fructose-6-phosphate transaminase (isomerizing)	glmS
TIGR01136	cysteine synthase	
TIGR01137	cystathionine beta-synthase	
TIGR01138	cysteine synthase B	cysM
TIGR01139	cysteine synthase A	cysK
TIGR01140	threonine-phosphate decarboxylase	
TIGR01141	histidinol-phosphate transaminase	hisC
TIGR01142	phosphoribosylglycinamide formyltransferase 2	purT
TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	murF
TIGR01144	ATP synthase F0, B subunit	atpF
TIGR01145	ATP synthase F1, delta subunit	atpH
TIGR01146	ATP synthase F1, gamma subunit	atpG
TIGR01147	V-type ATPase, G subunit	
TIGR01148	tetrahydromethanopterin S-methyltransferase, subunit C	mtrC
TIGR01149	tetrahydromethanopterin S-methyltransferase, subunit G	mtrG
TIGR01150	photosynthetic reaction center H subunit	puhA
TIGR01151	photosystem II q(b) protein	psbA
TIGR01152	photosystem II D2 protein (photosystem q(a) protein)	psbD
TIGR01153	photosystem II 44 kDa subunit reaction center protein	psbC
TIGR01156	cytb6/f complex subunit IV	
TIGR01157	photosynthetic reaction center L subunit	pufL
TIGR01158	putative translation initiation factor SUI1	yciH
TIGR01159	density-regulated protein DRP1	
TIGR01160	translation initiation factor SUI1	
TIGR01161	phosphoribosylaminoimidazole carboxylase, ATPase subunit	purK
TIGR01162	phosphoribosylaminoimidazole carboxylase, catalytic subunit	purE
TIGR01163	ribulose-phosphate 3-epimerase	rpe
TIGR01164	ribosomal protein uL16	rplP
TIGR01165	cobalt transport protein	cbiN
TIGR01166	cobalt ABC transporter, ATP-binding protein	
TIGR01167	LPXTG cell wall anchor domain	
TIGR01168	gram-positive signal peptide, YSIRK family	
TIGR01169	ribosomal protein uL1	rplA
TIGR01170	ribosomal protein uL1, mitochondrial	
TIGR01171	ribosomal protein uL2	rplB
TIGR01172	serine O-acetyltransferase	cysE
TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	glmU
TIGR01174	cell division protein FtsA	ftsA
TIGR01175	type IV pilus assembly protein PilM	
TIGR01176	fumarate reductase (quinol), flavoprotein subunit	frdA
TIGR01177	putative methyltransferase, TIGR01177 family	
TIGR01178	adenine deaminase	ade
TIGR01179	UDP-glucose 4-epimerase GalE	galE
TIGR01180	putative alpha-1,2-mannosidase	
TIGR01181	dTDP-glucose 4,6-dehydratase	rfbB
TIGR01182	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	eda
TIGR01183	nitrate ABC transporter, permease protein	ntrB
TIGR01184	nitrate ABC transporter, ATP-binding proteins C and D	
TIGR01185	ABC exporter transmembrane subunit, DevC protein	
TIGR01186	glycine betaine/L-proline transport ATP binding subunit	proV
TIGR01187	polyamine ABC transporter, ATP-binding protein	
TIGR01188	daunorubicin resistance ABC transporter, ATP-binding protein	
TIGR01189	heme ABC exporter, ATP-binding protein CcmA	ccmA
TIGR01190	heme exporter protein CcmB	ccmB
TIGR01191	heme exporter protein CcmC	ccmC
TIGR01192	glucan exporter ATP-binding protein	
TIGR01193	ABC-type bacteriocin transporter	
TIGR01194	cyclic peptide transporter	
TIGR01195	sodium pump decarboxylases, gamma subunit	
TIGR01196	phosphogluconate dehydratase	edd
TIGR01197	metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family	
TIGR01198	6-phosphogluconolactonase	pgl
TIGR01200	GLPGLI family protein	
TIGR01201	putative DNA-binding protein	
TIGR01202	chlorophyll synthesis pathway protein BchC	bchC
TIGR01203	hypoxanthine phosphoribosyltransferase	hpt
TIGR01204	6-carboxyhexanoate--CoA ligase	bioW
TIGR01205	D-alanine--D-alanine ligase	
TIGR01206	lysine biosynthesis protein LysW	lysW
TIGR01207	glucose-1-phosphate thymidylyltransferase	rfbA
TIGR01208	glucose-1-phosphate thymidylyltransferase	
TIGR01209	RNA ligase, Pab1020 family	
TIGR01210	radical SAM enzyme, TIGR01210 family	
TIGR01211	radical SAM enzyme/protein acetyltransferase, ELP3 family	
TIGR01212	radical SAM protein, TIGR01212 family	
TIGR01213	tRNA pseudouridine(54/55) synthase	
TIGR01214	dTDP-4-dehydrorhamnose reductase	rfbD
TIGR01215	cell division topological specificity factor MinE	minE
TIGR01216	ATP synthase F1, epsilon subunit	atpC
TIGR01217	acetoacetate-CoA ligase	
TIGR01218	tandem five-TM protein	
TIGR01219	phosphomevalonate kinase	
TIGR01220	phosphomevalonate kinase	
TIGR01221	dTDP-4-dehydrorhamnose 3,5-epimerase	rfbC
TIGR01222	septum site-determining protein MinC	minC
TIGR01223	phosphomevalonate kinase	
TIGR01224	imidazolonepropionase	hutI
TIGR01225	histidine ammonia-lyase	hutH
TIGR01226	phenylalanine ammonia-lyase	
TIGR01227	formimidoylglutamase	hutG
TIGR01228	urocanate hydratase	hutU
TIGR01229	arginase	rocF
TIGR01230	agmatinase	speB
TIGR01231	tagatose-6-phosphate kinase	lacC
TIGR01232	tagatose 1,6-diphosphate aldolase	lacD
TIGR01233	6-phospho-beta-galactosidase	lacG
TIGR01234	ribulokinase	araB
TIGR01235	pyruvate carboxylase	pyc
TIGR01236	1-pyrroline-5-carboxylate dehydrogenase	pruA
TIGR01237	putative delta-1-pyrroline-5-carboxylate dehydrogenase	pruA
TIGR01238	delta-1-pyrroline-5-carboxylate dehydrogenase	
TIGR01239	galactose-1-phosphate uridylyltransferase	galT
TIGR01240	diphosphomevalonate decarboxylase	mvaD
TIGR01241	ATP-dependent metallopeptidase HflB	hflB
TIGR01242	26S proteasome subunit P45 family	
TIGR01243	AAA family ATPase, CDC48 subfamily	
TIGR01244	TIGR01244 family protein	
TIGR01245	anthranilate phosphoribosyltransferase	trpD
TIGR01246	succinyl-diaminopimelate desuccinylase	dapE
TIGR01247	daunorubicin resistance ABC transporter membrane protein	
TIGR01248	daunorubicin resistance protein C	
TIGR01249	prolyl aminopeptidase	pip
TIGR01250	proline-specific peptidase	
TIGR01251	ribose-phosphate diphosphokinase	prs
TIGR01252	alpha-acetolactate decarboxylase	budA
TIGR01253	thiamine/thiamine pyrophosphate ABC transporter, permease protein	thiP
TIGR01254	ABC transporter periplasmic binding protein, thiB subfamily	
TIGR01255	formate acetyltransferase	pflB
TIGR01256	molybdate ABC transporter, periplasmic molybdate-binding protein	modA
TIGR01257	rim ABC transporter	
TIGR01258	phosphoglycerate mutase 1 family	
TIGR01259	comEA protein	
TIGR01260	ATP synthase F0, C subunit	atpE
TIGR01261	histidinol-phosphatase	hisB
TIGR01262	maleylacetoacetate isomerase	maiA
TIGR01263	4-hydroxyphenylpyruvate dioxygenase	hppD
TIGR01264	tyrosine aminotransferase	TAT
TIGR01265	tyrosine/nicotianamine family aminotransferase	
TIGR01266	fumarylacetoacetase	fahA
TIGR01267	phenylalanine-4-hydroxylase	phhA
TIGR01268	phenylalanine-4-hydroxylase	
TIGR01269	tyrosine 3-monooxygenase	
TIGR01270	tryptophan 5-monooxygenase	
TIGR01271	cystic fibrosis transmembrane conductor regulator (CFTR)	
TIGR01272	glucose/galactose transporter WARNING	gluP
TIGR01273	arginine decarboxylase	speA
TIGR01274	1-aminocyclopropane-1-carboxylate deaminase	
TIGR01275	pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family	
TIGR01276	thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	thiB
TIGR01277	thiamine ABC transporter, ATP-binding protein	thiQ
TIGR01278	light-independent protochlorophyllide reductase, B subunit	bchB
TIGR01279	light-independent protochlorophyllide reductase, N subunit	bchN
TIGR01280	exodeoxyribonuclease VII, small subunit	xseB
TIGR01281	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein	bchL
TIGR01282	nitrogenase molybdenum-iron protein alpha chain	nifD
TIGR01283	nitrogenase MoFe cofactor biosynthesis protein NifE	nifE
TIGR01284	nitrogenase alpha chain	
TIGR01285	nitrogenase molybdenum-iron cofactor biosynthesis protein NifN	nifN
TIGR01286	nitrogenase molybdenum-iron protein beta chain	nifK
TIGR01287	nitrogenase iron protein	nifH
TIGR01288	nodulation ABC transporter NodI	nodI
TIGR01289	light-dependent protochlorophyllide reductase	
TIGR01290	nitrogenase cofactor biosynthesis protein NifB	nifB
TIGR01291	ABC-2 type transporter, NodJ family	
TIGR01292	thioredoxin-disulfide reductase	trxB
TIGR01293	voltage-dependent potassium channel beta subunit	
TIGR01294	phospholamban	pln
TIGR01295	putative bacteriocin transport accessory protein	
TIGR01296	aspartate-semialdehyde dehydrogenase	asd
TIGR01297	cation diffusion facilitator family transporter	
TIGR01298	ribonuclease T	rnt
TIGR01299	synaptic vesicle protein SV2	
TIGR01300	monovalent cation/proton antiporter, MnhG/PhaG subunit	
TIGR01301	sucrose/H+ symporter	
TIGR01302	inosine-5'-monophosphate dehydrogenase	guaB
TIGR01303	IMP dehydrogenase family protein	
TIGR01304	IMP dehydrogenase family protein	
TIGR01305	guanosine monophosphate reductase	guaC
TIGR01306	guanosine monophosphate reductase	guaC
TIGR01307	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	gpmI
TIGR01308	ribosomal protein uL30	rpmD
TIGR01309	ribosomal protein uL30	rpmD
TIGR01310	60S ribosomal protein uL30	
TIGR01311	glycerol kinase	glpK
TIGR01312	xylulokinase	xylB
TIGR01313	carbohydrate kinase, thermoresistant glucokinase family	
TIGR01314	gluconate kinase	gntK
TIGR01315	FGGY-family pentulose kinase	
TIGR01316	glutamate synthase (NADPH), homotetrameric	gltA
TIGR01317	glutamate synthase, NADH/NADPH, small subunit	gltD
TIGR01318	glutamate synthase, small subunit	
TIGR01319	conserved hypothetical protein	
TIGR01320	malate dehydrogenase (acceptor)	mqo
TIGR01321	trp operon repressor	trpR
TIGR01322	sucrose-6-phosphate hydrolase	
TIGR01323	nitrile hydratase, alpha subunit	nthA
TIGR01324	cystathionine beta-lyase	metC
TIGR01325	O-succinylhomoserine sulfhydrylase	metZ
TIGR01326	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	
TIGR01327	phosphoglycerate dehydrogenase	serA
TIGR01328	methionine gamma-lyase	megL
TIGR01329	cystathionine beta-lyase	
TIGR01330	3'(2'),5'-bisphosphate nucleotidase	
TIGR01331	3'(2'),5'-bisphosphate nucleotidase	cysQ
TIGR01332	cytochrome b559, alpha subunit	psbE
TIGR01333	cytochrome b559, beta subunit	psbF
TIGR01334	modD protein	modD
TIGR01335	photosystem I core protein PsaA	psaA
TIGR01336	photosystem I core protein PsaB	psaB
TIGR01337	allophycocyanin, beta subunit	apcB
TIGR01338	phycocyanin, alpha subunit	cpcA
TIGR01339	phycocyanin, beta subunit	
TIGR01340	aconitate hydratase, mitochondrial	
TIGR01341	aconitate hydratase 1	acnA
TIGR01342	putative aconitate hydratase	
TIGR01343	homoaconitate hydratase family protein	
TIGR01344	malate synthase A	aceB
TIGR01345	malate synthase G	glcB
TIGR01346	isocitrate lyase	aceA
TIGR01347	dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex	sucB
TIGR01348	dihydrolipoyllysine-residue acetyltransferase	aceF
TIGR01349	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	
TIGR01350	dihydrolipoyl dehydrogenase	lpdA
TIGR01351	adenylate kinase	
TIGR01352	TonB family C-terminal domain	
TIGR01353	putative dGTPase	dgt
TIGR01354	cytidine deaminase	cdd
TIGR01355	cytidine deaminase	cdd
TIGR01356	3-phosphoshikimate 1-carboxyvinyltransferase	aroA
TIGR01357	3-dehydroquinate synthase	aroB
TIGR01358	3-deoxy-7-phosphoheptulonate synthase	
TIGR01359	UMP-CMP kinase family	
TIGR01360	adenylate kinase	
TIGR01361	3-deoxy-7-phosphoheptulonate synthase	aroF
TIGR01362	3-deoxy-8-phosphooctulonate synthase	kdsA
TIGR01363	streptococcal histidine triad protein	
TIGR01364	phosphoserine transaminase	serC
TIGR01365	phosphoserine aminotransferase	
TIGR01366	putative phosphoserine aminotransferase	
TIGR01367	orotate phosphoribosyltransferase	pyrE
TIGR01368	carbamoyl-phosphate synthase, small subunit	carA
TIGR01369	carbamoyl-phosphate synthase, large subunit	carB
TIGR01370	extracellular protein	
TIGR01371	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	metE
TIGR01372	sarcosine oxidase, alpha subunit family	
TIGR01373	sarcosine oxidase, beta subunit family	
TIGR01374	sarcosine oxidase, delta subunit family	
TIGR01375	sarcosine oxidase, gamma subunit family	soxG
TIGR01376	chlamydial polymorphic outer membrane protein repeat	
TIGR01377	sarcosine oxidase, monomeric form	
TIGR01378	thiamine pyrophosphokinase	
TIGR01379	thiamine-phosphate kinase	thiL
TIGR01380	glutathione synthase	gshB
TIGR01381	E1-like protein-activating enzyme Gsa7p/Apg7p	
TIGR01382	intracellular protease, PfpI family	
TIGR01383	DJ-1 family protein	
TIGR01384	transcription factor S	
TIGR01385	transcription elongation factor S-II	
TIGR01386	heavy metal sensor kinase	
TIGR01387	heavy metal response regulator	
TIGR01388	ribonuclease D	rnd
TIGR01389	ATP-dependent DNA helicase RecQ	recQ
TIGR01390	2',3'-cyclic-nucleotide 2'-phosphodiesterase	cpdB
TIGR01391	DNA primase	dnaG
TIGR01392	homoserine O-acetyltransferase	metX
TIGR01393	elongation factor 4	lepA
TIGR01394	GTP-binding protein TypA/BipA	typA
TIGR01395	flagellar basal-body rod protein FlgC	flgC
TIGR01396	flagellar basal-body rod protein FlgB	flgB
TIGR01397	flagellar motor switch protein FliM	fliM
TIGR01398	flagellar biosynthesis protein FlhA	flhA
TIGR01399	type III secretion protein, HrcV family	
TIGR01400	flagellar biosynthetic protein FliR	fliR
TIGR01401	type III secretion apparatus protein SpaR/YscT/HrcT	epaR
TIGR01402	flagellar biosynthetic protein FliQ	fliQ
TIGR01403	type III secretion protein, HrpO family	
TIGR01404	type III secretion protein, YscU/HrpY family	
TIGR01405	DNA polymerase III, alpha subunit, Gram-positive type	polC
TIGR01406	DNA polymerase III, epsilon subunit	dnaQ
TIGR01407	putative DnaQ family exonuclease/DinG family helicase	
TIGR01408	ubiquitin-activating enzyme E1	
TIGR01409	Tat (twin-arginine translocation) pathway signal sequence	
TIGR01410	twin arginine-targeting protein translocase TatB	tatB
TIGR01411	twin arginine-targeting protein translocase, TatA/E family	tatA
TIGR01412	Tat-translocated enzyme	
TIGR01413	Dyp-type peroxidase family	
TIGR01414	outer membrane autotransporter barrel domain	
TIGR01415	pyridoxal-phosphate dependent TrpB-like enzyme	
TIGR01416	ubiquinol-cytochrome c reductase, iron-sulfur subunit	petA
TIGR01417	phosphoenolpyruvate-protein phosphotransferase	ptsP
TIGR01418	phosphoenolpyruvate synthase	ppsA
TIGR01419	PTS IIA-like nitrogen-regulatory protein PtsN	ptsN
TIGR01420	twitching motility protein	
TIGR01421	glutathione-disulfide reductase	gor
TIGR01422	phosphonoacetaldehyde hydrolase	phnX
TIGR01423	trypanothione-disulfide reductase	Tpr
TIGR01424	glutathione-disulfide reductase	gor
TIGR01425	signal recognition particle protein SRP54	
TIGR01426	glycosyltransferase, MGT family	
TIGR01427	PTS system, Fru family, IIC component	
TIGR01428	haloacid dehalogenase, type II	dehII
TIGR01429	AMP deaminase	
TIGR01430	adenosine deaminase	add
TIGR01431	adenosine deaminase-related growth factor	
TIGR01432	cytochrome aa3 quinol oxidase, subunit II	qoxA
TIGR01433	ubiquinol oxidase, subunit II	cyoA
TIGR01434	glutamate--cysteine ligase	gshA
TIGR01435	glutamate--cysteine ligase/glutathione synthase	gshAB
TIGR01436	glutamate--cysteine ligase	
TIGR01437	uncharacterized pyridoxal phosphate-dependent enzyme	
TIGR01438	thioredoxin and glutathione reductase	
TIGR01439	transcriptional regulator, AbrB family	
TIGR01440	TIGR01440 family protein	
TIGR01441	GPR endopeptidase	gpr
TIGR01442	small, acid-soluble spore protein, gamma-type	
TIGR01443	intein C-terminal splicing region	
TIGR01444	methyltransferase, FkbM family	
TIGR01445	intein N-terminal splicing region	
TIGR01446	DnaD domain protein	
TIGR01447	exodeoxyribonuclease V, alpha subunit	recD
TIGR01448	helicase, RecD/TraA family	
TIGR01449	phosphoglycolate phosphatase, bacterial	gph
TIGR01450	exodeoxyribonuclease V, gamma subunit	recC
TIGR01451	conserved repeat domain	
TIGR01452	phosphoglycolate/pyridoxal phosphate phosphatase family	
TIGR01453	group I intron endonuclease	
TIGR01454	AHBA synthesis associated protein	
TIGR01455	phosphoglucosamine mutase	glmM
TIGR01456	HAD hydrolase, TIGR01456 family	
TIGR01457	HAD hydrolase, TIGR01457 family	
TIGR01458	HAD hydrolase, TIGR01458 family	
TIGR01459	HAD hydrolase, TIGR01459 family	
TIGR01460	HAD hydrolase, family IIA	
TIGR01461	transcription elongation factor GreB	greB
TIGR01462	transcription elongation factor GreA	greA
TIGR01463	methyltransferase, MtaA/CmuA family	
TIGR01464	uroporphyrinogen decarboxylase	hemE
TIGR01465	precorrin-4 C11-methyltransferase	cobM
TIGR01466	precorrin-3B C17-methyltransferase	cobJ
TIGR01467	precorrin-2 C(20)-methyltransferase	cobI
TIGR01469	uroporphyrinogen-III C-methyltransferase	cobA
TIGR01470	siroheme synthase, N-terminal domain	
TIGR01472	GDP-mannose 4,6-dehydratase	gmd
TIGR01473	protoheme IX farnesyltransferase	cyoE
TIGR01474	4-hydroxybenzoate polyprenyl transferase	ubiA
TIGR01475	putative 4-hydroxybenzoate polyprenyltransferase	
TIGR01476	bacteriochlorophyll/chlorophyll synthetase	bchG
TIGR01477	variant surface antigen, rifin family	
TIGR01478	variant surface antigen, stevor family	
TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	
TIGR01480	copper-resistance protein, CopA family	
TIGR01481	catabolite control protein A	ccpA
TIGR01482	sucrose-phosphate phosphatase subfamily	
TIGR01484	HAD hydrolase, family IIB	
TIGR01485	sucrose phosphatase	SPP
TIGR01486	mannosyl-3-phosphoglycerate phosphatase family	
TIGR01487	phosphoglycolate phosphatase, TA0175-type	
TIGR01488	HAD phosphoserine phosphatase-like hydrolase, family IB	
TIGR01489	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	
TIGR01490	HAD hydrolase, family IB	
TIGR01491	phosphoserine phosphatase-like hydrolase, archaeal	
TIGR01492	Plasmodium falciparum CPW-WPC domain	
TIGR01493	HAD hydrolase, family IA, variant 2	
TIGR01494	HAD ATPase, P-type, family IC	
TIGR01495	early transcribed membrane protein (ETRAMP) family	
TIGR01496	dihydropteroate synthase	folP
TIGR01497	K+-transporting ATPase, B subunit	kdpB
TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK
TIGR01499	bifunctional protein FolC	folC
TIGR01500	sepiapterin reductase	
TIGR01501	methylaspartate mutase, S subunit	mamA
TIGR01502	methylaspartate ammonia-lyase	
TIGR01503	methylaspartate mutase, E subunit	
TIGR01504	glyoxylate carboligase	gcl
TIGR01505	2-hydroxy-3-oxopropionate reductase	
TIGR01506	riboflavin synthase	ribC
TIGR01507	squalene-hopene cyclase	shc
TIGR01508	diaminohydroxyphosphoribosylaminopyrimidine reductase	
TIGR01509	HAD hydrolase, family IA, variant 3	
TIGR01510	pantetheine-phosphate adenylyltransferase	coaD
TIGR01511	copper-translocating P-type ATPase	
TIGR01512	cadmium-translocating P-type ATPase	cadA
TIGR01513	nicotinate phosphoribosyltransferase	pncB
TIGR01514	nicotinate phosphoribosyltransferase	pncB
TIGR01515	1,4-alpha-glucan branching enzyme	glgB
TIGR01517	calcium-translocating P-type ATPase, PMCA-type	
TIGR01518	glycerol-3-phosphate cytidylyltransferase	tagD
TIGR01519	Plasmodium falciparum uncharacterized domain	
TIGR01520	fructose-bisphosphate aldolase, class II	fbaA
TIGR01521	fructose-bisphosphate aldolase, class II, Calvin cycle subtype	fba
TIGR01522	calcium-transporting P-type ATPase, PMR1-type	
TIGR01523	potassium/sodium efflux P-type ATPase, fungal-type	
TIGR01524	magnesium-translocating P-type ATPase	mgtA
TIGR01525	heavy metal translocating P-type ATPase	
TIGR01526	nicotinamide-nucleotide adenylyltransferase	
TIGR01527	nicotinamide-nucleotide adenylyltransferase	
TIGR01528	nicotinamide mononucleotide transporter PnuC	pnuC
TIGR01529	arginine repressor	argR
TIGR01530	NAD nucleotidase	nadN
TIGR01531	glycogen debranching enzyme	GDE
TIGR01532	erythrose-4-phosphate dehydrogenase	epd
TIGR01533	5'-nucleotidase, lipoprotein e(P4) family	
TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I	gap
TIGR01535	glucan 1,4-alpha-glucosidase	
TIGR01536	asparagine synthase (glutamine-hydrolyzing)	asnB
TIGR01537	phage portal protein, HK97 family	
TIGR01538	phage portal protein, SPP1 family	
TIGR01539	phage portal protein, lambda family	
TIGR01540	phage portal protein, PBSX family	
TIGR01541	phage tail tape measure protein, lambda family	
TIGR01542	phage portal protein, putative, A118 family	
TIGR01543	phage prohead protease, HK97 family	
TIGR01544	HAD hydrolase, family IE	
TIGR01545	HAD hydrolase, family IF	yfhb
TIGR01546	glyceraldehyde-3-phosphate dehydrogenase, type II	
TIGR01547	phage terminase, large subunit, PBSX family	
TIGR01548	HAD hydrolase, TIGR01548 family	
TIGR01549	HAD hydrolase, family IA, variant 1	
TIGR01550	death-on-curing family protein	
TIGR01551	phage major capsid protein, P2 family	
TIGR01552	prevent-host-death family protein	
TIGR01553	formate dehydrogenase-N alpha subunit	fdnG
TIGR01554	phage major capsid protein, HK97 family	
TIGR01555	phage-associated protein, HI1409 family	
TIGR01556	rhamnosyltransferase	
TIGR01557	myb-like DNA-binding domain, SHAQKYF class	
TIGR01558	putative phage terminase, small subunit, P27 family	
TIGR01559	farnesyl-diphosphate farnesyltransferase	
TIGR01560	uncharacterized phage protein (possible DNA packaging)	
TIGR01561	putative glycogen debranching enzyme, archaeal type	
TIGR01562	formate dehydrogenase accessory protein FdhE	fdhE
TIGR01563	putative phage head-tail adaptor	
TIGR01564	S-layer protein	
TIGR01565	homeobox domain, ZF-HD class	
TIGR01566	ZF-HD homeobox protein Cys/His-rich dimerization domain	
TIGR01567	S-layer family duplication domain	
TIGR01568	uncharacterized plant-specific domain TIGR01568	
TIGR01569	plant integral membrane protein TIGR01569	
TIGR01570	uncharacterized plant-specific domain TIGR01570	
TIGR01571	uncharacterized Cys-rich domain	
TIGR01572	Arabidopsis paralogous family TIGR01572	
TIGR01573	CRISPR-associated endonuclease Cas2	cas2
TIGR01574	tRNA-i(6)A37 thiotransferase enzyme MiaB	miaB
TIGR01575	ribosomal-protein-alanine acetyltransferase	rimI
TIGR01577	oligosaccharide amylase	
TIGR01578	MiaB-like tRNA modifying enzyme, archaeal-type	
TIGR01579	MiaB-like tRNA modifying enzyme	
TIGR01580	nitrate reductase, alpha subunit	
TIGR01581	NifC-like ABC-type porter	
TIGR01582	formate dehydrogenase, beta subunit	fdxH
TIGR01583	formate dehydrogenase, gamma subunit	
TIGR01584	citrate lyase, alpha subunit	citF
TIGR01586	cysteine protease domain, YopT-type	
TIGR01587	CRISPR-associated helicase Cas3	cas3
TIGR01588	citrate (pro-3S)-lyase, beta subunit	citE
TIGR01589	uncharacterized plant-specific domain TIGR01589	
TIGR01590	yir/bir/cir-family of variant antigens	
TIGR01591	formate dehydrogenase, alpha subunit	
TIGR01592	holin, SPP1 family	xhlB
TIGR01593	toxin secretion/phage lysis holin	
TIGR01594	phage holin, lambda family	
TIGR01595	CRISPR-associated protein, CT1132 family	
TIGR01596	CRISPR-associated endonuclease Cas3-HD	
TIGR01597	Plasmodium yoelii subtelomeric family PYST-B	
TIGR01598	holin, phage phi LC3 family	
TIGR01599	Plasmodium yoelii subtelomeric family PYST-A	
TIGR01600	phage minor tail protein L	
TIGR01601	Plasmodium yoelii subtelomeric domain PYST-C1	
TIGR01602	Plasmodium yoelii repeat of length 46	
TIGR01603	phage major tail protein, phi13 family	
TIGR01604	Plasmodium yoelii subtelomeric domain PYST-C2	
TIGR01605	Plasmodium yoelii subtelomeric family PYST-D	
TIGR01606	holin, BlyA family	
TIGR01607	Plasmodium subtelomeric family	
TIGR01608	citrate lyase acyl carrier protein	citD
TIGR01609	Plasmodium falciparum uncharacterized protein TIGR01609	
TIGR01610	phage replication protein O, N-terminal domain	
TIGR01611	phage major tail tube protein	
TIGR01612	rhoptry protein	
TIGR01613	phage/plasmid primase, P4 family, C-terminal domain	
TIGR01614	pectinesterase inhibitor domain	
TIGR01615	uncharacterized plant-specific domain TIGR01615	
TIGR01616	nitrogenase-associated protein	
TIGR01617	transcriptional regulator, Spx/MgsR family	
TIGR01618	phage nucleotide-binding protein	
TIGR01619	TIGR01619 family protein	
TIGR01620	TIGR01620 family protein	
TIGR01621	pseudouridine synthase Rlu family protein, TIGR01621	
