L1	ID	Function	EC
unknown function	phrog_55826	NA	
unknown function	phrog_55827	NA	
unknown function	phrog_55828	NA	
unknown function	phrog_55829	NA	
unknown function	phrog_55830	NA	
unknown function	phrog_55831	NA	
unknown function	phrog_55832	NA	
unknown function	phrog_55833	NA	
unknown function	phrog_55834	NA	
unknown function	phrog_55835	NA	
unknown function	phrog_55836	NA	
unknown function	phrog_55837	NA	
unknown function	phrog_55838	NA	
unknown function	phrog_55839	NA	
unknown function	phrog_55840	NA	
unknown function	phrog_55841	NA	
tail	phrog_55842	tail fiber protein	
unknown function	phrog_55843	NA	
unknown function	phrog_55844	NA	
unknown function	phrog_55845	NA	
unknown function	phrog_55846	NA	
unknown function	phrog_55847	NA	
unknown function	phrog_55848	NA	
unknown function	phrog_55849	NA	
unknown function	phrog_55850	NA	
unknown function	phrog_55851	NA	
unknown function	phrog_55852	NA	
unknown function	phrog_55853	NA	
unknown function	phrog_55854	NA	
unknown function	phrog_55855	NA	
unknown function	phrog_55856	NA	
unknown function	phrog_55857	NA	
unknown function	phrog_55858	NA	
unknown function	phrog_55859	NA	
unknown function	phrog_55860	NA	
unknown function	phrog_55861	NA	
unknown function	phrog_55862	NA	
unknown function	phrog_55863	NA	
unknown function	phrog_55864	NA	
unknown function	phrog_55865	NA	
unknown function	phrog_55866	NA	
unknown function	phrog_55867	NA	
unknown function	phrog_55868	NA	
unknown function	phrog_55869	NA	
unknown function	phrog_55870	NA	
unknown function	phrog_55871	NA	
unknown function	phrog_55872	NA	
unknown function	phrog_55873	NA	
unknown function	phrog_55874	NA	
unknown function	phrog_55875	NA	
unknown function	phrog_55876	NA	
unknown function	phrog_55877	NA	
unknown function	phrog_55878	NA	
unknown function	phrog_55879	NA	
unknown function	phrog_55880	NA	
unknown function	phrog_55881	NA	
unknown function	phrog_55882	NA	
unknown function	phrog_55883	NA	
unknown function	phrog_55884	NA	
unknown function	phrog_55885	NA	
unknown function	phrog_55886	NA	
unknown function	phrog_55887	NA	
unknown function	phrog_55888	NA	
unknown function	phrog_55889	NA	
unknown function	phrog_55890	NA	
unknown function	phrog_55891	NA	
unknown function	phrog_55892	NA	
unknown function	phrog_55893	NA	
unknown function	phrog_55894	NA	
unknown function	phrog_55895	NA	
unknown function	phrog_55896	NA	
unknown function	phrog_55897	NA	
unknown function	phrog_55898	NA	
unknown function	phrog_55899	NA	
unknown function	phrog_55900	NA	
unknown function	phrog_55901	NA	
unknown function	phrog_55902	NA	
unknown function	phrog_55903	NA	
unknown function	phrog_55904	NA	
unknown function	phrog_55905	NA	
unknown function	phrog_55906	NA	
unknown function	phrog_55907	NA	
unknown function	phrog_55908	NA	
unknown function	phrog_55909	NA	
unknown function	phrog_55910	NA	
unknown function	phrog_55911	NA	
unknown function	phrog_55912	NA	
unknown function	phrog_55913	NA	
unknown function	phrog_55914	NA	
unknown function	phrog_55915	NA	
unknown function	phrog_55916	NA	
unknown function	phrog_55917	NA	
unknown function	phrog_55918	NA	
unknown function	phrog_55919	NA	
unknown function	phrog_55920	NA	
unknown function	phrog_55921	NA	
unknown function	phrog_55922	NA	
unknown function	phrog_55923	NA	
unknown function	phrog_55924	NA	
unknown function	phrog_55925	NA	
unknown function	phrog_55926	NA	
unknown function	phrog_55927	NA	
unknown function	phrog_55928	NA	
unknown function	phrog_55929	NA	
unknown function	phrog_55930	NA	
unknown function	phrog_55931	NA	
unknown function	phrog_55932	NA	
unknown function	phrog_55933	NA	
unknown function	phrog_55934	NA	
unknown function	phrog_55935	NA	
unknown function	phrog_55936	NA	
unknown function	phrog_55937	NA	
unknown function	phrog_55938	NA	
unknown function	phrog_55939	NA	
unknown function	phrog_55940	NA	
unknown function	phrog_55941	NA	
unknown function	phrog_55942	NA	
unknown function	phrog_55943	NA	
unknown function	phrog_55944	NA	
unknown function	phrog_55945	NA	
unknown function	phrog_55946	NA	
unknown function	phrog_55947	NA	
unknown function	phrog_55948	NA	
unknown function	phrog_55949	NA	
unknown function	phrog_55950	NA	
unknown function	phrog_55951	NA	
unknown function	phrog_55952	NA	
unknown function	phrog_55953	NA	
unknown function	phrog_55954	NA	
unknown function	phrog_55955	NA	
unknown function	phrog_55956	NA	
unknown function	phrog_55957	NA	
unknown function	phrog_55958	NA	
unknown function	phrog_55959	NA	
unknown function	phrog_55960	NA	
unknown function	phrog_55961	NA	
unknown function	phrog_55962	NA	
unknown function	phrog_55963	NA	
unknown function	phrog_55964	NA	
unknown function	phrog_55965	NA	
unknown function	phrog_55966	NA	
unknown function	phrog_55967	NA	
unknown function	phrog_55968	NA	
unknown function	phrog_55969	NA	
unknown function	phrog_55970	NA	
unknown function	phrog_55971	NA	
unknown function	phrog_55972	NA	
unknown function	phrog_55973	NA	
unknown function	phrog_55974	NA	
unknown function	phrog_55975	NA	
unknown function	phrog_55976	NA	
unknown function	phrog_55977	NA	
unknown function	phrog_55978	NA	
unknown function	phrog_55979	NA	
unknown function	phrog_55980	NA	
unknown function	phrog_55981	NA	
unknown function	phrog_55982	NA	
unknown function	phrog_55983	NA	
unknown function	phrog_55984	NA	
unknown function	phrog_55985	NA	
unknown function	phrog_55986	NA	
unknown function	phrog_55987	NA	
unknown function	phrog_55988	NA	
unknown function	phrog_55989	NA	
unknown function	phrog_55990	NA	
unknown function	phrog_55991	NA	
unknown function	phrog_55992	NA	
unknown function	phrog_55993	NA	
unknown function	phrog_55994	NA	
unknown function	phrog_55995	NA	
unknown function	phrog_55996	NA	
unknown function	phrog_55997	NA	
unknown function	phrog_55998	NA	
unknown function	phrog_55999	NA	
unknown function	phrog_56000	NA	
unknown function	phrog_56001	NA	
unknown function	phrog_56002	NA	
unknown function	phrog_56003	NA	
unknown function	phrog_56004	NA	
unknown function	phrog_56005	NA	
unknown function	phrog_56006	NA	
unknown function	phrog_56007	NA	
unknown function	phrog_56008	NA	
unknown function	phrog_56009	NA	
unknown function	phrog_56010	NA	
unknown function	phrog_56011	NA	
unknown function	phrog_56012	NA	
unknown function	phrog_56013	NA	
unknown function	phrog_56014	NA	
unknown function	phrog_56015	NA	
unknown function	phrog_56016	NA	
unknown function	phrog_56017	NA	
unknown function	phrog_56018	NA	
unknown function	phrog_56019	NA	
unknown function	phrog_56020	NA	
unknown function	phrog_56021	NA	
unknown function	phrog_56022	NA	
unknown function	phrog_56023	NA	
unknown function	phrog_56024	NA	
unknown function	phrog_56025	NA	
unknown function	phrog_56026	NA	
unknown function	phrog_56027	NA	
unknown function	phrog_56028	NA	
unknown function	phrog_56029	NA	
unknown function	phrog_56030	NA	
unknown function	phrog_56031	NA	
unknown function	phrog_56032	NA	
unknown function	phrog_56033	NA	
unknown function	phrog_56034	NA	
unknown function	phrog_56035	NA	
unknown function	phrog_56036	NA	
unknown function	phrog_56037	NA	
unknown function	phrog_56038	NA	
unknown function	phrog_56039	NA	
unknown function	phrog_56040	NA	
unknown function	phrog_56041	NA	
unknown function	phrog_56042	NA	
unknown function	phrog_56043	NA	
unknown function	phrog_56044	NA	
unknown function	phrog_56045	NA	
unknown function	phrog_56046	NA	
unknown function	phrog_56047	NA	
unknown function	phrog_56048	NA	
unknown function	phrog_56049	NA	
unknown function	phrog_56050	NA	
unknown function	phrog_56051	NA	
unknown function	phrog_56052	NA	
unknown function	phrog_56053	NA	
unknown function	phrog_56054	NA	
unknown function	phrog_56055	NA	
unknown function	phrog_56056	NA	
unknown function	phrog_56057	NA	
unknown function	phrog_56058	NA	
unknown function	phrog_56059	NA	
unknown function	phrog_56060	NA	
unknown function	phrog_56061	NA	
unknown function	phrog_56062	NA	
unknown function	phrog_56063	NA	
unknown function	phrog_56064	NA	
unknown function	phrog_56065	NA	
unknown function	phrog_56066	NA	
unknown function	phrog_56067	NA	
unknown function	phrog_56068	NA	
unknown function	phrog_56069	NA	
unknown function	phrog_56070	NA	
unknown function	phrog_56071	NA	
unknown function	phrog_56072	NA	
unknown function	phrog_56073	NA	
unknown function	phrog_56074	NA	
unknown function	phrog_56075	NA	
unknown function	phrog_56076	NA	
unknown function	phrog_56077	NA	
unknown function	phrog_56078	NA	
unknown function	phrog_56079	NA	
unknown function	phrog_56080	NA	
unknown function	phrog_56081	NA	
unknown function	phrog_56082	NA	
unknown function	phrog_56083	NA	
unknown function	phrog_56084	NA	
unknown function	phrog_56085	NA	
unknown function	phrog_56086	NA	
unknown function	phrog_56087	NA	
unknown function	phrog_56088	NA	
unknown function	phrog_56089	NA	
unknown function	phrog_56090	NA	
unknown function	phrog_56091	NA	
unknown function	phrog_56092	NA	
unknown function	phrog_56093	NA	
unknown function	phrog_56094	NA	
unknown function	phrog_56095	NA	
unknown function	phrog_56096	NA	
unknown function	phrog_56097	NA	
unknown function	phrog_56098	NA	
unknown function	phrog_56099	NA	
unknown function	phrog_56100	NA	
unknown function	phrog_56101	NA	
unknown function	phrog_56102	NA	
unknown function	phrog_56103	NA	
unknown function	phrog_56104	NA	
unknown function	phrog_56105	NA	
unknown function	phrog_56106	NA	
unknown function	phrog_56107	NA	
unknown function	phrog_56108	NA	
unknown function	phrog_56109	NA	
unknown function	phrog_56110	NA	
unknown function	phrog_56111	NA	
unknown function	phrog_56112	NA	
unknown function	phrog_56113	NA	
unknown function	phrog_56114	NA	
unknown function	phrog_56115	NA	
unknown function	phrog_56116	NA	
unknown function	phrog_56117	NA	
unknown function	phrog_56118	NA	
unknown function	phrog_56119	NA	
unknown function	phrog_56120	NA	
unknown function	phrog_56121	NA	
unknown function	phrog_56122	NA	
unknown function	phrog_56123	NA	
unknown function	phrog_56124	NA	
unknown function	phrog_56125	NA	
unknown function	phrog_56126	NA	
unknown function	phrog_56127	NA	
unknown function	phrog_56128	NA	
unknown function	phrog_56129	NA	
unknown function	phrog_56130	NA	
unknown function	phrog_56131	NA	
unknown function	phrog_56132	NA	
unknown function	phrog_56133	NA	
unknown function	phrog_56134	NA	
unknown function	phrog_56135	NA	
unknown function	phrog_56136	NA	
unknown function	phrog_56137	NA	
unknown function	phrog_56138	NA	
unknown function	phrog_56139	NA	
unknown function	phrog_56140	NA	
unknown function	phrog_56141	NA	
unknown function	phrog_56142	NA	
unknown function	phrog_56143	NA	
unknown function	phrog_56144	NA	
unknown function	phrog_56145	NA	
unknown function	phrog_56146	NA	
DNA, RNA and nucleotide metabolism	phrog_56147	Rnase H	
unknown function	phrog_56148	NA	
unknown function	phrog_56149	NA	
unknown function	phrog_56150	NA	
unknown function	phrog_56151	NA	
unknown function	phrog_56152	NA	
unknown function	phrog_56153	NA	
unknown function	phrog_56154	NA	
unknown function	phrog_56155	NA	
unknown function	phrog_56156	NA	
unknown function	phrog_56157	NA	
unknown function	phrog_56158	NA	
unknown function	phrog_56159	NA	
unknown function	phrog_56160	NA	
unknown function	phrog_56161	NA	
unknown function	phrog_56162	NA	
unknown function	phrog_56163	NA	
unknown function	phrog_56164	NA	
unknown function	phrog_56165	NA	
unknown function	phrog_56166	NA	
unknown function	phrog_56167	NA	
unknown function	phrog_56168	NA	
unknown function	phrog_56169	NA	
unknown function	phrog_56170	NA	
unknown function	phrog_56171	NA	
unknown function	phrog_56172	NA	
unknown function	phrog_56173	NA	
unknown function	phrog_56174	NA	
unknown function	phrog_56175	NA	
unknown function	phrog_56176	NA	
unknown function	phrog_56177	NA	
unknown function	phrog_56178	NA	
unknown function	phrog_56179	NA	
unknown function	phrog_56180	NA	
unknown function	phrog_56181	NA	
unknown function	phrog_56182	NA	
unknown function	phrog_56183	NA	
unknown function	phrog_56184	NA	
unknown function	phrog_56185	NA	
unknown function	phrog_56186	NA	
unknown function	phrog_56187	NA	
unknown function	phrog_56188	NA	
unknown function	phrog_56189	NA	
unknown function	phrog_56190	NA	
unknown function	phrog_56191	NA	
unknown function	phrog_56192	NA	
unknown function	phrog_56193	NA	
unknown function	phrog_56194	NA	
unknown function	phrog_56195	NA	
unknown function	phrog_56196	NA	
unknown function	phrog_56197	NA	
unknown function	phrog_56198	NA	
unknown function	phrog_56199	NA	
unknown function	phrog_56200	NA	
unknown function	phrog_56201	NA	
unknown function	phrog_56202	NA	
unknown function	phrog_56203	NA	
unknown function	phrog_56204	NA	
unknown function	phrog_56205	NA	
unknown function	phrog_56206	NA	
unknown function	phrog_56207	NA	
unknown function	phrog_56208	NA	
unknown function	phrog_56209	NA	
unknown function	phrog_56210	NA	
unknown function	phrog_56211	NA	
unknown function	phrog_56212	NA	
unknown function	phrog_56213	NA	
unknown function	phrog_56214	NA	
unknown function	phrog_56215	NA	
unknown function	phrog_56216	NA	
unknown function	phrog_56217	NA	
unknown function	phrog_56218	NA	
unknown function	phrog_56219	NA	
unknown function	phrog_56220	NA	
unknown function	phrog_56221	NA	
unknown function	phrog_56222	NA	
unknown function	phrog_56223	NA	
unknown function	phrog_56224	NA	
unknown function	phrog_56225	NA	
unknown function	phrog_56226	NA	
unknown function	phrog_56227	NA	
unknown function	phrog_56228	NA	
unknown function	phrog_56229	NA	
unknown function	phrog_56230	NA	
unknown function	phrog_56231	NA	
unknown function	phrog_56232	NA	
unknown function	phrog_56233	NA	
unknown function	phrog_56234	NA	
unknown function	phrog_56235	NA	
unknown function	phrog_56236	NA	
unknown function	phrog_56237	NA	
unknown function	phrog_56238	NA	
unknown function	phrog_56239	NA	
unknown function	phrog_56240	NA	
unknown function	phrog_56241	NA	
unknown function	phrog_56242	NA	
unknown function	phrog_56243	NA	
unknown function	phrog_56244	NA	
unknown function	phrog_56245	NA	
unknown function	phrog_56246	NA	
unknown function	phrog_56247	NA	
unknown function	phrog_56248	NA	
unknown function	phrog_56249	NA	
unknown function	phrog_56250	NA	
unknown function	phrog_56251	NA	
unknown function	phrog_56252	NA	
unknown function	phrog_56253	NA	
unknown function	phrog_56254	NA	
unknown function	phrog_56255	NA	
unknown function	phrog_56256	NA	
unknown function	phrog_56257	NA	
unknown function	phrog_56258	NA	
unknown function	phrog_56259	NA	
unknown function	phrog_56260	NA	
unknown function	phrog_56261	NA	
unknown function	phrog_56262	NA	
unknown function	phrog_56263	NA	
unknown function	phrog_56264	NA	
unknown function	phrog_56265	NA	
unknown function	phrog_56266	NA	
unknown function	phrog_56267	NA	
unknown function	phrog_56268	NA	
unknown function	phrog_56269	NA	
unknown function	phrog_56270	NA	
unknown function	phrog_56271	NA	
unknown function	phrog_56272	NA	
unknown function	phrog_56273	NA	
unknown function	phrog_56274	NA	
unknown function	phrog_56275	NA	
unknown function	phrog_56276	NA	
unknown function	phrog_56277	NA	
unknown function	phrog_56278	NA	
unknown function	phrog_56279	NA	
unknown function	phrog_56280	NA	
unknown function	phrog_56281	NA	
unknown function	phrog_56282	NA	
unknown function	phrog_56283	NA	
unknown function	phrog_56284	NA	
unknown function	phrog_56285	NA	
unknown function	phrog_56286	NA	
unknown function	phrog_56287	NA	
unknown function	phrog_56288	NA	
unknown function	phrog_56289	NA	
unknown function	phrog_56290	NA	
unknown function	phrog_56291	NA	
unknown function	phrog_56292	NA	
unknown function	phrog_56293	NA	
unknown function	phrog_56294	NA	
unknown function	phrog_56295	NA	
unknown function	phrog_56296	NA	
unknown function	phrog_56297	NA	
unknown function	phrog_56298	NA	
unknown function	phrog_56299	NA	
unknown function	phrog_56300	NA	
unknown function	phrog_56301	NA	
unknown function	phrog_56302	NA	
unknown function	phrog_56303	NA	
transcription regulation	phrog_56304	transcriptional regulator	
unknown function	phrog_56305	NA	
unknown function	phrog_56306	NA	
unknown function	phrog_56307	NA	
unknown function	phrog_56308	NA	
unknown function	phrog_56309	NA	
unknown function	phrog_56310	NA	
unknown function	phrog_56311	NA	
unknown function	phrog_56312	NA	
unknown function	phrog_56313	NA	
unknown function	phrog_56314	NA	
unknown function	phrog_56315	NA	
unknown function	phrog_56316	NA	
unknown function	phrog_56317	NA	
unknown function	phrog_56318	NA	
unknown function	phrog_56319	NA	
unknown function	phrog_56320	NA	
unknown function	phrog_56321	NA	
unknown function	phrog_56322	NA	
unknown function	phrog_56323	NA	
unknown function	phrog_56324	NA	
unknown function	phrog_56325	NA	
unknown function	phrog_56326	NA	
unknown function	phrog_56327	NA	
unknown function	phrog_56328	NA	
unknown function	phrog_56329	NA	
unknown function	phrog_56330	NA	
unknown function	phrog_56331	NA	
unknown function	phrog_56332	NA	
unknown function	phrog_56333	NA	
unknown function	phrog_56334	NA	
unknown function	phrog_56335	NA	
unknown function	phrog_56336	NA	
unknown function	phrog_56337	NA	
unknown function	phrog_56338	NA	
unknown function	phrog_56339	NA	
unknown function	phrog_56340	NA	
unknown function	phrog_56341	NA	
unknown function	phrog_56342	NA	
unknown function	phrog_56343	NA	
unknown function	phrog_56344	NA	
unknown function	phrog_56345	NA	
unknown function	phrog_56346	NA	
unknown function	phrog_56347	NA	
unknown function	phrog_56348	NA	
unknown function	phrog_56349	NA	
unknown function	phrog_56350	NA	
unknown function	phrog_56351	NA	
unknown function	phrog_56352	NA	
unknown function	phrog_56353	NA	
unknown function	phrog_56354	NA	
unknown function	phrog_56355	NA	
unknown function	phrog_56356	NA	
unknown function	phrog_56357	NA	
unknown function	phrog_56358	NA	
unknown function	phrog_56359	NA	
unknown function	phrog_56360	NA	
unknown function	phrog_56361	NA	
unknown function	phrog_56362	NA	
unknown function	phrog_56363	NA	
unknown function	phrog_56364	NA	
unknown function	phrog_56365	NA	
unknown function	phrog_56366	NA	
unknown function	phrog_56367	NA	
unknown function	phrog_56368	NA	
unknown function	phrog_56369	NA	
unknown function	phrog_56370	NA	
unknown function	phrog_56371	NA	
unknown function	phrog_56372	NA	
unknown function	phrog_56373	NA	
unknown function	phrog_56374	NA	
unknown function	phrog_56375	NA	
unknown function	phrog_56376	NA	
unknown function	phrog_56377	NA	
unknown function	phrog_56378	NA	
unknown function	phrog_56379	NA	
unknown function	phrog_56380	NA	
unknown function	phrog_56381	NA	
unknown function	phrog_56382	NA	
unknown function	phrog_56383	NA	
unknown function	phrog_56384	NA	
unknown function	phrog_56385	NA	
unknown function	phrog_56386	NA	
unknown function	phrog_56387	NA	
unknown function	phrog_56388	NA	
unknown function	phrog_56389	NA	
unknown function	phrog_56390	NA	
unknown function	phrog_56391	NA	
unknown function	phrog_56392	NA	
unknown function	phrog_56393	NA	
unknown function	phrog_56394	NA	
unknown function	phrog_56395	NA	
unknown function	phrog_56396	NA	
unknown function	phrog_56397	NA	
unknown function	phrog_56398	NA	
unknown function	phrog_56399	NA	
unknown function	phrog_56400	NA	
unknown function	phrog_56401	NA	
unknown function	phrog_56402	NA	
unknown function	phrog_56403	NA	
unknown function	phrog_56404	NA	
unknown function	phrog_56405	NA	
unknown function	phrog_56406	NA	
unknown function	phrog_56407	NA	
unknown function	phrog_56408	NA	
unknown function	phrog_56409	NA	
unknown function	phrog_56410	NA	
unknown function	phrog_56411	NA	
unknown function	phrog_56412	NA	
unknown function	phrog_56413	NA	
unknown function	phrog_56414	NA	
unknown function	phrog_56415	NA	
unknown function	phrog_56416	NA	
unknown function	phrog_56417	NA	
unknown function	phrog_56418	NA	
unknown function	phrog_56419	NA	
unknown function	phrog_56420	NA	
unknown function	phrog_56421	NA	
unknown function	phrog_56422	NA	
unknown function	phrog_56423	NA	
unknown function	phrog_56424	NA	
unknown function	phrog_56425	NA	
unknown function	phrog_56426	NA	
unknown function	phrog_56427	NA	
unknown function	phrog_56428	NA	
unknown function	phrog_56429	NA	
unknown function	phrog_56430	NA	
unknown function	phrog_56431	NA	
unknown function	phrog_56432	NA	
unknown function	phrog_56433	NA	
unknown function	phrog_56434	NA	
unknown function	phrog_56435	NA	
unknown function	phrog_56436	NA	
unknown function	phrog_56437	NA	
unknown function	phrog_56438	NA	
unknown function	phrog_56439	NA	
unknown function	phrog_56440	NA	
unknown function	phrog_56441	NA	
unknown function	phrog_56442	NA	
unknown function	phrog_56443	NA	
unknown function	phrog_56444	NA	
unknown function	phrog_56445	NA	
unknown function	phrog_56446	NA	
unknown function	phrog_56447	NA	
unknown function	phrog_56448	NA	
unknown function	phrog_56449	NA	
unknown function	phrog_56450	NA	
unknown function	phrog_56451	NA	
unknown function	phrog_56452	NA	
unknown function	phrog_56453	NA	
unknown function	phrog_56454	NA	
unknown function	phrog_56455	NA	
unknown function	phrog_56456	NA	
unknown function	phrog_56457	NA	
unknown function	phrog_56458	NA	
unknown function	phrog_56459	NA	
unknown function	phrog_56460	NA	
unknown function	phrog_56461	NA	
unknown function	phrog_56462	NA	
unknown function	phrog_56463	NA	
unknown function	phrog_56464	NA	
unknown function	phrog_56465	NA	
unknown function	phrog_56466	NA	
unknown function	phrog_56467	NA	
unknown function	phrog_56468	NA	
unknown function	phrog_56469	NA	
unknown function	phrog_56470	NA	
unknown function	phrog_56471	NA	
unknown function	phrog_56472	NA	
unknown function	phrog_56473	NA	
unknown function	phrog_56474	NA	
unknown function	phrog_56475	NA	
unknown function	phrog_56476	NA	
unknown function	phrog_56477	NA	
unknown function	phrog_56478	NA	
unknown function	phrog_56479	NA	
unknown function	phrog_56480	NA	
unknown function	phrog_56481	NA	
unknown function	phrog_56482	NA	
unknown function	phrog_56483	NA	
unknown function	phrog_56484	NA	
unknown function	phrog_56485	NA	
unknown function	phrog_56486	NA	
unknown function	phrog_56487	NA	
unknown function	phrog_56488	NA	
unknown function	phrog_56489	NA	
unknown function	phrog_56490	NA	
unknown function	phrog_56491	NA	
unknown function	phrog_56492	NA	
unknown function	phrog_56493	NA	
unknown function	phrog_56494	NA	
unknown function	phrog_56495	NA	
unknown function	phrog_56496	NA	
unknown function	phrog_56497	NA	
unknown function	phrog_56498	NA	
unknown function	phrog_56499	NA	
unknown function	phrog_56500	NA	
unknown function	phrog_56501	NA	
unknown function	phrog_56502	NA	
unknown function	phrog_56503	NA	
unknown function	phrog_56504	NA	
unknown function	phrog_56505	NA	
unknown function	phrog_56506	NA	
unknown function	phrog_56507	NA	
unknown function	phrog_56508	NA	
unknown function	phrog_56509	NA	
unknown function	phrog_56510	NA	
unknown function	phrog_56511	NA	
unknown function	phrog_56512	NA	
unknown function	phrog_56513	NA	
unknown function	phrog_56514	NA	
unknown function	phrog_56515	NA	
unknown function	phrog_56516	NA	
unknown function	phrog_56517	NA	
unknown function	phrog_56518	NA	
unknown function	phrog_56519	NA	
unknown function	phrog_56520	NA	
unknown function	phrog_56521	NA	
unknown function	phrog_56522	NA	
unknown function	phrog_56523	NA	
unknown function	phrog_56524	NA	
unknown function	phrog_56525	NA	
unknown function	phrog_56526	NA	
unknown function	phrog_56527	NA	
unknown function	phrog_56528	NA	
unknown function	phrog_56529	NA	
unknown function	phrog_56530	NA	
unknown function	phrog_56531	NA	
unknown function	phrog_56532	NA	
unknown function	phrog_56533	NA	
unknown function	phrog_56534	NA	
unknown function	phrog_56535	NA	
unknown function	phrog_56536	NA	
unknown function	phrog_56537	NA	
unknown function	phrog_56538	NA	
unknown function	phrog_56539	NA	
unknown function	phrog_56540	NA	
unknown function	phrog_56541	NA	
unknown function	phrog_56542	NA	
unknown function	phrog_56543	NA	
unknown function	phrog_56544	NA	
unknown function	phrog_56545	NA	
unknown function	phrog_56546	NA	
unknown function	phrog_56547	NA	
unknown function	phrog_56548	NA	
unknown function	phrog_56549	NA	
unknown function	phrog_56550	NA	
unknown function	phrog_56551	NA	
unknown function	phrog_56552	NA	
unknown function	phrog_56553	NA	
unknown function	phrog_56554	NA	
unknown function	phrog_56555	NA	
unknown function	phrog_56556	NA	
unknown function	phrog_56557	NA	
unknown function	phrog_56558	NA	
unknown function	phrog_56559	NA	
unknown function	phrog_56560	NA	
unknown function	phrog_56561	NA	
unknown function	phrog_56562	NA	
unknown function	phrog_56563	NA	
unknown function	phrog_56564	NA	
unknown function	phrog_56565	NA	
unknown function	phrog_56566	NA	
unknown function	phrog_56567	NA	
unknown function	phrog_56568	NA	
unknown function	phrog_56569	NA	
unknown function	phrog_56570	NA	
unknown function	phrog_56571	NA	
unknown function	phrog_56572	NA	
unknown function	phrog_56573	NA	
unknown function	phrog_56574	NA	
unknown function	phrog_56575	NA	
unknown function	phrog_56576	NA	
unknown function	phrog_56577	NA	
unknown function	phrog_56578	NA	
unknown function	phrog_56579	NA	
unknown function	phrog_56580	NA	
unknown function	phrog_56581	NA	
unknown function	phrog_56582	NA	
unknown function	phrog_56583	NA	
unknown function	phrog_56584	NA	
unknown function	phrog_56585	NA	
unknown function	phrog_56586	NA	
unknown function	phrog_56587	NA	
unknown function	phrog_56588	NA	
unknown function	phrog_56589	NA	
unknown function	phrog_56590	NA	
unknown function	phrog_56591	NA	
unknown function	phrog_56592	NA	
unknown function	phrog_56593	NA	
unknown function	phrog_56594	NA	
unknown function	phrog_56595	NA	
unknown function	phrog_56596	NA	
unknown function	phrog_56597	NA	
unknown function	phrog_56598	NA	
unknown function	phrog_56599	NA	
unknown function	phrog_56600	NA	
unknown function	phrog_56601	NA	
unknown function	phrog_56602	NA	
unknown function	phrog_56603	NA	
unknown function	phrog_56604	NA	
unknown function	phrog_56605	NA	
unknown function	phrog_56606	NA	
unknown function	phrog_56607	NA	
unknown function	phrog_56608	NA	
unknown function	phrog_56609	NA	
unknown function	phrog_56610	NA	
unknown function	phrog_56611	NA	
unknown function	phrog_56612	NA	
unknown function	phrog_56613	NA	
unknown function	phrog_56614	NA	
unknown function	phrog_56615	NA	
unknown function	phrog_56616	NA	
unknown function	phrog_56617	NA	
unknown function	phrog_56618	NA	
unknown function	phrog_56619	NA	
unknown function	phrog_56620	NA	
unknown function	phrog_56621	NA	
unknown function	phrog_56622	NA	
unknown function	phrog_56623	NA	
unknown function	phrog_56624	NA	
unknown function	phrog_56625	NA	
unknown function	phrog_56626	NA	
unknown function	phrog_56627	NA	
unknown function	phrog_56628	NA	
unknown function	phrog_56629	NA	
unknown function	phrog_56630	NA	
unknown function	phrog_56631	NA	
unknown function	phrog_56632	NA	
unknown function	phrog_56633	NA	
unknown function	phrog_56634	NA	
unknown function	phrog_56635	NA	
unknown function	phrog_56636	NA	
unknown function	phrog_56637	NA	
unknown function	phrog_56638	NA	
unknown function	phrog_56639	NA	
unknown function	phrog_56640	NA	
unknown function	phrog_56641	NA	
unknown function	phrog_56642	NA	
unknown function	phrog_56643	NA	
unknown function	phrog_56644	NA	
unknown function	phrog_56645	NA	
unknown function	phrog_56646	NA	
unknown function	phrog_56647	NA	
unknown function	phrog_56648	NA	
unknown function	phrog_56649	NA	
unknown function	phrog_56650	NA	
unknown function	phrog_56651	NA	
unknown function	phrog_56652	NA	
unknown function	phrog_56653	NA	
unknown function	phrog_56654	NA	
unknown function	phrog_56655	NA	
unknown function	phrog_56656	NA	
unknown function	phrog_56657	NA	
unknown function	phrog_56658	NA	
unknown function	phrog_56659	NA	
unknown function	phrog_56660	NA	
unknown function	phrog_56661	NA	
unknown function	phrog_56662	NA	
unknown function	phrog_56663	NA	
unknown function	phrog_56664	NA	
unknown function	phrog_56665	NA	
unknown function	phrog_56666	NA	
unknown function	phrog_56667	NA	
unknown function	phrog_56668	NA	
unknown function	phrog_56669	NA	
unknown function	phrog_56670	NA	
unknown function	phrog_56671	NA	
unknown function	phrog_56672	NA	
unknown function	phrog_56673	NA	
unknown function	phrog_56674	NA	
unknown function	phrog_56675	NA	
unknown function	phrog_56676	NA	
unknown function	phrog_56677	NA	
unknown function	phrog_56678	NA	
unknown function	phrog_56679	NA	
unknown function	phrog_56680	NA	
unknown function	phrog_56681	NA	
unknown function	phrog_56682	NA	
unknown function	phrog_56683	NA	
unknown function	phrog_56684	NA	
unknown function	phrog_56685	NA	
unknown function	phrog_56686	NA	
unknown function	phrog_56687	NA	
unknown function	phrog_56688	NA	
unknown function	phrog_56689	NA	
unknown function	phrog_56690	NA	
unknown function	phrog_56691	NA	
unknown function	phrog_56692	NA	
unknown function	phrog_56693	NA	
unknown function	phrog_56694	NA	
unknown function	phrog_56695	NA	
unknown function	phrog_56696	NA	
unknown function	phrog_56697	NA	
