L1	L2	L3	L4	ID	Function	EC	Gene
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00191			
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00797	spermidine synthase	2.5.1.16	speE, SRM, SPE3
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K10771	AP endonuclease 1	4.2.99.18	APEX1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K03856	3-deoxy-7-phosphoheptulonate synthase	2.5.1.54	AROA2, aroA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K05884	L-2-hydroxycarboxylate dehydrogenase (NAD+)	1.1.1.337	comC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00366	ferredoxin-nitrite reductase	1.7.7.1	nirA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00456	cysteine dioxygenase	1.13.11.20	CDO1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00249	acyl-CoA dehydrogenase	1.3.8.7	ACADM, acd
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01758	cystathionine gamma-lyase	4.4.1.1	CTH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00816	kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase	2.6.1.7 4.4.1.13 2.6.1.64	CCBL
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K10773	endonuclease III	4.2.99.18	NTH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase	2.7.8.13	mraY
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K13553	neamine transaminase	2.6.1.93	btrB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14138	acetyl-CoA synthase	2.3.1.169	acsB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K06718	L-2,4-diaminobutyric acid acetyltransferase	2.3.1.178	ectA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K10150	cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase	2.5.1.47 2.5.1.65 4.2.1.22	cysO
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01738	cysteine synthase	2.5.1.47	cysK
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00003	homoserine dehydrogenase	1.1.1.3	hom
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K03270	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	3.1.3.45	kdsC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00802	spermine synthase	2.5.1.22	SMS
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K13830	pentafunctional AROM polypeptide	4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19	ARO1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K06117	glycerol-1-phosphatase	3.1.3.21	
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12524	bifunctional aspartokinase / homoserine dehydrogenase 1	2.7.2.4 1.1.1.3	thrA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00931	glutamate 5-kinase	2.7.2.11	proB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00800	3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19	aroA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K03184	3-demethoxyubiquinol 3-hydroxylase	1.14.99.60	ubiF
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00927	phosphoglycerate kinase	2.7.2.3	PGK, pgk
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12657	delta-1-pyrroline-5-carboxylate synthetase	2.7.2.11 1.2.1.41	ALDH18A1, P5CS
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12525	bifunctional aspartokinase / homoserine dehydrogenase 2	2.7.2.4 1.1.1.3	metL
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00271	valine dehydrogenase (NAD+)	1.4.1.23	vdh
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00812	aspartate aminotransferase	2.6.1.1	aspB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01762	1-aminocyclopropane-1-carboxylate synthase	4.4.1.14	ACS
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00811	aspartate aminotransferase, chloroplastic	2.6.1.1	ASP5
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14287	methionine transaminase	2.6.1.88	ybdL
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14261	alanine-synthesizing transaminase	2.6.1.-	alaC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14286	ethanolamine-phosphate phospho-lyase	4.2.3.2	AGXT2L1, ETNPPL
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K03185	2-octaprenyl-6-methoxyphenol hydroxylase	1.14.13.-	ubiH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K05712	3-(3-hydroxy-phenyl)propionate hydroxylase	1.14.13.127	mhpA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K06126	ubiquinone biosynthesis monooxygenase Coq6	1.14.13.-	COQ6
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K06134	3-demethoxyubiquinol 3-hydroxylase	1.14.99.60	COQ7
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K09587	steroid 22-alpha-hydroxylase	1.14.13.-	CYP90B1, DWF4
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K09754	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase	1.14.14.96	CYP98A, C3'H
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K10215	monooxygenase	1.14.13.-	ethA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K10437	phenylacetate 2-hydroxylase	1.14.14.54	PHAA, PHACA, CYP504A1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K10616	p-cymene methyl-monooxygenase	1.14.15.25	cymAa
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K11812	tryptophan N-monooxygenase	1.14.14.156	CYP79B1_2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K11813	tryptophan N-monooxygenase	1.14.14.156	CYP79B3
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K11816	indole-3-pyruvate monooxygenase	1.14.13.168	YUCCA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12153	phenylalanine N-monooxygenase	1.14.14.40	CYP79A2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12154	homomethionine N-monooxygenase	1.14.14.42	CYP79F1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12155	homomethionine N-monooxygenase	1.14.14.42	CYP79F2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K12639	cytochrome P450 family 724 subfamily B1	1.14.13.-	CYP724B1, D11
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K13267	flavonoid 6-hydroxylase	1.14.13.-	CYP71D9, F6H
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K13401	valine N-monooxygenase	1.14.14.38	CYP79D1_2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14481	styrene monooxygenase	1.14.14.11	styA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14482	styrene monooxygenase reductase component	1.5.1.-	styB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	aspartate-semialdehyde dehydrogenase	1.2.1.11	asd
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00925	acetate kinase	2.7.2.1	ackA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K13983	putative helicase MOV10L1	3.6.4.13	MOV10L1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K14135	fumigaclavine A dimethylallyltransferase	2.5.1.100	FGAPT1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K02294	beta-carotene hydroxylase	1.14.13.-	crtR
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01474	N-methylhydantoinase B	3.5.2.14	hyuB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K05597	glutamin-(asparagin-)ase	3.5.1.38	aspQ, ansB, ansA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K07127	5-hydroxyisourate hydrolase	3.5.2.17	uraH, pucM, hiuH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00583	tetrahydromethanopterin S-methyltransferase subunit G	2.1.1.86	mtrG
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01473	N-methylhydantoinase A	3.5.2.14	hyuA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	4.2.1.33 4.2.1.35	leuC, IPMI-L
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K10772	AP endonuclease 2	4.2.99.18	APEX2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K10563	formamidopyrimidine-DNA glycosylase	3.2.2.23 4.2.99.18	mutM, fpg
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02626	arginine decarboxylase	4.1.1.19	pdaD
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00789	S-adenosylmethionine synthetase	2.5.1.6	metK
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00838	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase	2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5	ARO8
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00825	kynurenine/2-aminoadipate aminotransferase	2.6.1.7 2.6.1.39	AADAT, KAT2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03270	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	3.1.3.45	kdsC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K06117	glycerol-1-phosphatase	3.1.3.21	
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K10150	cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase	2.5.1.47 2.5.1.65 4.2.1.22	cysO
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7	murA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00839	(S)-ureidoglycine---glyoxylate transaminase	2.6.1.112	pucG
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00841	aminotransferase	2.6.1.-	patA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00842			
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K05825	2-aminoadipate transaminase	2.6.1.-	LYSN
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K05830	LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase	2.6.1.118 2.6.1.-	lysJ, argD
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K08969	L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase	2.6.1.117	mtnE, mtnV
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K10907	aminotransferase	2.6.1.-	K10907
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K12256	putrescine---pyruvate transaminase	2.6.1.113	spuC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase	2.6.1.98	wbpE, wlbC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13547	L-glutamine:2-deoxy-scyllo-inosose/3-amino-2,3-dideoxy-scyllo-inosose aminotransferase	2.6.1.100 2.6.1.101	btrR, neoB, kanB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00584	tetrahydromethanopterin S-methyltransferase subunit H	2.1.1.86	mtrH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K05603	formimidoylglutamate deiminase	3.5.3.13	hutF
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K14643	ectonucleoside triphosphate diphosphohydrolase 7	3.6.1.-	ENTPD7
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K04041	fructose-1,6-bisphosphatase III	3.1.3.11	fbp3
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase	4.2.1.17 1.1.1.211	HADHA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01468	imidazolonepropionase	3.5.2.7	hutI, AMDHD1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K14539	large subunit GTPase 1	3.6.1.-	LSG1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11532	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	3.1.3.11 3.1.3.37	glpX-SEBP
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01739	cystathionine gamma-synthase	2.5.1.48	metB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13034	L-3-cyanoalanine synthase/ cysteine synthase	2.5.1.47 4.4.1.9	ATCYSC1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00128	aldehyde dehydrogenase (NAD+)	1.2.1.3	ALDH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K12260	sulfiredoxin	1.8.98.2	SRX1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00394	adenylylsulfate reductase, subunit A	1.8.99.2	aprA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00395	adenylylsulfate reductase, subunit B	1.8.99.2	aprB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00197	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma	2.1.1.245	cdhE, acsC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	ubiG
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02236	leader peptidase (prepilin peptidase) / N-methyltransferase	3.4.23.43 2.1.1.-	comC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02427	23S rRNA (uridine2552-2'-O)-methyltransferase	2.1.1.166	rlmE, rrmJ, ftsJ
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02464	general secretion pathway protein O	3.4.23.43 2.1.1.-	gspO
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02493	release factor glutamine methyltransferase	2.1.1.297	hemK, prmC, HEMK
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02533	tRNA/rRNA methyltransferase	2.1.1.-	lasT
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02654	leader peptidase (prepilin peptidase) / N-methyltransferase	3.4.23.43 2.1.1.-	pilD, pppA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02687	ribosomal protein L11 methyltransferase	2.1.1.-	prmA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	2.1.1.163 2.1.1.201	ubiE
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03212	23S rRNA (uracil747-C5)-methyltransferase	2.1.1.189	rumB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03214	RNA methyltransferase, TrmH family	2.1.1.-	yfiF, trmG
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03215	23S rRNA (uracil1939-C5)-methyltransferase	2.1.1.190	rumA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03216	tRNA (cytidine/uridine-2'-O-)-methyltransferase	2.1.1.207	trmL, cspR
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03218	23S rRNA (guanosine2251-2'-O)-methyltransferase	2.1.1.185	rlmB
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03438	16S rRNA (cytosine1402-N4)-methyltransferase	2.1.1.199	mraW, rsmH
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03500	16S rRNA (cytosine967-C5)-methyltransferase	2.1.1.176	rsmB, sun
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K06127	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	2.1.1.201	COQ5
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K06941	23S rRNA (adenine2503-C2)-methyltransferase	2.1.1.192	rlmN
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K06968	23S rRNA (cytidine2498-2'-O)-methyltransferase	2.1.1.186	rlmM
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K06969	23S rRNA (cytosine1962-C5)-methyltransferase	2.1.1.191	rlmI
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K07444	putative N6-adenine-specific DNA methylase	2.1.1.-	ypsC
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K09761	16S rRNA (uracil1498-N3)-methyltransferase	2.1.1.193	rsmE
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K09846	demethylspheroidene O-methyltransferase	2.1.1.210	crtF
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K10718	juvenile hormone-III synthase	2.1.1.325	JHAMT
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K10966	toxin coregulated pilus biosynthesis protein J	3.4.23.43 2.1.1.-	tcpJ
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11392	16S rRNA (cytosine1407-C5)-methyltransferase	2.1.1.178	rsmF
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11393	U6 snRNA m6A methyltransferase	2.1.1.346	METTL16, METT10D
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11434	type I protein arginine methyltransferase	2.1.1.319	PRMT1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11435	type I protein arginine methyltransferase	2.1.1.319	PRMT2
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11436	type I protein arginine methyltransferase	2.1.1.319	PRMT3
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11437	type I protein arginine methyltransferase	2.1.1.319	PRMT6
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11438	type III protein arginine methyltransferase	2.1.1.321	PRMT7
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K11439	type I protein arginine methyltransferase	2.1.1.319	PRMT8
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13067	putative caffeoyl-CoA 3-O-methyltransferase	2.1.1.-	ATTSM1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13230	2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase	2.1.1.241	BX7
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13390	(R,S)-reticuline 7-O-methyltransferase	2.1.1.291	PSOMT1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13530	AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase	2.1.1.-	adaA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13601	bacteriochlorophyllide d C-8(2)-methyltransferase	2.1.1.332	bchQ
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13602	bacteriochlorophyllide d C-12(1)-methyltransferase	2.1.1.331	bchR
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K13604	bacteriochlorophyllide d C-20 methyltransferase	2.1.1.333	bchU
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K14080	[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase	2.1.1.246	mtaA
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K14082	[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase	2.1.1.247	mtbA
